Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Contest Total
CV-A,194,130,324,364
CV-B,306,307,613,649
CV-C,167,220,387,415
CV-D,146,221,367,385
CV-E,249,319,568,598
CV-F,285,386,671,702
CV-G,296,394,690,727
CV-H,367,354,721,773
CV-I,285,468,753,801
CV-J,247,409,656,686
CV-K,259,405,664,715
CV-L,290,443,733,766
CV-M,215,380,595,646
CV-N,320,175,495,550
CV-O,293,490,783,809
CV-P,247,384,631,679
CV-Q,272,279,551,589
CV-R,257,290,547,585
KT 3-I,0,0,0,0
WASTWP-A,258,309,567,597
WASTWP-B,308,411,719,743
WASTWP-C,253,409,662,685
WASTWP-D,211,273,484,508
WASTWP-E,294,406,700,725
WASTWP-F,175,242,417,438
WASTWP-G,335,384,719,753
WASTWP-H,271,349,620,634
WASTWP-I,211,206,417,449
WASTWP-J,232,301,533,574
WASTWP-K,228,317,545,568
WASTWP-L,214,242,456,499
WASTWP-M,227,423,650,690
WASTWP-N,278,259,537,568
WASTWP-O,169,364,533,559
WASTWP-P,273,361,634,654
WASTWP-Q,258,336,594,638
WASTWP-R,207,270,477,500
WASTWP-S,178,325,503,531
WASTWP-T,253,259,512,538
WASTWP-U,260,373,633,667
WASTWP-V,247,349,596,617
WASTWP-W,170,197,367,390
WASTWP-X,229,271,500,526
WASTWP-Y,303,363,666,693
WASTWP-Z,247,331,578,598
WASTWP-AA,246,349,595,622
WASTWP-BB,192,211,403,416
WASTWP-CC,334,398,732,761
