Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Contest Total
CLATWP-A,114,315,429,434
CLATWP-B,27,33,60,62
CLATWP-C,31,123,154,158
CTN 1-A,151,334,485,497
CTN 1-B,211,287,498,513
CTN 1-C,287,346,633,652
CTN 1-D,175,194,369,377
CTN 2-A,227,212,439,462
CTN 2-B,287,306,593,608
CTN 2-C,271,285,556,582
CTN 3-A,302,336,638,658
CTN 3-B,267,291,558,583
CTN 3-C,213,250,463,492
ENG-A,351,250,601,615
ENG-B,254,278,532,544
ENG-C,237,208,445,452
ENG-D,288,320,608,624
ENG-E,298,290,588,605
ENG-F,243,270,513,524
ENG-G,314,271,585,591
ENG-H,186,259,445,456
ENG-I,217,173,390,408
ENG-J,259,212,471,485
PHBG,44,129,173,178
TR 1-B,20,24,44,45
UN-A,99,197,296,305
UN-B,182,313,495,502
UN-C,160,190,350,360
UN-D,259,323,582,590
UN-E,200,338,538,553
