Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Contest Total
CV-A,225,98,323,364
CV-B,386,240,626,649
CV-C,220,180,400,415
CV-D,205,168,373,385
CV-E,346,231,577,598
CV-F,376,309,685,702
CV-G,396,300,696,727
CV-H,446,291,737,773
CV-I,401,368,769,801
CV-J,350,323,673,686
CV-K,362,326,688,715
CV-L,398,348,746,766
CV-M,301,318,619,646
CV-N,392,122,514,550
CV-O,414,376,790,809
CV-P,341,313,654,679
CV-Q,380,185,565,589
CV-R,324,233,557,585
WASTWP-A,350,230,580,597
WASTWP-B,421,305,726,743
WASTWP-C,384,288,672,685
WASTWP-D,284,211,495,508
WASTWP-E,418,298,716,725
WASTWP-F,239,190,429,438
WASTWP-G,494,235,729,753
WASTWP-H,356,272,628,634
WASTWP-I,273,156,429,449
WASTWP-J,340,214,554,574
WASTWP-K,339,216,555,568
WASTWP-L,291,179,470,499
WASTWP-M,329,338,667,690
WASTWP-N,359,186,545,568
WASTWP-O,254,287,541,559
WASTWP-P,356,289,645,654
WASTWP-Q,348,260,608,638
WASTWP-R,281,205,486,500
WASTWP-S,261,257,518,531
WASTWP-T,335,186,521,538
WASTWP-U,364,292,656,667
WASTWP-V,342,262,604,617
WASTWP-W,224,148,372,390
WASTWP-X,307,203,510,526
WASTWP-Y,400,277,677,693
WASTWP-Z,361,227,588,598
WASTWP-AA,332,277,609,622
WASTWP-BB,256,150,406,416
WASTWP-CC,446,299,745,761
