Precinct,FOR THE INCOME TAX,AGAINST THE INCOME TAX,Total Votes Cast,Contest Total
HUB 1-A,303,172,475,486
HUB 1-B,488,193,681,697
HUB 1-C,256,133,389,405
HUB 1-D,413,165,578,594
HUB 2-A,354,181,535,555
HUB 2-B,413,171,584,606
HUB 3-A,287,108,395,407
HUB 3-B,182,106,288,298
HUB 3-C,292,82,374,381
HUB 3-D,369,150,519,532
HUB 3-E,261,110,371,393
HUB 4-A,332,158,490,500
HUB 4-B,332,152,484,500
HUB 4-C,340,129,469,485
HUB 4-D,334,135,469,491
HUB 5-A,291,135,426,438
HUB 5-B,295,125,420,434
HUB 5-C,294,165,459,479
HUB 5-D,309,126,435,440
HUB 6-A,274,140,414,424
HUB 6-B,385,221,606,617
HUB 6-C,370,163,533,557
HUB 6-D,332,142,474,483
