Precinct,Mark A. Engert,Belinda Kenley,Louis T. Lunsford,Jennifer Meineke McLaughlin,Total Votes Cast,Contest Total
CV-A,124,132,92,133,481,1092
CV-B,302,285,236,269,1092,1947
CV-C,183,172,180,154,689,1245
CV-D,168,171,129,166,634,1155
CV-E,299,281,184,267,1031,1794
CV-F,311,325,252,315,1203,2106
CV-G,297,347,232,323,1199,2181
CV-H,345,414,297,362,1418,2319
CV-I,392,412,298,367,1469,2403
CV-J,299,337,256,316,1208,2058
CV-K,283,309,230,286,1108,2145
CV-L,377,361,285,349,1372,2298
CV-M,270,302,216,262,1050,1938
CV-N,244,294,215,221,974,1650
CV-O,359,409,279,320,1367,2427
CV-P,284,311,215,268,1078,2037
CV-Q,280,246,178,258,962,1767
CV-R,223,264,206,239,932,1755
