Precinct,Marcus Bedinger,Valerie Duncan,Matt Joseph,Chris Shaw,Total Votes Cast,Contest Total
DAY 1-A,23,35,87,60,205,284
DAY 1-B,132,171,199,184,686,996
DAY 1-C,73,94,153,147,467,640
DAY 1-D,91,98,61,59,309,466
DAY 1-E,160,208,133,107,608,996
DAY 2-A,40,89,94,75,298,480
DAY 2-B,95,134,145,113,487,726
DAY 2-C,52,104,125,97,378,612
DAY 2-D,34,59,77,52,222,360
DAY 3-A,16,47,64,45,172,288
DAY 3-B,29,62,88,65,244,420
DAY 3-C,88,171,262,242,763,1166
DAY 3-D,54,96,112,105,367,580
DAY 3-E,36,59,68,57,220,326
DAY 3-F,88,147,264,214,713,1002
DAY 3-G,33,79,109,88,309,494
DAY 3-H,48,72,114,91,325,516
DAY 3-I,72,182,217,208,679,1086
DAY 3-J,64,117,184,159,524,818
DAY 3-K,100,181,248,222,751,1188
DAY 3-L,94,151,250,202,697,1114
DAY 4-A,76,92,166,160,494,636
DAY 4-B,70,77,109,90,346,472
DAY 4-C,80,77,146,127,430,562
DAY 5-A,49,78,97,107,331,428
DAY 5-B,31,76,132,135,374,488
DAY 5-C,65,58,75,67,265,348
DAY 5-D,83,75,96,109,363,462
DAY 6-A,38,54,160,168,420,532
DAY 6-B,33,47,152,154,386,480
DAY 6-C,42,50,109,125,326,408
DAY 7-A,36,47,101,123,307,410
DAY 7-B,54,58,110,123,345,416
DAY 8-A,80,147,171,153,551,870
DAY 8-B,82,154,170,127,533,884
DAY 8-C,95,141,207,171,614,898
DAY 8-D,86,155,136,112,489,820
DAY 9-A,108,209,310,225,852,1254
DAY 9-B,100,184,238,157,679,1060
DAY 9-C,96,164,258,241,759,1236
DAY 9-D,62,126,177,120,485,796
DAY 10-A,80,145,145,119,489,822
DAY 10-B,66,119,136,94,415,676
DAY 10-C,59,109,123,120,411,648
DAY 10-D,56,153,146,122,477,754
DAY 10-E,54,119,124,104,401,680
DAY 11-A,54,89,109,70,322,518
DAY 11-B,43,82,82,72,279,430
DAY 11-C,46,83,82,72,283,482
DAY 11-D,54,131,161,129,475,734
DAY 11-E,60,99,117,78,354,596
DAY 12-A,79,139,173,160,551,830
DAY 12-B,88,133,144,110,475,670
DAY 12-C,65,107,140,102,414,624
DAY 12-D,44,66,78,67,255,404
DAY 13-A,27,48,142,158,375,458
DAY 13-B,15,25,53,57,150,210
DAY 14-A,39,57,183,202,481,580
DAY 14-B,14,25,65,69,173,218
DAY 14-C,26,36,116,113,291,364
DAY 14-D,42,59,176,203,480,614
DAY 15-A,42,75,146,155,418,526
DAY 15-B,30,67,190,195,482,588
DAY 15-C,26,51,111,124,312,410
DAY 15-D,43,80,107,115,345,452
DAY 16-A,57,105,137,140,439,558
DAY 16-B,42,61,82,87,272,358
DAY 16-C,34,69,94,112,309,400
DAY 16-D,58,98,285,299,740,900
DAY 16-E,41,70,152,164,427,526
DAY 17-A,41,65,105,93,304,398
DAY 17-B,55,84,106,97,342,506
DAY 17-C,59,110,138,125,432,564
DAY 17-D,41,86,71,74,272,366
DAY 18-A,34,68,99,96,297,404
DAY 18-B,68,96,189,194,547,724
DAY 18-C,49,77,87,88,301,418
DAY 18-D,32,79,96,96,303,404
DAY 19-A,11,28,56,60,155,194
DAY 19-B,35,55,132,182,404,508
DAY 19-C,31,55,129,156,371,450
DAY 20-A,110,221,219,167,717,1106
DAY 20-B,123,212,237,175,747,1128
DAY 20-C,55,97,159,145,456,760
DAY 20-D,57,116,173,111,457,770
DAY 21-A,21,53,101,105,280,384
DAY 21-B,34,38,106,128,306,378
DAY 21-C,35,82,164,192,473,594
DAY 22-A,89,139,229,247,704,896
DAY 22-B,65,118,205,213,601,746
DAY 22-C,50,125,283,310,768,942
DAY 23-A,89,136,157,143,525,788
