Precinct,William Bailey,Ken Hayes,Will Smith,Eric Walker,Total Votes Cast,Contest Total
DAY 1-A,42,47,53,52,194,426
DAY 1-B,153,203,196,211,763,1494
DAY 1-C,110,110,145,119,484,960
DAY 1-D,91,94,63,87,335,699
DAY 1-E,143,191,145,153,632,1494
DAY 2-A,72,83,88,89,332,720
DAY 2-B,94,139,131,132,496,1089
DAY 2-C,96,110,106,102,414,915
DAY 2-D,60,57,70,61,248,540
DAY 3-A,47,55,52,47,201,432
DAY 3-E,59,58,61,64,242,489
DAY 3-F,140,179,161,182,662,1497
DAY 3-G,46,33,43,43,165,333
DAY 3-H,71,93,81,85,330,774
DAY 3-J,22,19,19,25,85,210
DAY 4-A,130,105,141,141,517,954
DAY 4-B,104,89,115,100,408,708
DAY 4-C,93,111,107,116,427,843
DAY 5-A,104,70,107,83,364,642
DAY 5-B,103,83,107,103,396,732
DAY 5-C,68,72,80,74,294,522
DAY 5-D,102,89,118,95,404,693
DAY 6-A,128,71,126,104,429,780
DAY 6-B,110,73,114,115,412,720
DAY 6-C,126,59,86,80,351,612
DAY 7-A,90,65,107,95,357,615
DAY 7-B,100,62,155,99,416,624
DAY 8-A,137,164,151,160,612,1305
DAY 8-B,141,135,147,147,570,1326
DAY 8-C,138,154,160,164,616,1347
DAY 8-D,111,124,151,130,516,1230
DAY 9-A,210,237,206,221,874,1881
DAY 9-B,185,185,191,188,749,1590
DAY 9-C,159,194,161,183,697,1854
DAY 9-D,132,120,132,133,517,1194
DAY 10-A,116,136,139,120,511,1233
DAY 10-B,81,183,83,90,437,1014
DAY 10-C,106,125,115,101,447,972
DAY 10-D,115,187,91,115,508,1131
DAY 10-E,109,107,110,101,427,1020
DAY 11-A,99,86,83,80,348,777
DAY 11-B,77,82,90,73,322,645
DAY 11-C,78,78,85,83,324,678
DAY 11-D,137,119,121,145,522,1101
DAY 11-E,99,92,85,92,368,894
DAY 12-A,143,179,131,154,607,1245
DAY 12-B,108,125,132,134,499,1005
DAY 12-C,111,105,101,119,436,936
DAY 12-D,72,61,65,82,280,606
DAY 13-A,95,66,127,87,375,687
DAY 13-B,41,24,57,42,164,315
DAY 14-A,92,57,88,83,320,546
DAY 14-B,57,27,54,41,179,327
DAY 14-C,66,41,74,56,237,429
DAY 14-D,150,86,156,132,524,921
DAY 15-A,162,64,108,129,463,789
DAY 15-B,206,97,139,111,553,882
DAY 15-C,105,51,93,74,323,615
DAY 15-D,61,33,51,40,185,294
DAY 16-A,137,104,120,141,502,837
DAY 16-B,84,59,83,75,301,537
DAY 16-C,91,58,132,80,361,600
DAY 16-D,269,128,220,182,799,1350
DAY 16-E,149,68,122,128,467,789
DAY 17-A,92,67,97,76,332,597
DAY 17-B,88,85,104,89,366,759
DAY 17-C,128,88,160,117,493,846
DAY 17-D,86,63,78,91,318,549
DAY 18-A,99,69,98,72,338,606
DAY 18-B,148,138,173,158,617,1086
DAY 18-C,81,76,96,73,326,627
DAY 18-D,88,74,84,85,331,606
DAY 19-A,59,31,46,51,187,291
DAY 19-B,117,103,132,100,452,762
DAY 19-C,127,66,97,94,384,675
DAY 20-A,170,291,162,172,795,1659
DAY 20-B,179,300,170,173,822,1692
DAY 20-C,118,127,104,142,491,1140
DAY 20-D,135,124,119,128,506,1155
DAY 21-A,95,36,101,64,296,576
DAY 21-B,89,57,129,72,347,567
DAY 21-C,150,82,191,113,536,891
DAY 22-A,231,138,267,190,826,1344
DAY 22-B,166,135,204,178,683,1119
DAY 22-C,275,159,279,183,896,1413
DAY 23-A,110,135,138,146,529,1182
HARTWP-D,234,172,201,204,811,1614
HARTWP-F,92,71,95,91,349,612
HARTWP-G,162,112,149,142,565,981
HARTWP-H,146,110,140,136,532,927
HARTWP-I,123,72,104,94,393,822
HARTWP-J,140,120,157,164,581,1020
HARTWP-K,135,74,106,97,412,858
HARTWP-L,248,197,229,236,910,1644
HARTWP-M,300,170,283,243,996,1593
HARTWP-O,216,167,199,214,796,1419
JEFTWP-B,50,27,38,42,157,315
RV-E,4,4,2,4,14,42
RV-L,51,58,56,56,221,480
RV-O,152,136,121,173,582,1281
TR 2-A,204,138,159,142,643,1101
TR 2-C,28,23,28,30,109,219
TR 2-D,41,37,33,36,147,303
TR 3-C,31,30,33,37,131,207
TR 4-C,103,67,91,84,345,657
TR 4-D,108,98,120,107,433,639
