Precinct,Fred Aikens,Write-in Totals,Write-in: Paul D. Whitley,Write-in: NOT VALID,Write-in: Not Assigned,Total Votes Cast,Contest Total
HUB 1-A,256,31,17,14,0,287,486
HUB 1-B,400,40,28,12,0,440,697
HUB 1-C,268,8,0,8,0,276,405
HUB 1-D,349,18,14,4,0,367,594
HUB 2-A,328,24,15,9,0,352,555
HUB 2-B,357,27,16,11,0,384,606
HUB 3-A,262,25,12,13,0,287,407
HUB 3-B,197,15,4,11,0,212,298
HUB 3-C,236,24,10,14,0,260,381
HUB 3-D,359,26,12,14,0,385,532
HUB 3-E,220,19,12,7,0,239,393
HUB 4-A,298,25,14,11,0,323,500
HUB 4-B,300,16,8,8,0,316,500
HUB 4-C,303,15,7,8,0,318,485
HUB 4-D,349,15,7,8,0,364,491
HUB 5-A,304,5,3,2,0,309,438
HUB 5-B,285,16,5,11,0,301,434
HUB 5-C,319,3,1,2,0,322,479
HUB 5-D,304,11,8,3,0,315,440
HUB 6-A,262,14,7,7,0,276,424
HUB 6-B,364,36,23,13,0,400,617
HUB 6-C,384,17,11,6,0,401,557
HUB 6-D,275,17,8,9,0,292,483
