Precinct,Bill Lautar,Lynn Quillen,Total Votes Cast,Contest Total
KT 1-A,139,152,291,434
KT 1-B,135,151,286,404
KT 1-C,191,234,425,579
KT 1-D,170,232,402,533
KT 1-E,109,125,234,330
KT 1-F,147,174,321,441
KT 1-G,155,171,326,482
KT 1-H,193,229,422,603
KT 1-I,163,199,362,482
KT 2-A,178,194,372,526
KT 2-B,217,197,414,537
KT 2-C,226,226,452,549
KT 2-D,182,207,389,546
KT 2-E,204,264,468,590
KT 2-F,140,179,319,431
KT 2-G,325,261,586,739
KT 2-H,228,221,449,606
KT 2-I,184,169,353,459
KT 2-J,114,144,258,345
KT 3-A,196,203,399,582
KT 3-B,237,168,405,593
KT 3-C,265,193,458,609
KT 3-D,126,185,311,454
KT 3-E,231,194,425,580
KT 3-F,192,147,339,457
KT 3-G,177,197,374,489
KT 3-H,233,193,426,554
KT 3-I,232,173,405,544
KT 3-J,225,193,418,537
KT 3-K,238,280,518,680
KT 4-A,267,234,501,720
KT 4-B,218,239,457,680
KT 4-C,155,165,320,419
KT 4-D,236,193,429,581
KT 4-E,206,177,383,542
KT 4-F,224,193,417,602
KT 4-G,346,259,605,806
KT 4-H,128,176,304,411
KT 4-I,245,192,437,614
KT 4-J,212,148,360,520
KT 4-K,216,198,414,595
MOR 1-A,46,57,103,156
MOR 3-A,0,0,0,0
