Precinct,Jennifer Slanker Kane,Justin LeBrun,Chrissie Richards,Steve White,Total Votes Cast,Contest Total
KT 1-A,171,91,149,84,495,868
KT 1-B,126,114,128,100,468,808
KT 1-C,200,162,184,173,719,1158
KT 1-D,207,130,189,145,671,1066
KT 1-E,129,88,105,86,408,660
KT 1-F,154,123,151,87,515,882
KT 1-G,164,98,197,121,580,964
KT 1-H,232,127,203,162,724,1206
KT 1-I,180,124,170,151,625,964
KT 2-A,205,125,200,129,659,1052
KT 2-B,232,139,195,152,718,1074
KT 2-C,241,198,208,147,794,1098
KT 2-D,209,116,198,147,670,1092
KT 2-E,216,206,211,191,824,1180
KT 2-F,145,121,153,145,564,862
KT 2-G,330,227,276,208,1041,1478
KT 2-H,265,164,222,156,807,1212
KT 2-I,201,116,196,116,629,918
KT 2-J,141,71,154,68,434,690
KT 3-A,245,117,210,117,689,1164
KT 3-B,286,112,239,116,753,1186
KT 3-C,258,134,246,148,786,1218
KT 3-D,179,93,176,81,529,908
KT 3-E,244,130,216,152,742,1160
KT 3-F,218,100,183,98,599,914
KT 3-G,203,119,209,124,655,978
KT 3-H,238,120,223,124,705,1108
KT 3-I,269,112,226,147,754,1088
KT 3-J,265,131,251,127,774,1074
KT 3-K,299,176,251,178,904,1360
KT 4-A,320,141,284,156,901,1440
KT 4-B,304,113,248,128,793,1360
KT 4-C,190,103,170,94,557,838
KT 4-D,260,149,234,136,779,1162
KT 4-E,222,135,189,129,675,1084
KT 4-F,274,115,233,137,759,1204
KT 4-G,403,187,343,194,1127,1612
KT 4-H,165,104,161,92,522,822
KT 4-I,287,105,268,124,784,1228
KT 4-J,250,92,202,97,641,1040
KT 4-K,258,136,225,128,747,1190
MOR 1-A,48,32,43,38,161,312
MOR 3-A,0,0,0,0,0,0
