Precinct,Greg J. Clingerman,Bob Matthews,Total Votes Cast,Contest Total
MBG 1-A,228,187,415,639
MBG 1-B,144,205,349,539
MBG 1-C,198,181,379,546
MBG 2-A,88,127,215,392
MBG 2-B,126,178,304,467
MBG 2-C,160,214,374,566
MBG 3-A,131,122,253,376
MBG 3-B,141,203,344,574
MBG 3-C,153,121,274,402
MBG 3-D,164,214,378,571
MBG 4-A,188,169,357,508
MBG 4-B,151,176,327,476
MBG 4-C,162,112,274,412
MBG 4-D,198,320,518,751
MIATWP-A,187,154,341,498
MIATWP-B,131,146,277,399
MIATWP-C,151,176,327,469
MIATWP-D,112,178,290,401
MIATWP-E,309,271,580,737
MIATWP-F,151,167,318,457
MIATWP-G,144,138,282,399
MIATWP-H,131,163,294,414
MIATWP-I,110,77,187,256
MIATWP-J,110,160,270,407
MIATWP-K,260,183,443,621
MIATWP-L,134,155,289,413
MIATWP-M,150,184,334,438
MIATWP-N,195,224,419,540
MIATWP-O,211,173,384,540
MIATWP-P,87,90,177,269
MIATWP-Q,192,130,322,468
MIATWP-R,86,84,170,251
MIATWP-S,152,164,316,470
MIATWP-T,0,0,0,0
MIATWP-U,130,135,265,363
MIATWP-V,116,155,271,375
