Precinct,Donald R. Culp,Michael B. Short,Total Votes Cast,Contest Total
MBG 1-A,327,110,437,639
MBG 1-B,226,153,379,539
MBG 1-C,292,110,402,546
MBG 2-A,136,94,230,392
MBG 2-B,229,107,336,467
MBG 2-C,260,147,407,566
MBG 3-A,198,71,269,376
MBG 3-B,270,113,383,574
MBG 3-C,213,80,293,402
MBG 3-D,290,124,414,571
MBG 4-A,266,103,369,508
MBG 4-B,251,91,342,476
MBG 4-C,235,71,306,412
MBG 4-D,383,144,527,751
MIATWP-A,281,81,362,498
MIATWP-B,197,99,296,399
MIATWP-C,237,104,341,469
MIATWP-D,178,105,283,401
MIATWP-E,510,106,616,737
MIATWP-F,198,136,334,457
MIATWP-G,213,91,304,399
MIATWP-H,217,98,315,414
MIATWP-I,136,59,195,256
MIATWP-J,180,108,288,407
MIATWP-K,338,129,467,621
MIATWP-L,235,75,310,413
MIATWP-M,241,85,326,438
MIATWP-N,378,73,451,540
MIATWP-O,305,97,402,540
MIATWP-P,102,80,182,269
MIATWP-Q,205,117,322,468
MIATWP-R,125,62,187,251
MIATWP-S,262,95,357,470
MIATWP-T,0,0,0,0
MIATWP-U,204,84,288,363
MIATWP-V,175,112,287,375
