Precinct,Nila Getter,Brent Masters,Jason Mowery,Scott A. Taylor,Katherine Ann Winchek,Total Votes Cast,Contest Total
GERTWP-A,23,12,12,20,15,82,128
GERTWP-B,13,11,11,8,1,44,56
MBG 1-A,351,210,186,107,133,987,1278
MBG 1-B,257,138,178,108,114,795,1078
MBG 1-C,322,210,150,59,132,873,1092
MBG 2-A,170,132,97,49,83,531,784
MBG 2-B,183,127,153,82,110,655,934
MBG 2-C,275,168,172,87,129,831,1132
MBG 3-A,148,85,126,86,85,530,752
MBG 3-B,311,185,126,108,151,881,1148
MBG 3-C,164,128,97,81,89,559,804
MBG 3-D,278,170,174,91,132,845,1142
MBG 4-A,252,144,164,72,119,751,1016
MBG 4-B,226,143,117,130,118,734,952
MBG 4-C,199,132,101,84,108,624,824
MBG 4-D,393,230,190,192,146,1151,1502
MIATWP-A,161,87,128,90,139,605,996
MIATWP-C,206,139,176,107,93,721,938
MIATWP-D,147,70,107,109,106,539,802
MIATWP-E,287,149,218,192,208,1054,1474
MIATWP-F,189,75,132,75,139,610,914
MIATWP-I,59,57,70,40,90,316,512
MIATWP-K,250,102,207,96,176,831,1242
MIATWP-L,0,0,0,0,0,0,0
MIATWP-M,171,65,139,85,130,590,876
MIATWP-N,170,61,96,87,104,518,792
MIATWP-P,86,37,75,38,93,329,538
MIATWP-Q,156,58,141,78,158,591,936
MIATWP-S,230,137,146,80,111,704,940
MIATWP-T,0,0,0,0,0,0,0
MIATWP-V,148,83,116,72,120,539,750
WCR-A,0,0,0,0,0,0,0
