Precinct,Daryl Michael,Total Votes Cast,Contest Total
BRK-A,317,317,598
BRK-B,258,258,464
BRK-C,329,329,619
BRK-D,293,293,528
CLATWP-B,203,203,381
CLATWP-C,191,191,326
CTN 1-B,0,0,1
DAY 2-C,0,0,1
DAY 2-D,0,0,0
DAY 3-B,75,75,145
DAY 3-C,66,66,122
DAY 3-D,144,144,290
DAY 3-F,1,1,2
DAY 3-G,73,73,136
DAY 3-J,14,14,25
DAY 3-K,267,267,507
DAY 11-C,6,6,15
DAY 14-A,67,67,108
DAY 14-C,17,17,39
FARM,206,206,406
GERTWP-A,269,269,512
GERTWP-B,339,339,633
GTN-A,304,304,592
GTN-B,239,239,444
GTN-C,354,354,580
GTN-D,283,283,511
HARTWP-A,125,125,226
HARTWP-B,173,173,297
HARTWP-C,174,174,289
HARTWP-E,113,113,189
HARTWP-N,172,172,295
HUB 5-B,0,0,0
JAKTWP-A,392,392,673
JAKTWP-B,269,269,479
JEFTWP-A,293,293,565
JEFTWP-B,92,92,146
JEFTWP-C,228,228,440
JEFTWP-D,285,285,425
JNLB-A,181,181,321
JNLB-B,292,292,468
MIATWP-J,0,0,0
MOR 2-A,53,53,111
PERTWP-A,209,209,396
PERTWP-B,244,244,463
PERTWP-C,298,298,499
PM,129,129,201
PNLB,213,213,314
RV-A,303,303,485
RV-B,151,151,269
RV-C,247,247,393
RV-E,171,171,310
RV-F,246,246,373
RV-G,215,215,346
RV-H,110,110,174
RV-I,183,183,299
RV-J,196,196,334
RV-L,43,43,67
RV-M,269,269,409
RV-N,167,167,257
RV-P,311,311,472
TR 1-A,10,10,25
TR 3-B,56,56,88
WCR-A,5,5,18
