Precinct,Cinda Shell,Tomas Steck,Total Votes Cast,Contest Total
BRK-A,236,277,513,1196
BRK-B,166,230,396,928
BRK-C,222,320,542,1238
BRK-D,196,263,459,1056
CLATWP-B,106,184,290,762
CLATWP-C,109,178,287,652
CTN 1-B,0,0,0,2
DAY 2-C,0,1,1,2
DAY 2-D,0,0,0,0
DAY 3-B,54,78,132,290
DAY 3-C,64,57,121,244
DAY 3-D,133,116,249,580
DAY 3-F,1,1,2,4
DAY 3-G,67,53,120,272
DAY 3-J,18,11,29,50
DAY 3-K,231,211,442,1014
DAY 11-C,8,4,12,30
DAY 14-A,63,44,107,216
DAY 14-C,14,12,26,78
FARM,203,147,350,812
GERTWP-A,237,215,452,1024
GERTWP-B,274,276,550,1266
GTN-A,257,249,506,1184
GTN-B,211,193,404,888
GTN-C,304,274,578,1160
GTN-D,245,209,454,1022
HARTWP-A,94,105,199,452
HARTWP-B,129,135,264,594
HARTWP-C,131,128,259,578
HARTWP-E,84,88,172,378
HARTWP-N,131,130,261,590
HUB 5-B,0,0,0,0
JAKTWP-A,325,306,631,1346
JAKTWP-B,228,198,426,958
JEFTWP-A,246,186,432,1130
JEFTWP-B,86,47,133,292
JEFTWP-C,184,155,339,880
JEFTWP-D,286,144,430,850
JNLB-A,137,130,267,642
JNLB-B,208,205,413,936
MIATWP-J,0,0,0,0
MOR 2-A,43,43,86,222
PERTWP-A,117,218,335,792
PERTWP-B,162,228,390,926
PERTWP-C,192,221,413,998
PM,113,84,197,402
PNLB,130,147,277,628
RV-A,261,252,513,970
RV-B,124,113,237,538
RV-C,205,170,375,786
RV-E,137,136,273,620
RV-F,200,190,390,746
RV-G,168,165,333,692
RV-H,88,76,164,348
RV-I,142,138,280,598
RV-J,167,146,313,668
RV-L,35,36,71,134
RV-M,234,212,446,818
RV-N,135,125,260,514
RV-P,249,224,473,944
TR 1-A,4,9,13,50
TR 3-B,41,45,86,176
WCR-A,3,7,10,36
