Precinct,Jeffery Blair,Karl Espeleta,Nick Orrill,Total Votes Cast,Contest Total
CLATWP-A,134,145,162,441,868
CLATWP-B,22,30,14,66,124
CLATWP-C,43,48,55,146,316
CTN 1-A,167,196,189,552,994
CTN 1-B,179,226,191,596,1026
CTN 1-C,240,261,266,767,1304
CTN 1-D,169,173,151,493,754
CTN 2-A,160,201,177,538,924
CTN 2-B,240,263,248,751,1216
CTN 2-C,266,229,201,696,1164
CTN 3-A,242,261,231,734,1316
CTN 3-B,221,219,243,683,1166
CTN 3-C,240,181,166,587,984
ENG-A,208,254,243,705,1230
ENG-B,177,195,216,588,1088
ENG-C,190,194,153,537,904
ENG-D,208,271,267,746,1248
ENG-E,232,214,239,685,1210
ENG-F,188,213,247,648,1048
ENG-G,190,269,201,660,1182
ENG-H,177,189,194,560,912
ENG-I,153,173,157,483,816
ENG-J,157,208,182,547,970
PHBG,67,66,63,196,356
TR 1-B,19,22,17,58,90
UN-A,113,110,121,344,610
UN-B,194,157,216,567,1004
UN-C,157,136,148,441,720
UN-D,205,243,239,687,1180
UN-E,209,166,210,585,1106
