Precinct,Rhonda C. Finley,Robert L. Kelley Jr.,Denise Moore,Norman J. Scearce,Total Votes Cast,Contest Total
TR 1-A,184,159,245,152,740,980
TR 1-B,118,100,122,114,454,580
TR 1-C,146,151,206,130,633,758
TR 1-D,107,107,113,91,418,540
TR 1-E,202,177,258,136,773,986
TR 2-A,116,122,193,125,556,734
TR 2-B,150,135,219,135,639,818
TR 2-C,108,97,148,89,442,576
TR 2-D,128,110,108,62,408,594
TR 2-E,120,129,175,131,555,666
TR 3-A,97,95,164,104,460,586
TR 3-B,113,98,133,149,493,752
TR 3-C,76,79,108,85,348,512
TR 3-D,195,172,193,105,665,866
TR 4-A,162,164,230,164,720,888
TR 4-B,125,91,135,92,443,602
TR 4-C,74,85,101,54,314,438
TR 4-D,139,126,148,89,502,632
