Precinct,Mary A. McDonald,Yvette F. Page,Total Votes Cast,Contest Total
TR 1-A,236,237,473,490
TR 1-B,121,152,273,290
TR 1-C,189,182,371,379
TR 1-D,108,159,267,270
TR 1-E,243,243,486,493
TR 2-A,176,181,357,367
TR 2-B,175,222,397,409
TR 2-C,147,137,284,288
TR 2-D,138,138,276,297
TR 2-E,139,188,327,333
TR 3-A,147,136,283,293
TR 3-B,195,144,339,376
TR 3-C,131,106,237,256
TR 3-D,181,239,420,433
TR 4-A,222,215,437,444
TR 4-B,136,154,290,301
TR 4-C,109,102,211,219
TR 4-D,173,137,310,316
