Precinct,Amber Aivalotis Weaver,Cindy Doogan,Corey M. Follick,Jack R. Herbst,Constance R. Woods,Total Votes Cast,Contest Total
VD-A,199,170,179,117,134,799,1332
VD-B,143,102,122,91,71,529,885
VD-C,214,259,244,168,180,1065,1662
VD-D,201,215,220,177,209,1022,1500
VD-E,180,120,194,103,141,738,1125
VD-F,245,313,271,206,224,1259,1944
VD-G,211,222,282,175,205,1095,1515
VD-H,244,246,375,232,340,1437,2001
VD-I,221,201,237,161,201,1021,1578
VD-J,229,294,317,180,285,1305,1980
VD-K,248,206,274,178,200,1106,1767
