Precinct,Mary Kilsheimer,Rodney A. Washburn,Total Votes Cast,Contest Total
BTLTWP-A,299,282,581,1148
BTLTWP-B,293,276,569,1094
BTLTWP-C,379,347,726,1340
BTLTWP-D,353,325,678,1252
BTLTWP-E,267,251,518,928
BTLTWP-F,305,292,597,1058
BTLTWP-G,184,161,345,644
DAY 3-B,24,18,42,130
HUB 1-D,0,0,0,0
UN-C,89,80,169,320
VD-A,230,194,424,888
VD-B,177,139,316,590
VD-C,284,266,550,1108
VD-D,311,278,589,1000
VD-E,209,181,390,750
VD-F,353,305,658,1296
VD-G,275,271,546,1010
VD-H,411,392,803,1334
VD-I,289,245,534,1052
VD-J,350,339,689,1320
VD-K,321,291,612,1178
