Precinct,Gary P. Smiga,Total Votes Cast,Contest Total
CV-A,205,205,364
CV-B,383,383,649
CV-C,251,251,415
CV-D,250,250,385
CV-E,340,340,598
CV-F,402,402,702
CV-G,416,416,727
CV-H,444,444,773
CV-I,518,518,801
CV-J,411,411,686
CV-K,404,404,715
CV-L,463,463,766
CV-M,349,349,646
CV-N,331,331,550
CV-O,490,490,809
CV-P,392,392,679
CV-Q,337,337,589
CV-R,326,326,585
WASTWP-A,333,333,597
WASTWP-B,448,448,743
WASTWP-C,403,403,685
WASTWP-D,294,294,508
WASTWP-E,448,448,725
WASTWP-F,246,246,438
WASTWP-G,445,445,753
WASTWP-H,391,391,634
WASTWP-I,264,264,449
WASTWP-J,321,321,574
WASTWP-K,360,360,568
WASTWP-L,273,273,499
WASTWP-M,420,420,690
WASTWP-N,347,347,568
WASTWP-O,329,329,559
WASTWP-P,383,383,654
WASTWP-Q,350,350,638
WASTWP-R,331,331,500
WASTWP-S,329,329,531
WASTWP-T,318,318,538
WASTWP-U,402,402,667
WASTWP-V,354,354,617
WASTWP-W,221,221,390
WASTWP-X,326,326,526
WASTWP-Y,423,423,693
WASTWP-Z,367,367,598
WASTWP-AA,386,386,622
WASTWP-BB,247,247,416
WASTWP-CC,429,429,761
