Precinct,Scott Colwell,David Cordonnier,Brian P. Lunne,Keith Weiskittle,Total Votes Cast,Contest Total
CV-A,63,45,53,41,202,364
CV-B,69,63,207,92,431,649
CV-C,54,57,100,52,263,415
CV-D,61,42,86,60,249,385
CV-E,72,72,196,56,396,598
CV-F,54,105,217,75,451,702
CV-G,81,103,205,60,449,727
CV-H,82,123,244,94,543,773
CV-I,110,101,246,99,556,801
CV-J,85,94,201,80,460,686
CV-K,72,88,252,67,479,715
CV-L,84,90,267,91,532,766
CV-M,80,100,164,53,397,646
CV-N,63,64,172,62,361,550
CV-O,82,61,315,121,579,809
CV-P,83,115,168,59,425,679
CV-Q,55,59,183,77,374,589
CV-R,62,75,182,77,396,585
WASTWP-A,46,64,268,80,458,597
WASTWP-B,64,50,339,94,547,743
WASTWP-C,72,97,255,115,539,685
WASTWP-D,35,59,256,65,415,508
WASTWP-E,68,63,340,90,561,725
WASTWP-F,48,42,183,51,324,438
WASTWP-G,88,77,331,82,578,753
WASTWP-H,83,67,236,73,459,634
WASTWP-I,57,52,125,74,308,449
WASTWP-J,79,75,171,74,399,574
WASTWP-K,60,48,221,114,443,568
WASTWP-L,60,77,113,65,315,499
WASTWP-M,100,64,242,103,509,690
WASTWP-N,78,59,139,97,373,568
WASTWP-O,78,57,204,82,421,559
WASTWP-P,58,54,258,94,464,654
WASTWP-Q,84,73,181,95,433,638
WASTWP-R,64,51,184,82,381,500
WASTWP-S,98,63,169,77,407,531
WASTWP-T,59,78,153,75,365,538
WASTWP-U,63,62,243,121,489,667
WASTWP-V,70,67,206,98,441,617
WASTWP-W,49,55,93,56,253,390
WASTWP-X,75,58,182,74,389,526
WASTWP-Y,112,61,248,88,509,693
WASTWP-Z,79,66,213,89,447,598
WASTWP-AA,91,60,170,107,428,622
WASTWP-BB,54,55,105,88,302,416
WASTWP-CC,77,68,369,64,578,761
