Precinct,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total
BRK-A,1092,598,0,0.5476
BRK-B,986,464,0,0.4706
BRK-C,1095,619,0,0.5653
BRK-D,960,528,0,0.55
BTLTWP-A,987,574,0,0.5816
BTLTWP-B,962,547,0,0.5686
BTLTWP-C,1081,670,0,0.6198
BTLTWP-D,1023,626,2,0.6119
BTLTWP-E,696,464,0,0.6667
BTLTWP-F,813,529,0,0.6507
BTLTWP-G,749,322,0,0.4299
CLATWP-A,697,434,0,0.6227
CLATWP-B,794,443,0,0.5579
CLATWP-C,1179,646,0,0.5479
CTN 1-A,736,497,0,0.6753
CTN 1-B,853,514,0,0.6026
CTN 1-C,998,652,0,0.6533
CTN 1-D,781,421,0,0.5391
CTN 2-A,828,462,0,0.558
CTN 2-B,1110,608,0,0.5477
CTN 2-C,1163,663,0,0.5701
CTN 3-A,1065,658,1,0.6178
CTN 3-B,1089,583,0,0.5354
CTN 3-C,1112,492,0,0.4424
CV-A,1042,364,0,0.3493
CV-B,1073,649,0,0.6048
CV-C,659,415,0,0.6297
CV-D,934,385,0,0.4122
CV-E,990,598,0,0.604
CV-F,1110,702,0,0.6324
CV-G,1231,727,0,0.5906
CV-H,1171,773,0,0.6601
CV-I,1183,801,1,0.6771
CV-J,1075,686,0,0.6381
CV-K,1118,715,0,0.6395
CV-L,1169,766,0,0.6553
CV-M,1086,646,0,0.5948
CV-N,1056,550,0,0.5208
CV-O,1325,809,0,0.6106
CV-P,1184,679,0,0.5735
CV-Q,1079,589,0,0.5459
CV-R,1152,585,0,0.5078
DAY 1-A,1540,142,0,0.0922
DAY 1-B,1060,498,0,0.4698
DAY 1-C,1075,320,0,0.2977
DAY 1-D,776,233,0,0.3003
DAY 1-E,927,498,0,0.5372
DAY 2-A,949,240,0,0.2529
DAY 2-B,763,363,0,0.4758
DAY 2-C,925,306,0,0.3308
DAY 2-D,953,180,0,0.1889
DAY 3-A,624,144,0,0.2308
DAY 3-B,578,210,0,0.3633
DAY 3-C,1091,583,0,0.5344
DAY 3-D,848,290,0,0.342
DAY 3-E,621,163,0,0.2625
DAY 3-F,990,501,0,0.5061
DAY 3-G,927,247,0,0.2665
DAY 3-H,919,258,0,0.2807
DAY 3-I,1108,543,0,0.4901
DAY 3-J,1171,409,0,0.3493
DAY 3-K,1151,594,0,0.5161
DAY 3-L,1031,557,0,0.5403
DAY 4-A,939,318,0,0.3387
DAY 4-B,915,236,0,0.2579
DAY 4-C,829,281,0,0.339
DAY 5-A,738,214,0,0.29
DAY 5-B,752,244,0,0.3245
DAY 5-C,659,174,0,0.264
DAY 5-D,936,231,0,0.2468
DAY 6-A,934,266,0,0.2848
DAY 6-B,915,240,0,0.2623
DAY 6-C,855,204,0,0.2386
DAY 7-A,836,205,0,0.2452
DAY 7-B,483,208,0,0.4306
DAY 8-A,1028,435,0,0.4232
DAY 8-B,1164,442,0,0.3797
DAY 8-C,1084,449,0,0.4142
DAY 8-D,1149,410,1,0.3568
DAY 9-A,1047,627,0,0.5989
DAY 9-B,1082,530,0,0.4898
DAY 9-C,1121,618,0,0.5513
DAY 9-D,1036,398,0,0.3842
DAY 10-A,854,411,0,0.4813
DAY 10-B,700,338,0,0.4829
DAY 10-C,702,324,0,0.4615
DAY 10-D,840,377,0,0.4488
DAY 10-E,789,340,0,0.4309
DAY 11-A,607,259,0,0.4267
DAY 11-B,969,215,0,0.2219
DAY 11-C,841,241,0,0.2866
DAY 11-D,998,367,0,0.3677
DAY 11-E,743,298,0,0.4011
DAY 12-A,1052,415,0,0.3945
DAY 12-B,738,335,0,0.4539
DAY 12-C,1004,312,0,0.3108
DAY 12-D,922,202,0,0.2191
DAY 13-A,765,229,0,0.2993
DAY 13-B,716,105,0,0.1466
DAY 14-A,931,290,1,0.3115
DAY 14-B,659,109,0,0.1654
DAY 14-C,842,182,0,0.2162
DAY 14-D,1166,307,0,0.2633
DAY 15-A,886,263,0,0.2968
DAY 15-B,1044,294,0,0.2816
DAY 15-C,687,205,0,0.2984
DAY 15-D,763,226,0,0.2962
DAY 16-A,831,279,0,0.3357
DAY 16-B,748,179,0,0.2393
DAY 16-C,820,200,0,0.2439
DAY 16-D,1133,450,0,0.3972
DAY 16-E,770,263,0,0.3416
DAY 17-A,690,199,0,0.2884
DAY 17-B,1032,253,0,0.2452
DAY 17-C,1032,282,0,0.2733
DAY 17-D,800,183,0,0.2288
DAY 18-A,680,202,0,0.2971
DAY 18-B,884,362,0,0.4095
DAY 18-C,946,209,0,0.2209
DAY 18-D,827,202,0,0.2443
DAY 19-A,630,97,0,0.154
DAY 19-B,1003,254,0,0.2532
DAY 19-C,749,225,0,0.3004
DAY 20-A,1091,553,0,0.5069
DAY 20-B,1209,564,0,0.4665
DAY 20-C,856,380,0,0.4439
DAY 20-D,828,385,0,0.465
DAY 21-A,874,192,0,0.2197
DAY 21-B,899,189,0,0.2102
DAY 21-C,921,297,0,0.3225
DAY 22-A,1233,448,0,0.3633
DAY 22-B,793,373,0,0.4704
DAY 22-C,1377,471,0,0.342
DAY 23-A,887,394,0,0.4442
ENG-A,969,615,0,0.6347
ENG-B,995,544,0,0.5467
ENG-C,1057,452,0,0.4276
ENG-D,1208,624,0,0.5166
ENG-E,1082,605,0,0.5591
ENG-F,913,524,0,0.5739
ENG-G,952,591,0,0.6208
ENG-H,774,456,0,0.5891
ENG-I,733,408,0,0.5566
ENG-J,946,485,0,0.5127
FARM,671,406,0,0.6051
GERTWP-A,1114,647,0,0.5808
GERTWP-B,1147,661,0,0.5763
GTN-A,1023,592,0,0.5787
GTN-B,969,444,0,0.4582
GTN-C,960,580,0,0.6042
GTN-D,1030,511,0,0.4961
HARTWP-A,718,226,0,0.3148
HARTWP-B,848,297,0,0.3502
HARTWP-C,1203,289,0,0.2402
HARTWP-D,1101,538,0,0.4886
HARTWP-E,563,189,0,0.3357
HARTWP-F,587,204,0,0.3475
HARTWP-G,908,327,0,0.3601
HARTWP-H,1109,309,0,0.2786
HARTWP-I,958,274,0,0.286
HARTWP-J,894,340,0,0.3803
HARTWP-K,1169,286,0,0.2447
HARTWP-L,978,548,0,0.5603
HARTWP-M,1100,531,0,0.4827
HARTWP-N,815,295,0,0.362
HARTWP-O,1144,473,0,0.4135
HUB 1-A,1093,486,0,0.4446
HUB 1-B,1282,697,0,0.5437
HUB 1-C,1145,405,0,0.3537
HUB 1-D,1130,594,0,0.5257
HUB 2-A,1126,555,0,0.4929
HUB 2-B,1145,606,0,0.5293
HUB 3-A,840,407,0,0.4845
HUB 3-B,962,298,0,0.3098
HUB 3-C,842,381,0,0.4525
HUB 3-D,1191,532,0,0.4467
HUB 3-E,878,393,0,0.4476
HUB 4-A,1133,500,0,0.4413
HUB 4-B,1032,500,0,0.4845
HUB 4-C,1249,485,0,0.3883
HUB 4-D,1159,491,0,0.4236
HUB 5-A,1154,438,0,0.3795
HUB 5-B,1089,434,0,0.3985
HUB 5-C,1052,479,0,0.4553
HUB 5-D,1073,440,0,0.4101
HUB 6-A,861,424,0,0.4925
HUB 6-B,1126,617,0,0.548
HUB 6-C,1039,557,0,0.5361
HUB 6-D,1053,483,0,0.4587
JAKTWP-A,1180,673,0,0.5703
JAKTWP-B,770,479,0,0.6221
JEFTWP-A,1181,589,0,0.4987
JEFTWP-B,1019,280,0,0.2748
JEFTWP-C,881,440,0,0.4994
JEFTWP-D,1090,425,0,0.3899
JNLB-A,652,321,31,0.4923
JNLB-B,999,468,23,0.4685
KT 1-A,926,434,0,0.4687
KT 1-B,838,404,0,0.4821
KT 1-C,1201,579,0,0.4821
KT 1-D,1235,533,0,0.4316
KT 1-E,906,438,0,0.4834
KT 1-F,871,441,0,0.5063
KT 1-G,953,482,0,0.5058
KT 1-H,1128,603,0,0.5346
KT 1-I,1076,482,0,0.448
KT 2-A,1090,526,0,0.4826
