Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,553,141,694,0,117,811
HUB 1-B,688,154,842,0,128,970
HUB 1-C,510,101,611,0,123,734
HUB 1-D,614,152,766,0,135,901
HUB 2-A,589,122,711,0,122,833
HUB 2-B,588,172,760,0,125,885
HUB 3-A,430,109,539,0,90,629
HUB 3-B,388,92,480,0,99,579
HUB 3-C,403,99,502,0,87,589
HUB 3-D,536,173,709,0,135,844
HUB 3-E,429,112,541,0,108,649
HUB 4-A,537,151,688,0,115,803
HUB 4-B,497,141,638,0,116,754
HUB 4-C,558,152,710,0,126,836
HUB 4-D,571,115,686,0,111,797
HUB 5-A,503,129,632,0,112,744
HUB 5-B,501,134,635,0,109,744
HUB 5-C,503,141,644,0,105,749
HUB 5-D,518,131,649,0,121,770
HUB 6-A,456,81,537,0,100,637
HUB 6-B,574,174,748,0,116,864
HUB 6-C,531,150,681,0,126,807
HUB 6-D,498,140,638,0,119,757
