Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,326,93,419,0,107,526
RV-A,404,158,562,0,105,667
RV-B,280,171,451,0,109,560
RV-C,366,192,558,0,150,708
RV-D,359,213,572,0,156,728
RV-E,302,197,499,0,120,619
RV-F,352,140,492,0,109,601
RV-G,271,145,416,0,120,536
RV-H,201,90,291,0,69,360
RV-I,258,144,402,0,124,526
RV-J,275,129,404,0,108,512
RV-K,393,154,547,0,143,690
RV-L,228,101,329,0,91,420
RV-M,440,171,611,0,103,714
RV-N,274,137,411,0,111,522
RV-O,387,188,575,0,141,716
RV-P,416,212,628,1,127,756
