Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,365,221,586,0,49,635
CV-B,497,342,839,0,41,880
CV-C,296,251,547,0,17,564
CV-D,351,266,617,0,31,648
CV-E,404,387,791,0,24,815
CV-F,509,406,915,0,22,937
CV-G,476,488,964,0,38,1002
CV-H,575,376,951,0,54,1005
CV-I,517,520,1037,0,50,1087
CV-J,450,436,886,0,28,914
CV-K,483,426,909,0,34,943
CV-L,534,468,1002,0,30,1032
CV-M,347,475,822,0,37,859
CV-N,474,243,717,0,60,777
CV-O,532,535,1067,0,36,1103
CV-P,478,446,924,0,39,963
CV-Q,511,329,840,1,40,881
CV-R,457,386,843,0,37,880
CV-R,457,386,843,0,37,880
KT 3-I,1,3,4,0,0,4
WASTWP-A,438,326,764,0,15,779
WASTWP-B,600,467,1067,0,18,1085
WASTWP-C,470,401,871,1,23,895
WASTWP-D,332,310,642,0,15,657
WASTWP-E,476,427,903,0,16,919
WASTWP-F,324,264,588,0,13,601
WASTWP-G,527,452,979,0,20,999
WASTWP-H,460,332,792,0,17,809
WASTWP-I,374,281,655,0,17,672
WASTWP-J,428,387,815,0,51,866
WASTWP-K,457,335,792,0,25,817
WASTWP-L,328,356,684,0,42,726
WASTWP-M,409,499,908,0,29,937
WASTWP-N,470,336,806,0,36,842
WASTWP-O,385,470,855,0,23,878
WASTWP-P,570,400,970,0,19,989
WASTWP-Q,512,415,927,0,41,968
WASTWP-R,404,296,700,0,10,710
WASTWP-S,351,373,724,0,15,739
WASTWP-T,426,292,718,0,23,741
WASTWP-U,466,398,864,1,14,879
WASTWP-V,431,394,825,1,13,839
WASTWP-W,321,257,578,0,18,596
WASTWP-X,372,318,690,0,19,709
WASTWP-Y,645,434,1079,0,29,1108
WASTWP-Z,421,326,747,0,13,760
WASTWP-AA,430,378,808,0,19,827
WASTWP-BB,331,279,610,0,14,624
WASTWP-CC,535,464,999,0,26,1025
