Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,290,197,487,0,148,635
CV-B,395,332,727,1,152,880
CV-C,225,234,459,0,105,564
CV-D,274,252,526,0,122,648
CV-E,359,316,675,0,140,815
CV-F,376,394,770,0,167,937
CV-G,426,396,822,0,180,1002
CV-H,458,354,812,0,193,1005
CV-I,472,444,916,0,171,1087
CV-J,361,393,754,0,160,914
CV-K,382,406,788,0,155,943
CV-L,406,441,847,0,185,1032
CV-M,336,376,712,0,147,859
CV-N,390,234,624,0,153,777
CV-O,500,416,916,0,187,1103
CV-P,418,391,809,0,154,963
CV-Q,397,317,714,0,167,881
CV-R,351,366,717,0,163,880
