Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,499,188,687,0,124,811
HUB 1-B,646,192,838,0,132,970
HUB 1-C,480,128,608,0,126,734
HUB 1-D,576,177,753,0,148,901
HUB 2-A,533,168,701,0,132,833
HUB 2-B,556,193,749,0,136,885
HUB 3-A,401,125,526,0,103,629
HUB 3-B,365,114,479,2,98,579
HUB 3-C,364,129,493,0,96,589
HUB 3-D,491,204,695,0,149,844
HUB 3-E,422,108,530,0,119,649
HUB 4-A,475,196,671,0,132,803
HUB 4-B,459,171,630,0,124,754
HUB 4-C,513,193,706,0,130,836
HUB 4-D,524,153,677,0,120,797
HUB 5-A,442,180,622,0,122,744
HUB 5-B,473,147,620,0,124,744
HUB 5-C,449,183,632,0,117,749
HUB 5-D,479,165,644,0,126,770
HUB 6-A,420,120,540,0,97,637
HUB 6-B,516,220,736,1,127,864
HUB 6-C,488,187,675,0,132,807
HUB 6-D,454,181,635,0,122,757
