Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,374,345,719,0,92,811
HUB 1-B,493,377,870,0,100,970
HUB 1-C,365,272,637,0,97,734
HUB 1-D,456,350,806,0,95,901
HUB 2-A,425,304,729,1,103,833
HUB 2-B,449,331,780,0,105,885
HUB 3-A,321,244,565,1,63,629
HUB 3-B,311,199,510,0,69,579
HUB 3-C,275,241,516,0,73,589
HUB 3-D,369,359,728,0,116,844
HUB 3-E,288,271,559,0,90,649
HUB 4-A,385,319,704,0,99,803
HUB 4-B,340,320,660,0,94,754
HUB 4-C,403,330,733,0,103,836
HUB 4-D,398,311,709,0,88,797
HUB 5-A,368,286,654,0,90,744
HUB 5-B,390,267,657,0,87,744
HUB 5-C,381,285,666,0,83,749
HUB 5-D,383,294,677,0,93,770
HUB 6-A,343,221,564,0,73,637
HUB 6-B,431,350,781,0,83,864
HUB 6-C,381,335,716,0,91,807
HUB 6-D,350,315,665,0,92,757
