Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,599,131,730,0,81,811
HUB 1-B,699,173,872,0,98,970
HUB 1-C,519,112,631,0,103,734
HUB 1-D,621,184,805,0,96,901
HUB 2-A,598,136,734,0,99,833
HUB 2-B,636,149,785,0,100,885
HUB 3-A,455,111,566,0,63,629
HUB 3-B,413,92,505,1,73,579
HUB 3-C,422,93,515,0,74,589
HUB 3-D,557,175,732,0,112,844
HUB 3-E,442,125,567,0,82,649
HUB 4-A,538,167,705,0,98,803
HUB 4-B,515,143,658,0,96,754
HUB 4-C,575,159,734,0,102,836
HUB 4-D,567,144,711,0,86,797
HUB 5-A,524,131,655,0,89,744
HUB 5-B,513,143,656,0,88,744
HUB 5-C,513,144,657,0,92,749
HUB 5-D,550,134,684,0,86,770
HUB 6-A,475,91,566,0,71,637
HUB 6-B,616,163,779,0,85,864
HUB 6-C,543,172,715,0,92,807
HUB 6-D,511,158,669,0,88,757
