Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,480,206,686,0,125,811
HUB 1-B,620,214,834,0,136,970
HUB 1-C,474,146,620,0,114,734
HUB 1-D,558,212,770,0,131,901
HUB 2-A,552,160,712,0,121,833
HUB 2-B,544,212,756,1,128,885
HUB 3-A,393,150,543,0,86,629
HUB 3-B,380,105,485,1,93,579
HUB 3-C,354,140,494,0,95,589
HUB 3-D,481,216,697,0,147,844
HUB 3-E,384,152,536,0,113,649
HUB 4-A,472,207,679,0,124,803
HUB 4-B,434,188,622,1,131,754
HUB 4-C,517,190,707,0,129,836
HUB 4-D,531,161,692,0,105,797
HUB 5-A,448,181,629,0,115,744
HUB 5-B,461,167,628,0,116,744
HUB 5-C,463,173,636,0,113,749
HUB 5-D,454,197,651,0,119,770
HUB 6-A,429,111,540,2,95,637
HUB 6-B,538,211,749,0,115,864
HUB 6-C,473,210,683,0,124,807
HUB 6-D,441,195,636,0,121,757
