Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,306,106,412,0,114,526
RV-A,382,170,552,0,115,667
RV-B,273,174,447,0,113,560
RV-C,354,199,553,0,155,708
RV-D,365,196,561,0,167,728
RV-E,311,189,500,0,119,619
RV-F,353,138,491,0,110,601
RV-G,267,147,414,0,122,536
RV-H,210,80,290,0,70,360
RV-I,254,152,406,0,120,526
RV-J,267,135,402,0,110,512
RV-K,385,160,545,0,145,690
RV-L,210,112,322,0,98,420
RV-M,436,179,615,0,99,714
RV-N,250,153,403,0,119,522
RV-O,398,174,572,0,144,716
RV-P,404,220,624,1,131,756
