Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,291,129,420,0,106,526
RV-A,330,235,565,0,102,667
RV-B,241,220,461,0,99,560
RV-C,336,229,565,0,143,708
RV-D,331,252,583,0,145,728
RV-E,271,237,508,0,111,619
RV-F,317,184,501,0,100,601
RV-G,247,181,428,0,108,536
RV-H,192,98,290,0,70,360
RV-I,234,178,412,0,114,526
RV-J,249,166,415,0,97,512
RV-K,334,212,546,0,144,690
RV-L,203,126,329,0,91,420
RV-M,386,228,614,0,100,714
RV-N,254,162,416,0,106,522
RV-O,368,214,582,0,134,716
RV-P,370,266,636,1,119,756
