Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,305,108,413,0,113,526
RV-A,368,179,547,0,120,667
RV-B,277,170,447,0,113,560
RV-C,368,190,558,0,150,708
RV-D,382,191,573,0,155,728
RV-E,284,221,505,0,114,619
RV-F,333,151,484,0,117,601
RV-G,243,165,408,1,127,536
RV-H,203,87,290,0,70,360
RV-I,249,155,404,0,122,526
RV-J,265,133,398,0,114,512
RV-K,385,161,546,0,144,690
RV-L,215,114,329,0,91,420
RV-M,434,183,617,0,97,714
RV-N,261,144,405,0,117,522
RV-O,386,186,572,0,144,716
RV-P,401,225,626,1,129,756
