Precinct,Kent E. Harshbarger (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,697,697,0,226,923
BRK-B,557,557,0,142,699
BRK-C,696,696,0,215,911
BRK-D,603,603,0,181,784
BTLTWP-A,648,648,0,181,829
BTLTWP-B,521,521,0,206,727
BTLTWP-C,713,713,0,212,925
BTLTWP-D,619,619,0,242,861
BTLTWP-E,449,449,0,148,597
BTLTWP-F,495,495,0,192,687
BTLTWP-G,362,362,0,159,521
CLATWP-A,477,477,0,120,597
CLATWP-B,504,504,0,116,620
CLATWP-C,728,728,0,203,931
CTN 1-A,461,461,0,147,608
CTN 1-B,456,456,0,237,693
CTN 1-C,629,629,0,312,941
CTN 1-D,355,355,0,244,599
CTN 2-A,422,422,0,233,655
CTN 2-B,549,549,0,309,858
CTN 2-C,522,522,0,375,897
CTN 3-A,508,508,0,355,863
CTN 3-B,511,511,0,317,828
CTN 3-C,438,438,0,300,738
CV-A,412,412,0,226,638
CV-B,562,562,0,319,881
CV-C,374,374,0,191,565
CV-D,403,403,0,246,649
CV-E,531,531,0,288,819
CV-F,601,601,0,335,936
CV-G,662,662,0,343,1005
CV-H,654,654,0,355,1009
CV-I,753,753,0,338,1091
CV-J,627,627,0,288,915
CV-K,586,586,0,357,943
CV-L,690,690,0,342,1032
CV-M,576,576,0,287,863
CV-N,479,479,0,303,782
CV-O,715,715,0,391,1106
CV-P,619,619,0,345,964
CV-Q,535,535,0,346,881
CV-R,548,548,0,333,881
DAY 1-A,111,111,0,102,213
DAY 1-B,360,360,0,379,739
DAY 1-C,240,240,0,282,522
DAY 1-D,128,128,0,205,333
DAY 1-E,274,274,0,367,641
DAY 2-A,276,276,0,167,443
DAY 2-B,254,254,0,257,511
DAY 2-C,314,314,0,225,539
DAY 2-D,240,240,0,150,390
DAY 3-A,177,177,0,94,271
DAY 3-B,238,238,0,150,388
DAY 3-C,593,593,0,308,901
DAY 3-D,284,284,0,215,499
DAY 3-E,181,181,0,96,277
DAY 3-F,430,430,0,299,729
DAY 3-G,350,350,0,134,484
DAY 3-H,326,326,0,173,499
DAY 3-I,475,475,0,371,846
DAY 3-J,423,423,0,296,719
DAY 3-K,538,538,0,356,894
DAY 3-L,548,548,0,271,819
DAY 4-A,235,235,0,278,513
DAY 4-B,185,185,0,213,398
DAY 4-C,195,195,0,234,429
DAY 5-A,114,114,0,253,367
DAY 5-B,150,150,0,235,385
DAY 5-C,111,111,0,210,321
DAY 5-D,162,162,0,281,443
DAY 6-A,164,164,0,282,446
DAY 6-B,181,181,0,253,434
DAY 6-C,129,129,0,259,388
DAY 7-A,116,116,0,264,380
DAY 7-B,104,104,0,195,299
DAY 8-A,406,406,0,298,704
DAY 8-B,373,373,0,304,677
DAY 8-C,371,371,0,321,692
DAY 8-D,383,383,0,293,676
DAY 9-A,487,487,0,371,858
DAY 9-B,452,452,0,344,796
DAY 9-C,491,491,0,375,866
DAY 9-D,407,407,0,263,670
DAY 10-A,341,341,0,250,591
DAY 10-B,317,317,0,187,504
DAY 10-C,280,280,0,200,480
DAY 10-D,387,387,0,228,615
DAY 10-E,289,289,0,244,533
DAY 11-A,230,230,0,152,382
DAY 11-B,286,286,0,145,431
DAY 11-C,268,268,0,165,433
DAY 11-D,415,415,0,179,594
DAY 11-E,284,284,0,181,465
DAY 12-A,414,414,0,277,691
DAY 12-B,204,204,0,254,458
DAY 12-C,346,346,0,185,531
DAY 12-D,242,242,0,163,405
DAY 13-A,139,139,0,287,426
DAY 13-B,101,101,0,166,267
DAY 14-A,192,192,0,322,514
DAY 14-B,76,76,0,129,205
DAY 14-C,100,100,0,202,302
DAY 14-D,204,204,0,355,559
DAY 15-A,187,187,0,286,473
DAY 15-B,169,169,0,367,536
DAY 15-C,113,113,0,266,379
DAY 15-D,141,141,0,307,448
DAY 16-A,155,155,0,299,454
DAY 16-B,128,128,0,222,350
DAY 16-C,145,145,0,254,399
DAY 16-D,274,274,0,478,752
DAY 16-E,167,167,0,284,451
DAY 17-A,154,154,0,193,347
DAY 17-B,208,208,0,258,466
DAY 17-C,200,200,0,295,495
DAY 17-D,130,130,0,183,313
DAY 18-A,130,130,0,207,337
DAY 18-B,249,249,0,322,571
DAY 18-C,163,163,0,252,415
DAY 18-D,193,193,0,214,407
DAY 19-A,66,66,0,136,202
DAY 19-B,174,174,0,319,493
DAY 19-C,133,133,0,259,392
DAY 20-A,521,521,0,292,813
DAY 20-B,551,551,0,323,874
DAY 20-C,401,401,0,172,573
DAY 20-D,426,426,0,194,620
DAY 21-A,151,151,0,223,374
DAY 21-B,132,132,0,240,372
DAY 21-C,174,174,0,399,573
DAY 22-A,285,285,0,435,720
DAY 22-B,208,208,0,348,556
DAY 22-C,301,301,0,511,812
DAY 23-A,246,246,0,310,556
ENG-A,506,506,0,327,833
ENG-B,529,529,0,246,775
ENG-C,476,476,0,261,737
ENG-D,639,639,0,246,885
ENG-E,527,527,0,325,852
ENG-F,486,486,0,212,698
ENG-G,568,568,0,249,817
ENG-H,424,424,0,205,629
ENG-I,384,384,0,202,586
ENG-J,447,447,0,268,715
FARM,436,436,0,121,557
GERTWP-A,769,769,0,208,977
GERTWP-B,743,743,0,208,951
GTN-A,572,572,0,228,800
GTN-B,565,565,0,182,747
GTN-C,581,581,0,188,769
GTN-D,640,640,0,192,832
HARTWP-A,327,327,0,106,433
HARTWP-B,393,393,0,147,540
HARTWP-C,400,400,0,165,565
HARTWP-D,433,433,0,365,798
HARTWP-E,253,253,0,90,343
HARTWP-F,151,151,0,170,321
HARTWP-G,249,249,0,296,545
HARTWP-H,239,239,0,343,582
HARTWP-I,274,274,0,272,546
HARTWP-J,206,206,0,329,535
HARTWP-K,269,269,0,262,531
HARTWP-L,399,399,0,363,762
HARTWP-M,346,346,0,508,854
HARTWP-N,377,377,0,128,505
HARTWP-O,330,330,0,415,745
HUB 1-A,562,562,0,254,816
HUB 1-B,646,646,0,325,971
HUB 1-C,430,430,0,306,736
HUB 1-D,603,603,0,301,904
HUB 2-A,575,575,0,257,832
HUB 2-B,601,601,0,284,885
HUB 3-A,442,442,0,188,630
HUB 3-B,364,364,0,216,580
HUB 3-C,402,402,0,188,590
HUB 3-D,625,625,0,221,846
HUB 3-E,414,414,0,236,650
HUB 4-A,547,547,0,257,804
HUB 4-B,505,505,0,250,755
HUB 4-C,564,564,0,273,837
HUB 4-D,529,529,0,267,796
HUB 5-A,534,534,0,210,744
HUB 5-B,509,509,0,237,746
HUB 5-C,510,510,0,239,749
HUB 5-D,540,540,0,231,771
HUB 6-A,434,434,0,204,638
HUB 6-B,602,602,0,263,865
HUB 6-C,544,544,0,264,808
HUB 6-D,572,572,0,189,761
JAKTWP-A,745,745,0,214,959
JAKTWP-B,535,535,0,137,672
JEFTWP-A,535,535,0,404,939
JEFTWP-B,287,287,0,263,550
JEFTWP-C,456,456,0,238,694
JEFTWP-D,251,251,0,432,683
JNLB-A,362,362,0,117,479
JNLB-B,582,582,0,165,747
KT 1-A,406,406,0,251,657
KT 1-B,459,459,0,193,652
KT 1-C,576,576,0,298,874
KT 1-D,549,549,0,294,843
KT 1-E,440,440,0,242,682
KT 1-F,443,443,0,224,667
KT 1-G,453,453,0,256,709
KT 1-H,586,586,0,326,912
KT 1-I,539,539,0,244,783
KT 2-A,489,489,0,277,766
KT 2-B,492,492,0,247,739
KT 2-C,508,508,0,285,793
KT 2-D,544,544,0,329,873
KT 2-E,571,571,0,238,809
KT 2-F,453,453,0,211,664
KT 2-G,698,698,0,332,1030
KT 2-H,552,552,0,321,873
KT 2-I,450,450,0,210,660
KT 2-J,352,352,0,202,554
KT 3-A,516,516,0,312,828
KT 3-B,490,490,0,323,813
KT 3-C,552,552,0,240,792
KT 3-D,409,409,0,293,702
KT 3-E,534,534,0,312,846
KT 3-F,416,416,0,268,684
KT 3-G,466,466,0,213,679
KT 3-H,508,508,0,299,807
KT 3-I,465,465,0,223,688
KT 3-J,425,425,0,246,671
KT 3-K,650,650,0,296,946
KT 4-A,531,531,0,391,922
KT 4-B,495,495,0,444,939
KT 4-C,365,365,0,198,563
KT 4-D,507,507,0,307,814
KT 4-E,451,451,0,280,731
KT 4-F,452,452,0,318,770
KT 4-G,648,648,0,348,996
KT 4-H,460,460,0,219,679
KT 4-I,508,508,0,340,848
KT 4-J,463,463,0,303,766
KT 4-K,490,490,0,301,791
MBG 1-A,604,604,0,296,900
MBG 1-B,643,643,0,216,859
MBG 1-C,552,552,0,224,776
MBG 2-A,410,410,0,200,610
MBG 2-B,603,603,0,204,807
MBG 2-C,643,643,0,218,861
MBG 3-A,434,434,0,162,596
MBG 3-B,531,531,0,264,795
MBG 3-C,476,476,0,219,695
MBG 3-D,617,617,0,226,843
MBG 4-A,551,551,0,189,740
MBG 4-B,482,482,0,180,662
MBG 4-C,433,433,0,164,597
MBG 4-D,811,811,0,289,1100
MIATWP-A,543,543,0,273,816
MIATWP-B,444,444,0,274,718
MIATWP-C,637,637,0,204,841
MIATWP-D,449,449,0,260,709
MIATWP-E,682,682,0,289,971
MIATWP-F,494,494,0,261,755
MIATWP-G,468,468,0,212,680
MIATWP-H,467,467,0,236,703
MIATWP-I,255,255,0,174,429
MIATWP-J,533,533,0,164,697
MIATWP-K,647,647,0,292,939
MIATWP-L,392,392,0,224,616
MIATWP-M,469,469,0,232,701
MIATWP-N,523,523,0,278,801
MIATWP-O,505,505,0,245,750
MIATWP-P,335,335,0,189,524
MIATWP-Q,491,491,0,305,796
MIATWP-R,286,286,0,142,428
MIATWP-S,535,535,0,216,751
MIATWP-T,414,414,0,211,625
MIATWP-U,395,395,0,208,603
MIATWP-V,510,510,0,227,737
MOR 1-A,327,327,0,137,464
MOR 2-A,593,593,0,241,834
MOR 3-A,363,363,0,164,527
MOR 4-A,293,293,0,174,467
MOR 4-B,219,219,0,165,384
OAK-A,451,451,0,382,833
OAK-B,507,507,0,320,827
OAK-C,350,350,0,331,681
OAK-D,373,373,0,311,684
OAK-E,347,347,0,355,702
OAK-F,459,459,0,410,869
OAK-G,418,418,0,336,754
OAK-H,359,359,0,251,610
PERTWP-A,467,467,0,131,598
PERTWP-B,507,507,0,146,653
PERTWP-C,596,596,0,172,768
PHBG,189,189,0,48,237
PM,357,357,0,170,527
PNLB,416,416,0,115,531
RV-A,459,459,0,211,670
RV-B,398,398,0,162,560
RV-C,469,469,0,239,708
RV-D,516,516,0,212,728
RV-E,464,464,0,156,620
RV-F,382,382,0,219,601
RV-G,383,383,0,156,539
RV-H,255,255,0,107,362
RV-I,373,373,0,153,526
RV-J,380,380,0,132,512
RV-K,449,449,0,242,691
RV-L,314,314,0,107,421
RV-M,508,508,0,208,716
RV-N,359,359,0,163,522
RV-O,493,493,0,224,717
RV-P,528,528,0,229,757
TR 1-A,364,364,0,370,734
TR 1-B,200,200,0,206,406
TR 1-C,197,197,0,338,535
TR 1-D,180,180,0,260,440
TR 1-E,261,261,0,470,731
TR 2-A,250,250,0,362,612
TR 2-B,274,274,0,435,709
TR 2-C,182,182,0,337,519
TR 2-D,217,217,0,214,431
TR 2-E,184,184,0,322,506
TR 3-A,250,250,0,222,472
TR 3-B,409,409,0,201,610
TR 3-C,253,253,0,217,470
TR 3-D,283,283,0,400,683
TR 4-A,236,236,0,434,670
TR 4-B,222,222,0,341,563
TR 4-C,197,197,0,252,449
TR 4-D,206,206,0,264,470
UN-A,359,359,0,120,479
UN-B,509,509,0,208,717
UN-C,593,593,0,205,798
UN-D,634,634,0,210,844
UN-E,617,617,0,210,827
VD-A,508,508,0,208,716
VD-B,353,353,0,92,445
VD-C,642,642,0,196,838
VD-D,519,519,0,222,741
VD-E,418,418,0,132,550
VD-F,613,613,0,237,850
VD-G,465,465,0,198,663
VD-H,694,694,0,211,905
VD-I,559,559,0,195,754
VD-J,708,708,0,244,952
VD-K,655,655,0,223,878
WASTWP-A,516,516,0,262,778
WASTWP-B,745,745,0,341,1086
WASTWP-C,579,579,0,316,895
WASTWP-D,426,426,0,231,657
WASTWP-E,610,610,0,310,920
WASTWP-F,367,367,0,234,601
WASTWP-G,643,643,0,357,1000
WASTWP-H,525,525,0,284,809
WASTWP-I,415,415,0,258,673
WASTWP-J,537,537,0,331,868
WASTWP-K,532,532,0,287,819
WASTWP-L,423,423,0,305,728
WASTWP-M,638,638,0,299,937
WASTWP-N,516,516,0,328,844
WASTWP-O,578,578,0,303,881
WASTWP-P,679,679,0,311,990
WASTWP-Q,620,620,0,350,970
WASTWP-R,512,512,0,199,711
WASTWP-S,476,476,0,266,742
WASTWP-T,446,446,0,294,740
WASTWP-U,607,607,0,272,879
WASTWP-V,541,541,0,299,840
WASTWP-W,363,363,0,232,595
WASTWP-X,495,495,0,214,709
WASTWP-Y,714,714,0,394,1108
WASTWP-Z,500,500,0,260,760
WASTWP-AA,540,540,0,288,828
WASTWP-BB,403,403,0,221,624
WASTWP-CC,643,643,0,385,1028
WCR-A,477,477,0,226,703
WCR-B,497,497,0,239,736
WCR-C,551,551,0,203,754
WCR-D,519,519,0,217,736
WCR-E,297,297,0,183,480
WCR-F,365,365,0,206,571
WCR-G,486,486,0,269,755
WCR-H,508,508,0,209,717
WCR-I,295,295,0,224,519
