Precinct,Andrew J. Shahan (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,488,488,0,435,923
BRK-B,354,354,0,345,699
BRK-C,428,428,0,483,911
BRK-D,349,349,0,435,784
BTLTWP-A,414,414,0,415,829
BTLTWP-B,385,385,0,342,727
BTLTWP-C,492,492,0,433,925
BTLTWP-D,500,500,0,361,861
BTLTWP-E,361,361,0,236,597
BTLTWP-F,356,356,0,331,687
BTLTWP-G,314,314,0,207,521
CLATWP-A,278,278,0,319,597
CLATWP-B,282,282,0,338,620
CLATWP-C,380,380,0,551,931
CTN 1-A,299,299,0,309,608
CTN 1-B,455,455,0,238,693
CTN 1-C,533,533,0,408,941
CTN 1-D,424,424,0,175,599
CTN 2-A,417,417,0,238,655
CTN 2-B,592,592,0,266,858
CTN 2-C,623,623,0,274,897
CTN 3-A,561,561,0,302,863
CTN 3-B,546,546,0,282,828
CTN 3-C,530,530,0,208,738
CV-A,432,432,0,206,638
CV-B,496,496,0,385,881
CV-C,303,303,0,262,565
CV-D,390,390,0,259,649
CV-E,448,448,0,371,819
CV-F,508,508,0,428,936
CV-G,586,586,0,419,1005
CV-H,581,581,0,428,1009
CV-I,575,575,0,516,1091
CV-J,496,496,0,419,915
CV-K,532,532,0,411,943
CV-L,572,572,0,460,1032
CV-M,498,498,0,365,863
CV-N,461,461,0,321,782
CV-O,636,636,0,470,1106
CV-P,549,549,0,415,964
CV-Q,495,495,0,386,881
CV-R,513,513,0,368,881
DAY 1-A,123,123,0,90,213
DAY 1-B,539,539,0,200,739
DAY 1-C,404,404,0,118,522
DAY 1-D,235,235,0,98,333
DAY 1-E,464,464,0,177,641
DAY 2-A,257,257,0,186,443
DAY 2-B,364,364,0,147,511
DAY 2-C,346,346,0,193,539
DAY 2-D,228,228,0,162,390
DAY 3-A,145,145,0,126,271
DAY 3-B,216,216,0,172,388
DAY 3-C,547,547,0,354,901
DAY 3-D,302,302,0,197,499
DAY 3-E,173,173,0,104,277
DAY 3-F,454,454,0,275,729
DAY 3-G,253,253,0,231,484
DAY 3-H,269,269,0,230,499
DAY 3-I,539,539,0,307,846
DAY 3-J,421,421,0,298,719
DAY 3-K,564,564,0,330,894
DAY 3-L,474,474,0,345,819
DAY 4-A,417,417,0,96,513
DAY 4-B,308,308,0,90,398
DAY 4-C,321,321,0,108,429
DAY 5-A,298,298,0,69,367
DAY 5-B,319,319,0,66,385
DAY 5-C,253,253,0,68,321
DAY 5-D,385,385,0,58,443
DAY 6-A,385,385,0,61,446
DAY 6-B,382,382,0,52,434
DAY 6-C,331,331,0,57,388
DAY 7-A,325,325,0,55,380
DAY 7-B,261,261,0,38,299
DAY 8-A,434,434,0,270,704
DAY 8-B,468,468,0,209,677
DAY 8-C,457,457,0,235,692
DAY 8-D,422,422,0,254,676
DAY 9-A,547,547,0,311,858
DAY 9-B,497,497,0,299,796
DAY 9-C,538,538,0,328,866
DAY 9-D,424,424,0,246,670
DAY 10-A,365,365,0,226,591
DAY 10-B,267,267,0,237,504
DAY 10-C,302,302,0,178,480
DAY 10-D,349,349,0,266,615
DAY 10-E,310,310,0,223,533
DAY 11-A,238,238,0,144,382
DAY 11-B,253,253,0,178,431
DAY 11-C,299,299,0,134,433
DAY 11-D,337,337,0,257,594
DAY 11-E,263,263,0,202,465
DAY 12-A,439,439,0,252,691
DAY 12-B,312,312,0,146,458
DAY 12-C,348,348,0,183,531
DAY 12-D,242,242,0,163,405
DAY 13-A,362,362,0,64,426
DAY 13-B,227,227,0,40,267
DAY 14-A,437,437,0,77,514
DAY 14-B,178,178,0,27,205
DAY 14-C,250,250,0,52,302
DAY 14-D,501,501,0,58,559
DAY 15-A,403,403,0,70,473
DAY 15-B,472,472,0,64,536
DAY 15-C,330,330,0,49,379
DAY 15-D,382,382,0,66,448
DAY 16-A,389,389,0,65,454
DAY 16-B,308,308,0,42,350
DAY 16-C,337,337,0,62,399
DAY 16-D,660,660,0,92,752
DAY 16-E,396,396,0,55,451
DAY 17-A,280,280,0,67,347
DAY 17-B,366,366,0,100,466
DAY 17-C,420,420,0,75,495
DAY 17-D,257,257,0,56,313
DAY 18-A,281,281,0,56,337
DAY 18-B,465,465,0,106,571
DAY 18-C,337,337,0,78,415
DAY 18-D,324,324,0,83,407
DAY 19-A,179,179,0,23,202
DAY 19-B,439,439,0,54,493
DAY 19-C,340,340,0,52,392
DAY 20-A,453,453,0,360,813
DAY 20-B,485,485,0,389,874
DAY 20-C,327,327,0,246,573
DAY 20-D,320,320,0,300,620
DAY 21-A,321,321,0,53,374
DAY 21-B,328,328,0,44,372
DAY 21-C,499,499,0,74,573
DAY 22-A,616,616,0,104,720
DAY 22-B,472,472,0,84,556
DAY 22-C,712,712,0,100,812
DAY 23-A,409,409,0,147,556
ENG-A,558,558,0,275,833
ENG-B,458,458,0,317,775
ENG-C,490,490,0,247,737
ENG-D,539,539,0,346,885
ENG-E,574,574,0,278,852
ENG-F,390,390,0,308,698
ENG-G,527,527,0,290,817
ENG-H,402,402,0,227,629
ENG-I,384,384,0,202,586
ENG-J,491,491,0,224,715
FARM,251,251,0,306,557
GERTWP-A,399,399,0,578,977
GERTWP-B,406,406,0,545,951
GTN-A,390,390,0,410,800
GTN-B,364,364,0,383,747
GTN-C,373,373,0,396,769
GTN-D,385,385,0,447,832
HARTWP-A,222,222,0,211,433
HARTWP-B,289,289,0,251,540
HARTWP-C,311,311,0,254,565
HARTWP-D,583,583,0,215,798
HARTWP-E,198,198,0,145,343
HARTWP-F,270,270,0,51,321
HARTWP-G,440,440,0,105,545
HARTWP-H,487,487,0,95,582
HARTWP-I,434,434,0,112,546
HARTWP-J,446,446,0,89,535
HARTWP-K,427,427,0,104,531
HARTWP-L,584,584,0,178,762
HARTWP-M,728,728,0,126,854
HARTWP-N,286,286,0,219,505
HARTWP-O,608,608,0,137,745
HUB 1-A,436,436,0,380,816
HUB 1-B,623,623,0,348,971
HUB 1-C,500,500,0,236,736
HUB 1-D,550,550,0,354,904
HUB 2-A,512,512,0,320,832
HUB 2-B,507,507,0,378,885
HUB 3-A,363,363,0,267,630
HUB 3-B,428,428,0,152,580
HUB 3-C,345,345,0,245,590
HUB 3-D,499,499,0,347,846
HUB 3-E,408,408,0,242,650
HUB 4-A,479,479,0,325,804
HUB 4-B,436,436,0,319,755
HUB 4-C,524,524,0,313,837
HUB 4-D,545,545,0,251,796
HUB 5-A,476,476,0,268,744
HUB 5-B,475,475,0,271,746
HUB 5-C,449,449,0,300,749
HUB 5-D,483,483,0,288,771
HUB 6-A,391,391,0,247,638
HUB 6-B,487,487,0,378,865
HUB 6-C,481,481,0,327,808
HUB 6-D,429,429,0,332,761
JAKTWP-A,400,400,0,559,959
JAKTWP-B,247,247,0,425,672
JEFTWP-A,566,566,0,373,939
JEFTWP-B,393,393,0,157,550
JEFTWP-C,360,360,0,334,694
JEFTWP-D,597,597,0,86,683
JNLB-A,209,209,0,270,479
JNLB-B,337,337,0,410,747
KT 1-A,437,437,0,220,657
KT 1-B,337,337,0,315,652
KT 1-C,485,485,0,389,874
KT 1-D,514,514,0,329,843
KT 1-E,393,393,0,289,682
KT 1-F,383,383,0,284,667
KT 1-G,386,386,0,323,709
KT 1-H,544,544,0,368,912
KT 1-I,474,474,0,309,783
KT 2-A,433,433,0,333,766
KT 2-B,444,444,0,295,739
KT 2-C,484,484,0,309,793
KT 2-D,540,540,0,333,873
KT 2-E,461,461,0,348,809
KT 2-F,390,390,0,274,664
KT 2-G,557,557,0,473,1030
KT 2-H,492,492,0,381,873
KT 2-I,381,381,0,279,660
KT 2-J,363,363,0,191,554
KT 3-A,509,509,0,319,828
KT 3-B,548,548,0,265,813
KT 3-C,442,442,0,350,792
KT 3-D,491,491,0,211,702
KT 3-E,497,497,0,349,846
KT 3-F,418,418,0,266,684
KT 3-G,419,419,0,260,679
KT 3-H,496,496,0,311,807
KT 3-I,371,371,0,317,688
KT 3-J,394,394,0,277,671
KT 3-K,571,571,0,375,946
KT 4-A,591,591,0,331,922
KT 4-B,645,645,0,294,939
KT 4-C,317,317,0,246,563
KT 4-D,492,492,0,322,814
KT 4-E,431,431,0,300,731
KT 4-F,471,471,0,299,770
KT 4-G,579,579,0,417,996
KT 4-H,421,421,0,258,679
KT 4-I,548,548,0,300,848
KT 4-J,495,495,0,271,766
KT 4-K,500,500,0,291,791
MBG 1-A,441,441,0,459,900
MBG 1-B,434,434,0,425,859
MBG 1-C,451,451,0,325,776
MBG 2-A,337,337,0,273,610
MBG 2-B,421,421,0,386,807
MBG 2-C,431,431,0,430,861
MBG 3-A,340,340,0,256,596
MBG 3-B,423,423,0,372,795
MBG 3-C,405,405,0,290,695
MBG 3-D,455,455,0,388,843
MBG 4-A,410,410,0,330,740
MBG 4-B,344,344,0,318,662
MBG 4-C,343,343,0,254,597
MBG 4-D,591,591,0,509,1100
MIATWP-A,449,449,0,367,816
MIATWP-B,402,402,0,316,718
MIATWP-C,349,349,0,492,841
MIATWP-D,411,411,0,298,709
MIATWP-E,500,500,0,471,971
MIATWP-F,479,479,0,276,755
MIATWP-G,372,372,0,308,680
MIATWP-H,424,424,0,279,703
MIATWP-I,261,261,0,168,429
MIATWP-J,278,278,0,419,697
MIATWP-K,503,503,0,436,939
MIATWP-L,322,322,0,294,616
MIATWP-M,420,420,0,281,701
MIATWP-N,454,454,0,347,801
MIATWP-O,398,398,0,352,750
MIATWP-P,350,350,0,174,524
MIATWP-Q,515,515,0,281,796
MIATWP-R,254,254,0,174,428
MIATWP-S,365,365,0,386,751
MIATWP-T,336,336,0,289,625
MIATWP-U,352,352,0,251,603
MIATWP-V,393,393,0,344,737
MOR 1-A,247,247,0,217,464
MOR 2-A,463,463,0,371,834
MOR 3-A,264,264,0,263,527
