Precinct,Stacey Benson-Taylor (DEM),Lori Kennedy (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,252,591,843,0,80,923
BRK-B,156,487,643,0,56,699
BRK-C,199,623,822,0,89,911
BRK-D,140,569,709,0,75,784
BTLTWP-A,213,558,771,0,58,829
BTLTWP-B,228,451,679,0,48,727
BTLTWP-C,279,591,870,0,55,925
BTLTWP-D,288,515,803,0,58,861
BTLTWP-E,196,374,570,0,27,597
BTLTWP-F,225,412,637,0,50,687
BTLTWP-G,212,271,483,0,38,521
CLATWP-A,117,442,559,1,37,597
CLATWP-B,103,469,572,0,48,620
CLATWP-C,135,711,846,0,85,931
CTN 1-A,144,415,559,0,49,608
CTN 1-B,348,307,655,0,38,693
CTN 1-C,344,503,847,0,94,941
CTN 1-D,338,230,568,0,31,599
CTN 2-A,297,303,600,0,55,655
CTN 2-B,447,367,814,0,44,858
CTN 2-C,509,319,828,0,69,897
CTN 3-A,448,361,809,0,54,863
CTN 3-B,418,356,774,0,54,828
CTN 3-C,430,270,700,0,38,738
CV-A,328,261,589,0,49,638
CV-B,366,443,809,0,72,881
CV-C,203,316,519,0,46,565
CV-D,279,295,574,0,75,649
CV-E,305,447,752,0,67,819
CV-F,364,492,856,0,80,936
CV-G,418,513,931,0,74,1005
CV-H,406,523,929,0,80,1009
CV-I,374,637,1011,0,80,1091
CV-J,316,514,830,0,85,915
CV-K,367,471,838,0,105,943
CV-L,391,555,946,1,85,1032
CV-M,341,461,802,0,61,863
CV-N,311,386,697,0,85,782
CV-O,436,569,1005,0,101,1106
CV-P,387,489,876,0,88,964
CV-Q,356,426,782,0,99,881
CV-R,377,427,804,0,77,881
DAY 1-A,123,58,181,0,32,213
DAY 1-B,511,178,689,0,50,739
DAY 1-C,378,106,484,0,38,522
DAY 1-D,239,76,315,0,18,333
DAY 1-E,463,138,601,0,40,641
DAY 2-A,185,219,404,0,39,443
DAY 2-B,323,152,475,0,36,511
DAY 2-C,271,215,486,0,53,539
DAY 2-D,180,177,357,0,33,390
DAY 3-A,108,135,243,0,28,271
DAY 3-B,163,185,348,0,40,388
DAY 3-C,404,427,831,1,69,901
DAY 3-D,250,202,452,0,47,499
DAY 3-E,119,128,247,0,30,277
DAY 3-F,370,306,676,0,53,729
DAY 3-G,159,271,430,0,54,484
DAY 3-H,190,256,446,0,53,499
DAY 3-I,438,333,771,0,75,846
DAY 3-J,342,315,657,0,62,719
DAY 3-K,424,401,825,0,69,894
DAY 3-L,342,419,761,0,58,819
DAY 4-A,398,94,492,0,21,513
DAY 4-B,297,78,375,0,23,398
DAY 4-C,305,91,396,0,33,429
DAY 5-A,309,25,334,0,33,367
DAY 5-B,309,43,352,0,33,385
DAY 5-C,252,38,290,0,31,321
DAY 5-D,384,35,419,0,24,443
DAY 6-A,388,24,412,0,34,446
DAY 6-B,382,28,410,0,24,434
DAY 6-C,352,16,368,0,20,388
DAY 7-A,325,22,347,0,33,380
DAY 7-B,263,24,287,0,12,299
DAY 8-A,352,282,634,0,70,704
DAY 8-B,399,229,628,0,49,677
DAY 8-C,389,248,637,0,55,692
DAY 8-D,366,251,617,0,59,676
DAY 9-A,448,339,787,0,71,858
DAY 9-B,415,309,724,1,71,796
DAY 9-C,437,348,785,0,81,866
DAY 9-D,321,293,614,0,56,670
DAY 10-A,291,249,540,0,51,591
DAY 10-B,212,243,455,0,49,504
DAY 10-C,250,195,445,1,34,480
DAY 10-D,272,289,561,0,54,615
DAY 10-E,253,230,483,0,50,533
DAY 11-A,196,150,346,0,36,382
DAY 11-B,188,202,390,0,41,431
DAY 11-C,241,161,402,0,31,433
DAY 11-D,239,302,541,0,53,594
DAY 11-E,199,227,426,0,39,465
DAY 12-A,343,291,634,0,57,691
DAY 12-B,302,117,419,0,39,458
DAY 12-C,264,227,491,0,40,531
DAY 12-D,203,153,356,0,49,405
