Precinct,Mohamed Al-Hamdani (DEM),John McManus (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,182,667,849,0,74,923
BRK-B,130,525,655,1,43,699
BRK-C,144,695,839,0,72,911
BRK-D,117,606,723,0,61,784
BTLTWP-A,175,600,775,0,54,829
BTLTWP-B,191,498,689,0,38,727
BTLTWP-C,227,650,877,0,48,925
BTLTWP-D,238,569,807,0,54,861
BTLTWP-E,152,423,575,0,22,597
BTLTWP-F,176,462,638,1,48,687
BTLTWP-G,191,297,488,0,33,521
CLATWP-A,96,471,567,0,30,597
CLATWP-B,88,489,577,0,43,620
CLATWP-C,101,767,868,0,63,931
CTN 1-A,110,459,569,1,38,608
CTN 1-B,302,354,656,0,37,693
CTN 1-C,313,544,857,0,84,941
CTN 1-D,295,278,573,0,26,599
CTN 2-A,272,333,605,0,50,655
CTN 2-B,384,428,812,0,46,858
CTN 2-C,440,391,831,0,66,897
CTN 3-A,403,411,814,0,49,863
CTN 3-B,365,410,775,0,53,828
CTN 3-C,388,308,696,0,42,738
CV-A,296,291,587,0,51,638
CV-B,317,500,817,0,64,881
CV-C,173,353,526,0,39,565
CV-D,246,331,577,0,72,649
CV-E,244,513,757,0,62,819
CV-F,304,559,863,0,73,936
CV-G,350,589,939,0,66,1005
CV-H,316,608,924,0,85,1009
CV-I,305,711,1016,0,75,1091
CV-J,270,563,833,0,82,915
CV-K,305,551,856,0,87,943
CV-L,340,613,953,1,78,1032
CV-M,274,534,808,0,55,863
CV-N,264,450,714,0,68,782
CV-O,369,650,1019,0,87,1106
CV-P,326,560,886,0,78,964
CV-Q,312,481,793,0,88,881
CV-R,338,473,811,0,70,881
DAY 1-A,104,79,183,0,30,213
DAY 1-B,464,221,685,0,54,739
DAY 1-C,350,132,482,0,40,522
DAY 1-D,213,109,322,0,11,333
DAY 1-E,405,196,601,0,40,641
DAY 2-A,155,246,401,0,42,443
DAY 2-B,297,181,478,0,33,511
DAY 2-C,252,240,492,0,47,539
DAY 2-D,166,196,362,0,28,390
DAY 3-A,99,146,245,0,26,271
DAY 3-B,143,205,348,0,40,388
DAY 3-C,356,484,840,0,61,901
DAY 3-D,223,233,456,0,43,499
DAY 3-E,107,146,253,0,24,277
DAY 3-F,324,361,685,0,44,729
DAY 3-G,132,307,439,0,45,484
DAY 3-H,158,301,459,0,40,499
DAY 3-I,389,384,773,0,73,846
DAY 3-J,307,354,661,0,58,719
DAY 3-K,403,425,828,0,66,894
DAY 3-L,301,465,766,0,53,819
DAY 4-A,364,126,490,0,23,513
DAY 4-B,276,101,377,0,21,398
DAY 4-C,261,131,392,1,36,429
DAY 5-A,293,37,330,0,37,367
DAY 5-B,285,69,354,0,31,385
DAY 5-C,229,61,290,0,31,321
DAY 5-D,359,55,414,0,29,443
DAY 6-A,363,46,409,0,37,446
DAY 6-B,351,53,404,0,30,434
DAY 6-C,329,31,360,0,28,388
DAY 7-A,311,33,344,0,36,380
DAY 7-B,245,38,283,0,16,299
DAY 8-A,310,332,642,0,62,704
DAY 8-B,362,268,630,0,47,677
DAY 8-C,356,285,641,0,51,692
DAY 8-D,334,287,621,0,55,676
DAY 9-A,371,418,789,0,69,858
DAY 9-B,380,348,728,0,68,796
DAY 9-C,379,417,796,1,69,866
DAY 9-D,290,330,620,0,50,670
DAY 10-A,256,285,541,0,50,591
DAY 10-B,190,269,459,0,45,504
DAY 10-C,227,222,449,0,31,480
DAY 10-D,242,320,562,0,53,615
DAY 10-E,224,261,485,0,48,533
DAY 11-A,175,175,350,0,32,382
DAY 11-B,166,223,389,0,42,431
DAY 11-C,215,187,402,0,31,433
DAY 11-D,205,338,543,0,51,594
DAY 11-E,168,257,425,0,40,465
DAY 12-A,301,343,644,0,47,691
DAY 12-B,282,143,425,0,33,458
DAY 12-C,230,263,493,0,38,531
DAY 12-D,179,179,358,0,47,405
DAY 13-A,331,54,385,0,41,426
DAY 13-B,213,30,243,0,24,267
