Precinct,Robert Hanseman (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,680,680,0,243,923
BRK-B,529,529,0,170,699
BRK-C,687,687,0,224,911
BRK-D,595,595,0,189,784
BTLTWP-A,624,624,0,205,829
BTLTWP-B,513,513,0,214,727
BTLTWP-C,687,687,0,238,925
BTLTWP-D,594,594,0,267,861
BTLTWP-E,435,435,0,162,597
BTLTWP-F,481,481,0,206,687
BTLTWP-G,337,337,0,184,521
CLATWP-A,466,466,0,131,597
CLATWP-B,491,491,0,129,620
CLATWP-C,729,729,0,202,931
CTN 1-A,451,451,0,157,608
CTN 1-B,412,412,0,281,693
CTN 1-C,597,597,0,344,941
CTN 1-D,328,328,0,271,599
CTN 2-A,399,399,0,256,655
CTN 2-B,508,508,0,350,858
CTN 2-C,474,474,0,423,897
CTN 3-A,475,475,0,388,863
CTN 3-B,484,484,0,344,828
CTN 3-C,412,412,0,326,738
CV-A,403,403,0,235,638
CV-B,523,523,0,358,881
CV-C,374,374,0,191,565
CV-D,389,389,0,260,649
CV-E,513,513,0,306,819
CV-F,588,588,0,348,936
CV-G,619,619,0,386,1005
CV-H,621,621,0,388,1009
CV-I,742,742,0,349,1091
CV-J,614,614,0,301,915
CV-K,576,576,0,367,943
CV-L,666,666,0,366,1032
CV-M,561,561,0,302,863
CV-N,465,465,0,317,782
CV-O,695,695,0,411,1106
CV-P,592,592,0,372,964
CV-Q,527,527,0,354,881
CV-R,534,534,0,347,881
DAY 1-A,98,98,0,115,213
DAY 1-B,333,333,0,406,739
DAY 1-C,221,221,0,301,522
DAY 1-D,121,121,0,212,333
DAY 1-E,237,237,0,404,641
DAY 2-A,262,262,0,181,443
DAY 2-B,233,233,0,278,511
DAY 2-C,297,297,0,242,539
DAY 2-D,236,236,0,154,390
DAY 3-A,162,162,0,109,271
DAY 3-B,236,236,0,152,388
DAY 3-C,572,572,0,329,901
DAY 3-D,265,265,0,234,499
DAY 3-E,164,164,0,113,277
DAY 3-F,399,399,0,330,729
DAY 3-G,322,322,0,162,484
DAY 3-H,324,324,0,175,499
DAY 3-I,456,456,0,390,846
DAY 3-J,413,413,0,306,719
DAY 3-K,534,534,0,360,894
DAY 3-L,530,530,0,289,819
DAY 4-A,200,200,0,313,513
DAY 4-B,161,161,0,237,398
DAY 4-C,164,164,0,265,429
DAY 5-A,98,98,0,269,367
DAY 5-B,118,118,0,267,385
DAY 5-C,91,91,0,230,321
DAY 5-D,123,123,0,320,443
DAY 6-A,128,128,0,318,446
DAY 6-B,137,137,0,297,434
DAY 6-C,105,105,0,283,388
