Precinct,For the Tax,Against the Tax,Total Votes Cast,Overvotes,Undervotes,Contest Total,,,,,,,
BRK-A,346,526,872,0,51,923,,,,,,,
BRK-B,281,387,668,0,30,698,,,,,,,
BRK-C,331,529,860,0,49,909,,,,,,,
BRK-D,255,489,744,0,40,784,,,,,,,
BTLTWP-A,305,480,785,0,43,828,,,,,,,
BTLTWP-B,230,450,680,0,48,728,,,,,,,
BTLTWP-C,350,531,881,0,44,925,,,,,,,
BTLTWP-D,329,483,812,0,49,861,,,,,,,
BTLTWP-E,247,325,572,0,24,596,,,,,,,
BTLTWP-F,292,358,650,0,37,687,,,,,,,
BTLTWP-G,239,231,470,0,50,520,,,,,,,
CLATWP-A,169,409,578,0,18,596,,,,,,,
CLATWP-B,199,389,588,0,32,620,,,,,,,
CLATWP-C,219,661,880,0,50,930,,,,,,,
CTN 1-A,188,402,590,0,18,608,,,,,,,
CTN 1-B,318,344,662,0,31,693,,,,,,,
CTN 1-C,391,500,891,1,45,937,,,,,,,
CTN 1-D,314,252,566,0,32,598,,,,,,,
CTN 2-A,304,313,617,0,38,655,,,,,,,
CTN 2-B,422,396,818,0,39,857,,,,,,,
CTN 2-C,476,382,858,1,37,896,,,,,,,
CTN 3-A,429,395,824,0,37,861,,,,,,,
CTN 3-B,419,371,790,0,37,827,,,,,,,
CTN 3-C,385,324,709,0,28,737,,,,,,,
DAY 1-A,137,56,193,0,21,214,,,,,,,
DAY 1-B,516,195,711,0,27,738,,,,,,,
DAY 1-C,374,114,488,0,34,522,,,,,,,
DAY 1-D,247,74,321,0,11,332,,,,,,,
DAY 1-E,487,130,617,0,23,640,,,,,,,
DAY 2-A,221,191,412,0,31,443,,,,,,,
DAY 2-B,356,137,493,0,16,509,,,,,,,
DAY 2-C,284,229,513,0,26,539,,,,,,,
DAY 2-D,192,163,355,1,34,390,,,,,,,
DAY 3-A,135,111,246,0,25,271,,,,,,,
DAY 3-B,165,187,352,0,36,388,,,,,,,
DAY 3-C,455,401,856,0,45,901,,,,,,,
DAY 3-D,224,231,455,1,42,498,,,,,,,
DAY 3-E,147,110,257,0,20,277,,,,,,,
DAY 3-F,417,279,696,0,31,727,,,,,,,
DAY 3-G,238,214,452,0,30,482,,,,,,,
DAY 3-H,231,227,458,0,40,498,,,,,,,
DAY 3-I,438,364,802,0,42,844,,,,,,,
DAY 3-J,351,319,670,0,47,717,,,,,,,
DAY 3-K,477,376,853,0,40,893,,,,,,,
DAY 3-L,395,380,775,0,41,816,,,,,,,
DAY 4-A,376,110,486,0,26,512,,,,,,,
DAY 4-B,271,115,386,0,12,398,,,,,,,
DAY 4-C,300,103,403,0,26,429,,,,,,,
DAY 5-A,242,93,335,0,31,366,,,,,,,
DAY 5-B,291,74,365,0,20,385,,,,,,,
DAY 5-C,229,58,287,0,30,317,,,,,,,
DAY 5-D,315,100,415,0,27,442,,,,,,,
DAY 6-A,308,98,406,0,40,446,,,,,,,
DAY 6-B,289,119,408,0,25,433,,,,,,,
DAY 6-C,271,96,367,0,21,388,,,,,,,
DAY 7-A,242,101,343,1,36,380,,,,,,,
