Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,423,452,875,0,48,923
BRK-B,355,315,670,0,28,698
BRK-C,404,455,859,0,50,909
BRK-D,315,432,747,0,37,784
BTLTWP-A,405,391,796,0,32,828
BTLTWP-B,309,371,680,0,48,728
BTLTWP-C,478,404,882,0,43,925
BTLTWP-D,449,363,812,0,49,861
BTLTWP-E,315,262,577,0,19,596
BTLTWP-F,367,279,646,0,41,687
BTLTWP-G,292,184,476,0,44,520
CLATWP-A,235,343,578,0,18,596
CLATWP-B,251,327,578,0,42,620
CLATWP-C,348,535,883,0,47,930
CTN 1-A,248,346,594,0,14,608
CTN 1-B,385,276,661,0,32,693
CTN 1-C,495,399,894,0,43,937
CTN 1-D,375,199,574,0,24,598
CTN 2-A,371,250,621,0,34,655
CTN 2-B,532,294,826,0,31,857
CTN 2-C,564,303,867,0,29,896
CTN 3-A,523,301,824,0,37,861
CTN 3-B,490,304,794,0,33,827
CTN 3-C,448,257,705,0,32,737
CV-A,454,137,591,0,44,635
CV-B,522,314,836,0,44,880
CV-C,327,213,540,0,24,564
CV-D,392,211,603,0,45,648
CV-E,446,331,777,0,38,815
CV-F,533,372,905,0,32,937
CV-G,575,386,961,0,41,1002
CV-H,588,365,953,1,51,1005
CV-I,569,467,1036,0,51,1087
CV-J,479,397,876,0,38,914
CV-K,521,390,911,0,32,943
CV-L,536,451,987,2,43,1032
CV-M,424,393,817,1,41,859
CV-N,509,209,718,0,59,777
CV-O,559,496,1055,0,48,1103
CV-P,515,401,916,0,47,963
CV-Q,555,280,835,0,46,881
CV-R,492,340,832,0,48,880
DAY 1-A,167,25,192,0,22,214
DAY 1-B,612,97,709,0,29,738
DAY 1-C,419,65,484,0,38,522
DAY 1-D,268,53,321,0,11,332
DAY 1-E,517,105,622,0,18,640
DAY 2-A,251,163,414,0,29,443
DAY 2-B,412,80,492,0,17,509
DAY 2-C,337,177,514,0,25,539
DAY 2-D,219,135,354,0,36,390
DAY 3-A,158,87,245,0,26,271
DAY 3-B,200,154,354,0,34,388
DAY 3-C,537,315,852,0,49,901
DAY 3-D,272,188,460,0,38,498
DAY 3-E,173,82,255,0,22,277
DAY 3-F,503,193,696,0,31,727
DAY 3-G,280,169,449,1,32,482
DAY 3-H,283,170,453,0,45,498
DAY 3-I,492,305,797,0,47,844
DAY 3-J,419,257,676,0,41,717
DAY 3-K,557,295,852,0,41,893
DAY 3-L,477,300,777,0,39,816
DAY 4-A,404,75,479,0,33,512
DAY 4-B,309,73,382,0,16,398
DAY 4-C,335,73,408,0,21,429
DAY 5-A,251,87,338,0,28,366
DAY 5-B,315,48,363,0,22,385
DAY 5-C,231,43,274,0,43,317
DAY 5-D,326,85,411,0,31,442
DAY 6-A,303,90,393,0,53,446
DAY 6-B,314,88,402,0,31,433
DAY 6-C,279,84,363,0,25,388
DAY 7-A,254,85,339,0,41,380
DAY 7-B,230,57,287,0,11,298
DAY 8-A,501,167,668,0,35,703
DAY 8-B,514,129,643,0,33,676
DAY 8-C,464,191,655,0,37,692
DAY 8-D,483,155,638,0,38,676
DAY 9-A,625,198,823,0,34,857
DAY 9-B,542,203,745,0,47,792
DAY 9-C,578,247,825,0,37,862
DAY 9-D,419,193,612,0,55,667
DAY 10-A,414,155,569,0,21,590
DAY 10-B,299,181,480,0,24,504
DAY 10-C,324,140,464,0,15,479
DAY 10-D,369,214,583,0,32,615
DAY 10-E,327,171,498,0,34,532
DAY 11-A,249,104,353,0,27,380
DAY 11-B,257,144,401,0,29,430
DAY 11-C,299,105,404,0,29,433
