Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-G,0,0,0,0,0,0
DAY 16-C,0,0,0,0,0,0
DAY 18-B,3,1,4,0,0,4
HARTWP-A,139,261,400,0,33,433
HARTWP-B,215,289,504,1,34,539
HARTWP-C,193,340,533,0,33,566
HARTWP-D,368,380,748,0,49,797
HARTWP-E,132,183,315,0,26,341
HARTWP-F,167,133,300,1,20,321
HARTWP-G,268,238,506,0,39,545
HARTWP-H,289,243,532,0,50,582
HARTWP-I,282,224,506,0,40,546
HARTWP-J,277,218,495,0,40,535
HARTWP-K,259,215,474,0,57,531
HARTWP-L,377,351,728,1,33,762
HARTWP-M,458,345,803,1,50,854
HARTWP-N,202,268,470,0,35,505
HARTWP-O,378,297,675,0,70,745
