Precinct,Tim O'Connell,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,490,490,0,433,923
BRK-B,368,368,0,331,699
BRK-C,445,445,0,466,911
BRK-D,387,387,0,397,784
BTLTWP-A,418,418,0,411,829
BTLTWP-B,364,364,0,363,727
BTLTWP-C,492,492,0,433,925
BTLTWP-D,452,452,0,409,861
BTLTWP-E,323,323,0,274,597
BTLTWP-F,334,334,0,353,687
BTLTWP-G,289,289,0,232,521
CLATWP-A,295,295,0,302,597
CLATWP-B,294,294,0,326,620
CLATWP-C,420,420,0,511,931
CTN 1-A,296,296,0,312,608
CTN 1-B,390,390,0,303,693
CTN 1-C,491,491,0,450,941
CTN 1-D,355,355,0,244,599
CTN 2-A,332,332,0,323,655
CTN 2-B,502,502,0,356,858
CTN 2-C,531,531,0,366,897
CTN 3-A,458,458,0,405,863
CTN 3-B,450,450,0,378,828
CTN 3-C,424,424,0,314,738
CV-A,363,363,0,275,638
CV-B,445,445,0,436,881
CV-C,272,272,0,293,565
CV-D,345,345,0,304,649
CV-E,396,396,0,423,819
CV-F,487,487,0,449,936
CV-G,529,529,0,476,1005
CV-H,531,531,0,478,1009
CV-I,537,537,0,554,1091
CV-J,463,463,0,452,915
CV-K,466,466,0,477,943
CV-L,528,528,0,504,1032
CV-M,453,453,0,410,863
CV-N,418,418,0,364,782
CV-O,569,569,0,537,1106
CV-P,492,492,0,472,964
CV-Q,425,425,0,456,881
CV-R,457,457,0,424,881
DAY 1-A,99,99,0,114,213
DAY 1-B,398,398,0,341,739
DAY 1-C,277,277,0,245,522
DAY 1-D,160,160,0,173,333
DAY 1-E,323,323,0,318,641
DAY 2-A,221,221,0,222,443
DAY 2-B,280,280,0,231,511
DAY 2-C,256,256,0,283,539
DAY 2-D,196,196,0,194,390
DAY 3-A,117,117,0,154,271
DAY 3-B,175,175,0,213,388
DAY 3-C,500,500,0,401,901
DAY 3-D,242,242,0,257,499
DAY 3-E,157,157,0,120,277
DAY 3-F,372,372,0,357,729
DAY 3-G,245,245,0,239,484
DAY 3-H,238,238,0,261,499
DAY 3-I,451,451,0,395,846
DAY 3-J,344,344,0,375,719
DAY 3-K,487,487,0,407,894
DAY 3-L,424,424,0,395,819
DAY 4-A,295,295,0,218,513
DAY 4-B,223,223,0,175,398
DAY 4-C,224,224,0,205,429
DAY 5-A,201,201,0,166,367
DAY 5-B,216,216,0,169,385
DAY 5-C,166,166,0,155,321
DAY 5-D,259,259,0,184,443
DAY 6-A,268,268,0,178,446
DAY 6-B,270,270,0,164,434
DAY 6-C,240,240,0,148,388
DAY 7-A,212,212,0,168,380
DAY 7-B,188,188,0,111,299
DAY 8-A,357,357,0,347,704
DAY 8-B,358,358,0,319,677
DAY 8-C,336,336,0,356,692
DAY 8-D,341,341,0,335,676
DAY 9-A,454,454,0,404,858
DAY 9-B,418,418,0,378,796
DAY 9-C,428,428,0,438,866
DAY 9-D,342,342,0,328,670
DAY 10-A,287,287,0,304,591
DAY 10-B,236,236,0,268,504
DAY 10-C,249,249,0,231,480
DAY 10-D,307,307,0,308,615
DAY 10-E,249,249,0,284,533
DAY 11-A,191,191,0,191,382
DAY 11-B,231,231,0,200,431
DAY 11-C,256,256,0,177,433
