Precinct,Kim Melnick,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,456,456,0,467,923
BRK-B,336,336,0,363,699
BRK-C,432,432,0,479,911
BRK-D,381,381,0,403,784
BTLTWP-A,422,422,0,407,829
BTLTWP-B,343,343,0,384,727
BTLTWP-C,483,483,0,442,925
BTLTWP-D,427,427,0,434,861
BTLTWP-E,319,319,0,278,597
BTLTWP-F,331,331,0,356,687
BTLTWP-G,273,273,0,248,521
CLATWP-A,275,275,0,322,597
CLATWP-B,298,298,0,322,620
CLATWP-C,405,405,0,526,931
CTN 1-A,287,287,0,321,608
CTN 1-B,348,348,0,345,693
CTN 1-C,418,418,0,523,941
CTN 1-D,287,287,0,312,599
CTN 2-A,302,302,0,353,655
CTN 2-B,419,419,0,439,858
CTN 2-C,417,417,0,480,897
CTN 3-A,381,381,0,482,863
CTN 3-B,379,379,0,449,828
CTN 3-C,357,357,0,381,738
CV-A,349,349,0,289,638
CV-B,434,434,0,447,881
CV-C,271,271,0,294,565
CV-D,321,321,0,328,649
CV-E,360,360,0,459,819
CV-F,451,451,0,485,936
CV-G,482,482,0,523,1005
CV-H,473,473,0,536,1009
CV-I,579,579,0,512,1091
CV-J,491,491,0,424,915
CV-K,434,434,0,509,943
CV-L,536,536,0,496,1032
CV-M,416,416,0,447,863
CV-N,370,370,0,412,782
CV-O,564,564,0,542,1106
CV-P,466,466,0,498,964
CV-Q,400,400,0,481,881
CV-R,415,415,0,466,881
DAY 1-A,87,87,0,126,213
DAY 1-B,338,338,0,401,739
DAY 1-C,242,242,0,280,522
DAY 1-D,127,127,0,206,333
DAY 1-E,251,251,0,390,641
DAY 2-A,196,196,0,247,443
DAY 2-B,230,230,0,281,511
DAY 2-C,239,239,0,300,539
DAY 2-D,173,173,0,217,390
DAY 3-A,103,103,0,168,271
DAY 3-B,158,158,0,230,388
DAY 3-C,466,466,0,435,901
DAY 3-D,201,201,0,298,499
DAY 3-E,134,134,0,143,277
DAY 3-F,308,308,0,421,729
DAY 3-G,219,219,0,265,484
DAY 3-H,214,214,0,285,499
DAY 3-I,379,379,0,467,846
DAY 3-J,313,313,0,406,719
DAY 3-K,420,420,0,474,894
DAY 3-L,388,388,0,431,819
DAY 4-A,218,218,0,295,513
DAY 4-B,164,164,0,234,398
DAY 4-C,176,176,0,253,429
DAY 5-A,142,142,0,225,367
DAY 5-B,154,154,0,231,385
DAY 5-C,116,116,0,205,321
DAY 5-D,176,176,0,267,443
DAY 6-A,158,158,0,288,446
DAY 6-B,173,173,0,261,434
DAY 6-C,134,134,0,254,388
DAY 7-A,121,121,0,259,380
DAY 7-B,133,133,0,166,299
DAY 8-A,308,308,0,396,704
DAY 8-B,311,311,0,366,677
DAY 8-C,298,298,0,394,692
DAY 8-D,296,296,0,380,676
DAY 9-A,407,407,0,451,858
DAY 9-B,341,341,0,455,796
DAY 9-C,376,376,0,490,866
DAY 9-D,282,282,0,388,670
DAY 10-A,252,252,0,339,591
DAY 10-B,208,208,0,296,504
DAY 10-C,216,216,0,264,480
DAY 10-D,279,279,0,336,615
DAY 10-E,213,213,0,320,533
DAY 11-A,168,168,0,214,382
DAY 11-B,202,202,0,229,431
DAY 11-C,207,207,0,226,433
DAY 11-D,282,282,0,312,594
DAY 11-E,205,205,0,260,465
DAY 12-A,322,322,0,369,691
DAY 12-B,158,158,0,300,458
DAY 12-C,276,276,0,255,531
DAY 12-D,170,170,0,235,405
DAY 13-A,143,143,0,283,426
DAY 13-B,107,107,0,160,267
DAY 14-A,209,209,0,305,514
DAY 14-B,80,80,0,125,205
DAY 14-C,94,94,0,208,302
DAY 14-D,222,222,0,337,559
DAY 15-A,185,185,0,288,473
DAY 15-B,207,207,0,329,536
DAY 15-C,116,116,0,263,379
DAY 15-D,159,159,0,289,448
DAY 16-A,173,173,0,281,454
DAY 16-B,143,143,0,207,350
DAY 16-C,146,146,0,253,399
DAY 16-D,281,281,0,471,752
DAY 16-E,164,164,0,287,451
DAY 17-A,142,142,0,205,347
DAY 17-B,196,196,0,270,466
DAY 17-C,225,225,0,270,495
DAY 17-D,130,130,0,183,313
DAY 18-A,134,134,0,203,337
DAY 18-B,246,246,0,325,571
DAY 18-C,163,163,0,252,415
DAY 18-D,174,174,0,233,407
DAY 19-A,78,78,0,124,202
DAY 19-B,181,181,0,312,493
DAY 19-C,142,142,0,250,392
DAY 20-A,356,356,0,457,813
DAY 20-B,382,382,0,492,874
DAY 20-C,267,267,0,306,573
DAY 20-D,281,281,0,339,620
DAY 21-A,145,145,0,229,374
DAY 21-B,149,149,0,223,372
DAY 21-C,206,206,0,367,573
DAY 22-A,299,299,0,421,720
DAY 22-B,230,230,0,326,556
DAY 22-C,337,337,0,475,812
DAY 23-A,215,215,0,341,556
ENG-A,420,420,0,413,833
ENG-B,388,388,0,387,775
ENG-C,368,368,0,369,737
ENG-D,483,483,0,402,885
ENG-E,417,417,0,435,852
ENG-F,355,355,0,343,698
ENG-G,422,422,0,395,817
ENG-H,317,317,0,312,629
ENG-I,286,286,0,300,586
ENG-J,348,348,0,367,715
FARM,261,261,0,296,557
GERTWP-A,417,417,0,560,977
GERTWP-B,421,421,0,530,951
GTN-A,353,353,0,447,800
GTN-B,353,353,0,394,747
GTN-C,370,370,0,399,769
GTN-D,377,377,0,455,832
HARTWP-A,214,214,0,219,433
HARTWP-B,262,262,0,278,540
HARTWP-C,250,250,0,315,565
HARTWP-D,357,357,0,441,798
HARTWP-E,161,161,0,182,343
HARTWP-F,158,158,0,163,321
HARTWP-G,229,229,0,316,545
HARTWP-H,247,247,0,335,582
HARTWP-I,227,227,0,319,546
HARTWP-J,197,197,0,338,535
HARTWP-K,237,237,0,294,531
HARTWP-L,337,337,0,425,762
HARTWP-M,340,340,0,514,854
HARTWP-N,250,250,0,255,505
HARTWP-O,310,310,0,435,745
HUB 1-A,370,370,0,446,816
HUB 1-B,481,481,0,490,971
HUB 1-C,337,337,0,399,736
HUB 1-D,433,433,0,471,904
HUB 2-A,401,401,0,431,832
HUB 2-B,427,427,0,458,885
HUB 3-A,298,298,0,332,630
HUB 3-B,288,288,0,292,580
HUB 3-C,268,268,0,322,590
HUB 3-D,448,448,0,398,846
HUB 3-E,313,313,0,337,650
HUB 4-A,376,376,0,428,804
HUB 4-B,366,366,0,389,755
HUB 4-C,437,437,0,400,837
HUB 4-D,412,412,0,384,796
HUB 5-A,397,397,0,347,744
HUB 5-B,379,379,0,367,746
HUB 5-C,353,353,0,396,749
HUB 5-D,386,386,0,385,771
HUB 6-A,306,306,0,332,638
HUB 6-B,436,436,0,429,865
HUB 6-C,404,404,0,404,808
HUB 6-D,379,379,0,382,761
JAKTWP-A,381,381,0,578,959
JAKTWP-B,293,293,0,379,672
JEFTWP-A,374,374,0,565,939
JEFTWP-B,224,224,0,326,550
JEFTWP-C,290,290,0,404,694
JEFTWP-D,266,266,0,417,683
JNLB-A,215,215,0,264,479
JNLB-B,331,331,0,416,747
KT 1-A,305,305,0,352,657
KT 1-B,300,300,0,352,652
KT 1-C,422,422,0,452,874
KT 1-D,435,435,0,408,843
KT 1-E,336,336,0,346,682
KT 1-F,315,315,0,352,667
KT 1-G,321,321,0,388,709
KT 1-H,433,433,0,479,912
KT 1-I,420,420,0,363,783
KT 2-A,372,372,0,394,766
KT 2-B,389,389,0,350,739
KT 2-C,402,402,0,391,793
KT 2-D,440,440,0,433,873
KT 2-E,429,429,0,380,809
KT 2-F,350,350,0,314,664
KT 2-G,489,489,0,541,1030
KT 2-H,415,415,0,458,873
KT 2-I,351,351,0,309,660
KT 2-J,269,269,0,285,554
KT 3-A,375,375,0,453,828
KT 3-B,395,395,0,418,813
KT 3-C,402,402,0,390,792
KT 3-D,342,342,0,360,702
KT 3-E,421,421,0,425,846
KT 3-F,337,337,0,347,684
KT 3-G,365,365,0,314,679
KT 3-H,405,405,0,402,807
KT 3-I,334,334,0,354,688
KT 3-J,339,339,0,332,671
KT 3-K,471,471,0,475,946
KT 4-A,432,432,0,490,922
KT 4-B,413,413,0,526,939
