Precinct,Jennifer A. Petrella,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,446,446,0,477,923
BRK-B,341,341,0,358,699
BRK-C,416,416,0,495,911
BRK-D,374,374,0,410,784
BTLTWP-A,422,422,0,407,829
BTLTWP-B,325,325,0,402,727
BTLTWP-C,475,475,0,450,925
BTLTWP-D,416,416,0,445,861
BTLTWP-E,322,322,0,275,597
BTLTWP-F,324,324,0,363,687
BTLTWP-G,274,274,0,247,521
CLATWP-A,270,270,0,327,597
CLATWP-B,301,301,0,319,620
CLATWP-C,398,398,0,533,931
CTN 1-A,282,282,0,326,608
CTN 1-B,343,343,0,350,693
CTN 1-C,428,428,0,513,941
CTN 1-D,283,283,0,316,599
CTN 2-A,297,297,0,358,655
CTN 2-B,419,419,0,439,858
CTN 2-C,414,414,0,483,897
CTN 3-A,390,390,0,473,863
CTN 3-B,383,383,0,445,828
CTN 3-C,352,352,0,386,738
CV-A,347,347,0,291,638
CV-B,418,418,0,463,881
CV-C,260,260,0,305,565
CV-D,311,311,0,338,649
CV-E,353,353,0,466,819
CV-F,448,448,0,488,936
CV-G,485,485,0,520,1005
CV-H,476,476,0,533,1009
CV-I,562,562,0,529,1091
CV-J,481,481,0,434,915
CV-K,427,427,0,516,943
CV-L,537,537,0,495,1032
CV-M,416,416,0,447,863
CV-N,371,371,0,411,782
CV-O,556,556,0,550,1106
CV-P,453,453,0,511,964
CV-Q,392,392,0,489,881
CV-R,405,405,0,476,881
DAY 1-A,83,83,0,130,213
DAY 1-B,336,336,0,403,739
DAY 1-C,239,239,0,283,522
DAY 1-D,127,127,0,206,333
DAY 1-E,248,248,0,393,641
DAY 2-A,198,198,0,245,443
DAY 2-B,223,223,0,288,511
DAY 2-C,241,241,0,298,539
DAY 2-D,169,169,0,221,390
DAY 3-A,111,111,0,160,271
DAY 3-B,164,164,0,224,388
DAY 3-C,451,451,0,450,901
DAY 3-D,208,208,0,291,499
DAY 3-E,135,135,0,142,277
DAY 3-F,312,312,0,417,729
DAY 3-G,226,226,0,258,484
DAY 3-H,213,213,0,286,499
DAY 3-I,379,379,0,467,846
DAY 3-J,323,323,0,396,719
DAY 3-K,417,417,0,477,894
DAY 3-L,392,392,0,427,819
DAY 4-A,227,227,0,286,513
DAY 4-B,167,167,0,231,398
DAY 4-C,184,184,0,245,429
DAY 5-A,153,153,0,214,367
DAY 5-B,165,165,0,220,385
DAY 5-C,123,123,0,198,321
DAY 5-D,179,179,0,264,443
DAY 6-A,167,167,0,279,446
DAY 6-B,190,190,0,244,434
DAY 6-C,138,138,0,250,388
DAY 7-A,135,135,0,245,380
DAY 7-B,135,135,0,164,299
DAY 8-A,313,313,0,391,704
DAY 8-B,315,315,0,362,677
DAY 8-C,299,299,0,393,692
DAY 8-D,300,300,0,376,676
DAY 9-A,386,386,0,472,858
DAY 9-B,349,349,0,447,796
DAY 9-C,387,387,0,479,866
DAY 9-D,278,278,0,392,670
DAY 10-A,254,254,0,337,591
DAY 10-B,207,207,0,297,504
DAY 10-C,210,210,0,270,480
DAY 10-D,272,272,0,343,615
DAY 10-E,214,214,0,319,533
DAY 11-A,170,170,0,212,382
DAY 11-B,204,204,0,227,431
DAY 11-C,212,212,0,221,433
DAY 11-D,275,275,0,319,594
DAY 11-E,212,212,0,253,465
DAY 12-A,317,317,0,374,691
DAY 12-B,155,155,0,303,458
DAY 12-C,288,288,0,243,531
DAY 12-D,171,171,0,234,405
DAY 13-A,150,150,0,276,426
DAY 13-B,127,127,0,140,267
DAY 14-A,210,210,0,304,514
DAY 14-B,88,88,0,117,205
DAY 14-C,97,97,0,205,302
DAY 14-D,226,226,0,333,559
DAY 15-A,184,184,0,289,473
DAY 15-B,209,209,0,327,536
DAY 15-C,125,125,0,254,379
DAY 15-D,162,162,0,286,448
DAY 16-A,175,175,0,279,454
DAY 16-B,142,142,0,208,350
DAY 16-C,153,153,0,246,399
DAY 16-D,281,281,0,471,752
DAY 16-E,172,172,0,279,451
DAY 17-A,141,141,0,206,347
DAY 17-B,193,193,0,273,466
DAY 17-C,225,225,0,270,495
DAY 17-D,135,135,0,178,313
DAY 18-A,136,136,0,201,337
DAY 18-B,261,261,0,310,571
DAY 18-C,168,168,0,247,415
DAY 18-D,172,172,0,235,407
DAY 19-A,84,84,0,118,202
DAY 19-B,200,200,0,293,493
DAY 19-C,157,157,0,235,392
DAY 20-A,353,353,0,460,813
DAY 20-B,369,369,0,505,874
DAY 20-C,260,260,0,313,573
DAY 20-D,294,294,0,326,620
DAY 21-A,153,153,0,221,374
DAY 21-B,154,154,0,218,372
DAY 21-C,206,206,0,367,573
DAY 22-A,303,303,0,417,720
DAY 22-B,231,231,0,325,556
DAY 22-C,346,346,0,466,812
DAY 23-A,211,211,0,345,556
ENG-A,420,420,0,413,833
ENG-B,384,384,0,391,775
ENG-C,374,374,0,363,737
ENG-D,469,469,0,416,885
ENG-E,416,416,0,436,852
ENG-F,352,352,0,346,698
ENG-G,420,420,0,397,817
ENG-H,317,317,0,312,629
ENG-I,299,299,0,287,586
ENG-J,333,333,0,382,715
FARM,262,262,0,295,557
GERTWP-A,413,413,0,564,977
GERTWP-B,419,419,0,532,951
GTN-A,354,354,0,446,800
GTN-B,351,351,0,396,747
GTN-C,356,356,0,413,769
GTN-D,378,378,0,454,832
HARTWP-A,203,203,0,230,433
HARTWP-B,257,257,0,283,540
HARTWP-C,243,243,0,322,565
HARTWP-D,364,364,0,434,798
HARTWP-E,147,147,0,196,343
HARTWP-F,152,152,0,169,321
HARTWP-G,241,241,0,304,545
HARTWP-H,244,244,0,338,582
HARTWP-I,239,239,0,307,546
HARTWP-J,190,190,0,345,535
HARTWP-K,245,245,0,286,531
HARTWP-L,334,334,0,428,762
HARTWP-M,343,343,0,511,854
HARTWP-N,239,239,0,266,505
HARTWP-O,298,298,0,447,745
HUB 1-A,365,365,0,451,816
HUB 1-B,485,485,0,486,971
HUB 1-C,330,330,0,406,736
HUB 1-D,428,428,0,476,904
HUB 2-A,399,399,0,433,832
HUB 2-B,420,420,0,465,885
HUB 3-A,304,304,0,326,630
HUB 3-B,295,295,0,285,580
HUB 3-C,274,274,0,316,590
HUB 3-D,445,445,0,401,846
HUB 3-E,313,313,0,337,650
HUB 4-A,370,370,0,434,804
HUB 4-B,363,363,0,392,755
HUB 4-C,440,440,0,397,837
HUB 4-D,406,406,0,390,796
HUB 5-A,397,397,0,347,744
HUB 5-B,375,375,0,371,746
HUB 5-C,362,362,0,387,749
HUB 5-D,377,377,0,394,771
HUB 6-A,310,310,0,328,638
HUB 6-B,435,435,0,430,865
HUB 6-C,401,401,0,407,808
HUB 6-D,380,380,0,381,761
JAKTWP-A,369,369,0,590,959
JAKTWP-B,288,288,0,384,672
JEFTWP-A,372,372,0,567,939
JEFTWP-B,233,233,0,317,550
JEFTWP-C,286,286,0,408,694
JEFTWP-D,271,271,0,412,683
JNLB-A,208,208,0,271,479
JNLB-B,329,329,0,418,747
KT 1-A,303,303,0,354,657
KT 1-B,300,300,0,352,652
KT 1-C,401,401,0,473,874
KT 1-D,440,440,0,403,843
KT 1-E,329,329,0,353,682
KT 1-F,315,315,0,352,667
KT 1-G,318,318,0,391,709
KT 1-H,424,424,0,488,912
KT 1-I,401,401,0,382,783
KT 2-A,355,355,0,411,766
