Precinct,Timothy D. Wood,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,455,455,0,468,923
BRK-B,338,338,0,361,699
BRK-C,416,416,0,495,911
BRK-D,360,360,0,424,784
BTLTWP-A,399,399,0,430,829
BTLTWP-B,341,341,0,386,727
BTLTWP-C,471,471,0,454,925
BTLTWP-D,439,439,0,422,861
BTLTWP-E,310,310,0,287,597
BTLTWP-F,323,323,0,364,687
BTLTWP-G,270,270,0,251,521
CLATWP-A,274,274,0,323,597
CLATWP-B,275,275,0,345,620
CLATWP-C,393,393,0,538,931
CTN 1-A,276,276,0,332,608
CTN 1-B,395,395,0,298,693
CTN 1-C,478,478,0,463,941
CTN 1-D,345,345,0,254,599
CTN 2-A,309,309,0,346,655
CTN 2-B,486,486,0,372,858
CTN 2-C,505,505,0,392,897
CTN 3-A,447,447,0,416,863
CTN 3-B,432,432,0,396,828
CTN 3-C,418,418,0,320,738
CV-A,360,360,0,278,638
CV-B,407,407,0,474,881
CV-C,273,273,0,292,565
CV-D,325,325,0,324,649
CV-E,390,390,0,429,819
CV-F,449,449,0,487,936
CV-G,516,516,0,489,1005
CV-H,503,503,0,506,1009
CV-I,512,512,0,579,1091
CV-J,425,425,0,490,915
CV-K,455,455,0,488,943
CV-L,511,511,0,521,1032
CV-M,423,423,0,440,863
CV-N,398,398,0,384,782
CV-O,551,551,0,555,1106
CV-P,482,482,0,482,964
CV-Q,416,416,0,465,881
CV-R,426,426,0,455,881
DAY 1-A,95,95,0,118,213
DAY 1-B,397,397,0,342,739
DAY 1-C,277,277,0,245,522
DAY 1-D,151,151,0,182,333
DAY 1-E,317,317,0,324,641
DAY 2-A,222,222,0,221,443
DAY 2-B,268,268,0,243,511
DAY 2-C,253,253,0,286,539
DAY 2-D,175,175,0,215,390
DAY 3-A,113,113,0,158,271
DAY 3-B,170,170,0,218,388
DAY 3-C,485,485,0,416,901
DAY 3-D,230,230,0,269,499
DAY 3-E,155,155,0,122,277
DAY 3-F,358,358,0,371,729
DAY 3-G,238,238,0,246,484
DAY 3-H,219,219,0,280,499
DAY 3-I,427,427,0,419,846
DAY 3-J,341,341,0,378,719
DAY 3-K,461,461,0,433,894
DAY 3-L,400,400,0,419,819
DAY 4-A,290,290,0,223,513
DAY 4-B,217,217,0,181,398
DAY 4-C,211,211,0,218,429
DAY 5-A,192,192,0,175,367
DAY 5-B,211,211,0,174,385
DAY 5-C,164,164,0,157,321
DAY 5-D,242,242,0,201,443
DAY 6-A,248,248,0,198,446
DAY 6-B,257,257,0,177,434
DAY 6-C,220,220,0,168,388
DAY 7-A,203,203,0,177,380
DAY 7-B,186,186,0,113,299
DAY 8-A,338,338,0,366,704
DAY 8-B,353,353,0,324,677
DAY 8-C,321,321,0,371,692
DAY 8-D,338,338,0,338,676
DAY 9-A,447,447,0,411,858
