Precinct,Gerald Parker,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,456,456,0,467,923
BRK-B,330,330,0,369,699
BRK-C,404,404,0,507,911
BRK-D,360,360,0,424,784
BTLTWP-A,394,394,0,435,829
BTLTWP-B,316,316,0,411,727
BTLTWP-C,457,457,0,468,925
BTLTWP-D,439,439,0,422,861
BTLTWP-E,316,316,0,281,597
BTLTWP-F,318,318,0,369,687
BTLTWP-G,263,263,0,258,521
CLATWP-A,262,262,0,335,597
CLATWP-B,263,263,0,357,620
CLATWP-C,381,381,0,550,931
CTN 1-A,269,269,0,339,608
CTN 1-B,378,378,0,315,693
CTN 1-C,466,466,0,475,941
CTN 1-D,341,341,0,258,599
CTN 2-A,309,309,0,346,655
CTN 2-B,478,478,0,380,858
CTN 2-C,488,488,0,409,897
CTN 3-A,444,444,0,419,863
CTN 3-B,418,418,0,410,828
CTN 3-C,388,388,0,350,738
CV-A,360,360,0,278,638
CV-B,435,435,0,446,881
CV-C,263,263,0,302,565
CV-D,324,324,0,325,649
CV-E,385,385,0,434,819
CV-F,453,453,0,483,936
CV-G,503,503,0,502,1005
CV-H,502,502,0,507,1009
CV-I,520,520,0,571,1091
CV-J,447,447,0,468,915
CV-K,447,447,0,496,943
CV-L,517,517,0,515,1032
CV-M,425,425,0,438,863
CV-N,399,399,0,383,782
CV-O,544,544,0,562,1106
CV-P,472,472,0,492,964
CV-Q,412,412,0,469,881
CV-R,428,428,0,453,881
DAY 1-A,97,97,0,116,213
DAY 1-B,391,391,0,348,739
DAY 1-C,287,287,0,235,522
DAY 1-D,150,150,0,183,333
DAY 1-E,318,318,0,323,641
DAY 2-A,198,198,0,245,443
DAY 2-B,251,251,0,260,511
DAY 2-C,242,242,0,297,539
DAY 2-D,172,172,0,218,390
DAY 3-A,102,102,0,169,271
DAY 3-B,157,157,0,231,388
DAY 3-C,478,478,0,423,901
DAY 3-D,224,224,0,275,499
DAY 3-E,148,148,0,129,277
DAY 3-F,345,345,0,384,729
DAY 3-G,216,216,0,268,484
DAY 3-H,207,207,0,292,499
DAY 3-I,427,427,0,419,846
DAY 3-J,327,327,0,392,719
DAY 3-K,452,452,0,442,894
DAY 3-L,398,398,0,421,819
DAY 4-A,278,278,0,235,513
DAY 4-B,204,204,0,194,398
DAY 4-C,211,211,0,218,429
DAY 5-A,183,183,0,184,367
DAY 5-B,202,202,0,183,385
DAY 5-C,145,145,0,176,321
DAY 5-D,234,234,0,209,443
DAY 6-A,227,227,0,219,446
DAY 6-B,238,238,0,196,434
DAY 6-C,202,202,0,186,388
DAY 7-A,175,175,0,205,380
DAY 7-B,186,186,0,113,299
DAY 8-A,328,328,0,376,704
DAY 8-B,335,335,0,342,677
DAY 8-C,315,315,0,377,692
DAY 8-D,322,322,0,354,676
DAY 9-A,431,431,0,427,858
DAY 9-B,380,380,0,416,796
DAY 9-C,392,392,0,474,866
DAY 9-D,290,290,0,380,670
DAY 10-A,271,271,0,320,591
DAY 10-B,216,216,0,288,504
DAY 10-C,227,227,0,253,480
DAY 10-D,283,283,0,332,615
