Precinct,Mary Montgomery,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,480,480,0,443,923
BRK-B,357,357,0,342,699
BRK-C,423,423,0,488,911
BRK-D,377,377,0,407,784
BTLTWP-A,416,416,0,413,829
BTLTWP-B,342,342,0,385,727
BTLTWP-C,507,507,0,418,925
BTLTWP-D,449,449,0,412,861
BTLTWP-E,324,324,0,273,597
BTLTWP-F,345,345,0,342,687
BTLTWP-G,280,280,0,241,521
CLATWP-A,288,288,0,309,597
CLATWP-B,274,274,0,346,620
CLATWP-C,419,419,0,512,931
CTN 1-A,292,292,0,316,608
CTN 1-B,404,404,0,289,693
CTN 1-C,495,495,0,446,941
CTN 1-D,356,356,0,243,599
CTN 2-A,331,331,0,324,655
CTN 2-B,498,498,0,360,858
CTN 2-C,526,526,0,371,897
CTN 3-A,466,466,0,397,863
CTN 3-B,453,453,0,375,828
CTN 3-C,424,424,0,314,738
CV-A,366,366,0,272,638
CV-B,451,451,0,430,881
CV-C,280,280,0,285,565
CV-D,331,331,0,318,649
CV-E,407,407,0,412,819
CV-F,471,471,0,465,936
CV-G,533,533,0,472,1005
CV-H,522,522,0,487,1009
CV-I,544,544,0,547,1091
CV-J,456,456,0,459,915
CV-K,471,471,0,472,943
CV-L,539,539,0,493,1032
CV-M,450,450,0,413,863
CV-N,424,424,0,358,782
CV-O,578,578,0,528,1106
CV-P,499,499,0,465,964
CV-Q,424,424,0,457,881
CV-R,453,453,0,428,881
DAY 1-A,103,103,0,110,213
DAY 1-B,401,401,0,338,739
DAY 1-C,294,294,0,228,522
DAY 1-D,159,159,0,174,333
DAY 1-E,328,328,0,313,641
DAY 2-A,215,215,0,228,443
DAY 2-B,276,276,0,235,511
DAY 2-C,263,263,0,276,539
DAY 2-D,187,187,0,203,390
DAY 3-A,122,122,0,149,271
DAY 3-B,173,173,0,215,388
DAY 3-C,502,502,0,399,901
DAY 3-D,245,245,0,254,499
DAY 3-E,163,163,0,114,277
DAY 3-F,375,375,0,354,729
DAY 3-G,243,243,0,241,484
DAY 3-H,221,221,0,278,499
DAY 3-I,431,431,0,415,846
DAY 3-J,354,354,0,365,719
DAY 3-K,468,468,0,426,894
DAY 3-L,418,418,0,401,819
DAY 4-A,293,293,0,220,513
DAY 4-B,227,227,0,171,398
DAY 4-C,219,219,0,210,429
DAY 5-A,205,205,0,162,367
DAY 5-B,220,220,0,165,385
DAY 5-C,169,169,0,152,321
DAY 5-D,252,252,0,191,443
DAY 6-A,267,267,0,179,446
DAY 6-B,261,261,0,173,434
DAY 6-C,210,210,0,178,388
DAY 7-A,212,212,0,168,380
DAY 7-B,188,188,0,111,299
