Precinct,Angelina Jackson,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,458,458,0,465,923
BRK-B,330,330,0,369,699
BRK-C,401,401,0,510,911
BRK-D,362,362,0,422,784
BTLTWP-A,398,398,0,431,829
BTLTWP-B,319,319,0,408,727
BTLTWP-C,469,469,0,456,925
BTLTWP-D,431,431,0,430,861
BTLTWP-E,310,310,0,287,597
BTLTWP-F,310,310,0,377,687
BTLTWP-G,267,267,0,254,521
CLATWP-A,265,265,0,332,597
CLATWP-B,258,258,0,362,620
CLATWP-C,373,373,0,558,931
CTN 1-A,263,263,0,345,608
CTN 1-B,390,390,0,303,693
CTN 1-C,467,467,0,474,941
CTN 1-D,346,346,0,253,599
CTN 2-A,316,316,0,339,655
CTN 2-B,483,483,0,375,858
CTN 2-C,511,511,0,386,897
CTN 3-A,455,455,0,408,863
CTN 3-B,426,426,0,402,828
CTN 3-C,411,411,0,327,738
CV-A,357,357,0,281,638
CV-B,430,430,0,451,881
CV-C,261,261,0,304,565
CV-D,324,324,0,325,649
CV-E,382,382,0,437,819
CV-F,442,442,0,494,936
CV-G,504,504,0,501,1005
CV-H,485,485,0,524,1009
CV-I,505,505,0,586,1091
CV-J,436,436,0,479,915
CV-K,444,444,0,499,943
CV-L,499,499,0,533,1032
CV-M,415,415,0,448,863
CV-N,396,396,0,386,782
CV-O,533,533,0,573,1106
CV-P,475,475,0,489,964
CV-Q,406,406,0,475,881
CV-R,413,413,0,468,881
DAY 1-A,93,93,0,120,213
DAY 1-B,417,417,0,322,739
DAY 1-C,285,285,0,237,522
DAY 1-D,167,167,0,166,333
DAY 1-E,326,326,0,315,641
DAY 2-A,207,207,0,236,443
DAY 2-B,265,265,0,246,511
DAY 2-C,256,256,0,283,539
DAY 2-D,174,174,0,216,390
DAY 3-A,108,108,0,163,271
DAY 3-B,165,165,0,223,388
DAY 3-C,478,478,0,423,901
DAY 3-D,238,238,0,261,499
DAY 3-E,152,152,0,125,277
DAY 3-F,346,346,0,383,729
DAY 3-G,223,223,0,261,484
DAY 3-H,212,212,0,287,499
DAY 3-I,441,441,0,405,846
DAY 3-J,337,337,0,382,719
DAY 3-K,460,460,0,434,894
DAY 3-L,395,395,0,424,819
DAY 4-A,292,292,0,221,513
DAY 4-B,207,207,0,191,398
DAY 4-C,225,225,0,204,429
DAY 5-A,198,198,0,169,367
DAY 5-B,218,218,0,167,385
DAY 5-C,168,168,0,153,321
DAY 5-D,264,264,0,179,443
DAY 6-A,255,255,0,191,446
DAY 6-B,264,264,0,170,434
DAY 6-C,229,229,0,159,388
DAY 7-A,204,204,0,176,380
DAY 7-B,195,195,0,104,299
DAY 8-A,336,336,0,368,704
DAY 8-B,338,338,0,339,677
DAY 8-C,327,327,0,365,692
DAY 8-D,335,335,0,341,676
DAY 9-A,448,448,0,410,858
DAY 9-B,383,383,0,413,796
DAY 9-C,403,403,0,463,866
DAY 9-D,304,304,0,366,670
DAY 10-A,280,280,0,311,591
DAY 10-B,217,217,0,287,504
DAY 10-C,236,236,0,244,480
DAY 10-D,286,286,0,329,615
DAY 10-E,232,232,0,301,533
DAY 11-A,175,175,0,207,382
DAY 11-B,196,196,0,235,431
DAY 11-C,238,238,0,195,433
DAY 11-D,283,283,0,311,594
DAY 11-E,213,213,0,252,465
DAY 12-A,352,352,0,339,691
DAY 12-B,200,200,0,258,458
DAY 12-C,289,289,0,242,531
DAY 12-D,176,176,0,229,405
DAY 13-A,238,238,0,188,426
DAY 13-B,149,149,0,118,267
DAY 14-A,313,313,0,201,514
DAY 14-B,123,123,0,82,205
DAY 14-C,163,163,0,139,302
DAY 14-D,346,346,0,213,559
DAY 15-A,257,257,0,216,473
DAY 15-B,313,313,0,223,536
DAY 15-C,208,208,0,171,379
DAY 15-D,257,257,0,191,448
DAY 16-A,255,255,0,199,454
DAY 16-B,206,206,0,144,350
DAY 16-C,223,223,0,176,399
DAY 16-D,439,439,0,313,752
DAY 16-E,275,275,0,176,451
DAY 17-A,194,194,0,153,347
DAY 17-B,237,237,0,229,466
DAY 17-C,292,292,0,203,495
DAY 17-D,174,174,0,139,313
DAY 18-A,197,197,0,140,337
DAY 18-B,354,354,0,217,571
DAY 18-C,225,225,0,190,415
DAY 18-D,238,238,0,169,407
DAY 19-A,111,111,0,91,202
DAY 19-B,277,277,0,216,493
DAY 19-C,241,241,0,151,392
DAY 20-A,358,358,0,455,813
DAY 20-B,390,390,0,484,874
DAY 20-C,266,266,0,307,573
DAY 20-D,280,280,0,340,620
DAY 21-A,221,221,0,153,374
DAY 21-B,218,218,0,154,372
DAY 21-C,326,326,0,247,573
DAY 22-A,420,420,0,300,720
DAY 22-B,346,346,0,210,556
DAY 22-C,495,495,0,317,812
DAY 23-A,270,270,0,286,556
ENG-A,450,450,0,383,833
ENG-B,382,382,0,393,775
ENG-C,399,399,0,338,737
ENG-D,483,483,0,402,885
ENG-E,462,462,0,390,852
ENG-F,339,339,0,359,698
ENG-G,432,432,0,385,817
ENG-H,346,346,0,283,629
ENG-I,317,317,0,269,586
ENG-J,382,382,0,333,715
FARM,244,244,0,313,557
GERTWP-A,389,389,0,588,977
GERTWP-B,406,406,0,545,951
GTN-A,361,361,0,439,800
GTN-B,357,357,0,390,747
GTN-C,362,362,0,407,769
GTN-D,358,358,0,474,832
HARTWP-A,192,192,0,241,433
HARTWP-B,255,255,0,285,540
HARTWP-C,252,252,0,313,565
HARTWP-D,434,434,0,364,798
HARTWP-E,160,160,0,183,343
HARTWP-F,215,215,0,106,321
HARTWP-G,282,282,0,263,545
HARTWP-H,322,322,0,260,582
HARTWP-I,313,313,0,233,546
HARTWP-J,295,295,0,240,535
HARTWP-K,318,318,0,213,531
HARTWP-L,454,454,0,308,762
HARTWP-M,522,522,0,332,854
HARTWP-N,246,246,0,259,505
HARTWP-O,423,423,0,322,745
HUB 1-A,383,383,0,433,816
HUB 1-B,516,516,0,455,971
HUB 1-C,383,383,0,353,736
HUB 1-D,442,442,0,462,904
HUB 2-A,419,419,0,413,832
HUB 2-B,433,433,0,452,885
HUB 3-A,305,305,0,325,630
HUB 3-B,312,312,0,268,580
HUB 3-C,283,283,0,307,590
HUB 3-D,419,419,0,427,846
HUB 3-E,329,329,0,321,650
HUB 4-A,385,385,0,419,804
HUB 4-B,370,370,0,385,755
HUB 4-C,433,433,0,404,837
HUB 4-D,426,426,0,370,796
HUB 5-A,398,398,0,346,744
HUB 5-B,390,390,0,356,746
HUB 5-C,368,368,0,381,749
HUB 5-D,397,397,0,374,771
HUB 6-A,331,331,0,307,638
HUB 6-B,446,446,0,419,865
HUB 6-C,417,417,0,391,808
HUB 6-D,369,369,0,392,761
JAKTWP-A,380,380,0,579,959
JAKTWP-B,270,270,0,402,672
JEFTWP-A,457,457,0,482,939
JEFTWP-B,287,287,0,263,550
JEFTWP-C,302,302,0,392,694
JEFTWP-D,418,418,0,265,683
JNLB-A,201,201,0,278,479
JNLB-B,307,307,0,440,747
KT 1-A,334,334,0,323,657
KT 1-B,295,295,0,357,652
KT 1-C,401,401,0,473,874
KT 1-D,444,444,0,399,843
KT 1-E,338,338,0,344,682
KT 1-F,327,327,0,340,667
KT 1-G,305,305,0,404,709
KT 1-H,446,446,0,466,912
KT 1-I,390,390,0,393,783
KT 2-A,368,368,0,398,766
KT 2-B,370,370,0,369,739
KT 2-C,398,398,0,395,793
KT 2-D,448,448,0,425,873
KT 2-E,419,419,0,390,809
KT 2-F,352,352,0,312,664
KT 2-G,487,487,0,543,1030
KT 2-H,414,414,0,459,873
KT 2-I,333,333,0,327,660
KT 2-J,298,298,0,256,554
KT 3-A,414,414,0,414,828
KT 3-B,425,425,0,388,813
KT 3-C,385,385,0,407,792
KT 3-D,366,366,0,336,702
KT 3-E,401,401,0,445,846
KT 3-F,330,330,0,354,684
KT 3-G,387,387,0,292,679
KT 3-H,420,420,0,387,807
KT 3-I,329,329,0,359,688
KT 3-J,353,353,0,318,671
KT 3-K,454,454,0,492,946
KT 4-A,478,478,0,444,922
KT 4-B,479,479,0,460,939
KT 4-C,271,271,0,292,563
KT 4-D,422,422,0,392,814
KT 4-E,331,331,0,400,731
KT 4-F,387,387,0,383,770
KT 4-G,492,492,0,504,996
KT 4-H,345,345,0,334,679
KT 4-I,436,436,0,412,848
KT 4-J,389,389,0,377,766
KT 4-K,410,410,0,381,791
MBG 1-A,385,385,0,515,900
MBG 1-B,397,397,0,462,859
MBG 1-C,402,402,0,374,776
MBG 2-A,278,278,0,332,610
MBG 2-B,381,381,0,426,807
MBG 2-C,393,393,0,468,861
MBG 3-A,303,303,0,293,596
MBG 3-B,360,360,0,435,795
MBG 3-C,341,341,0,354,695
MBG 3-D,405,405,0,438,843
MBG 4-A,351,351,0,389,740
MBG 4-B,320,320,0,342,662
MBG 4-C,296,296,0,301,597
MBG 4-D,540,540,0,560,1100
MIATWP-A,373,373,0,443,816
MIATWP-B,332,332,0,386,718
MIATWP-C,358,358,0,483,841
MIATWP-D,308,308,0,401,709
MIATWP-E,454,454,0,517,971
MIATWP-F,400,400,0,355,755
MIATWP-G,316,316,0,364,680
MIATWP-H,345,345,0,358,703
MIATWP-I,208,208,0,221,429
MIATWP-J,271,271,0,426,697
MIATWP-K,443,443,0,496,939
MIATWP-L,273,273,0,343,616
MIATWP-M,372,372,0,329,701
MIATWP-N,382,382,0,419,801
MIATWP-O,363,363,0,387,750
MIATWP-P,282,282,0,242,524
MIATWP-Q,422,422,0,374,796
MIATWP-R,223,223,0,205,428
MIATWP-S,336,336,0,415,751
MIATWP-T,296,296,0,329,625
MIATWP-U,303,303,0,300,603
MIATWP-V,342,342,0,395,737
MOR 1-A,201,201,0,263,464
MOR 2-A,415,415,0,419,834
MOR 3-A,233,233,0,294,527
MOR 4-A,236,236,0,231,467
MOR 4-B,208,208,0,176,384
OAK-A,439,439,0,394,833
OAK-B,428,428,0,399,827
OAK-C,344,344,0,337,681
OAK-D,348,348,0,336,684
OAK-E,349,349,0,353,702
OAK-F,469,469,0,400,869
OAK-G,383,383,0,371,754
OAK-H,307,307,0,303,610
PERTWP-A,236,236,0,362,598
PERTWP-B,290,290,0,363,653
PERTWP-C,303,303,0,465,768
PHBG,120,120,0,117,237
PM,275,275,0,252,527
PNLB,237,237,0,294,531
RV-A,324,324,0,346,670
RV-B,246,246,0,314,560
RV-C,333,333,0,375,708
RV-D,305,305,0,423,728
RV-E,279,279,0,341,620
RV-F,306,306,0,295,601
RV-G,261,261,0,278,539
RV-H,182,182,0,180,362
RV-I,235,235,0,291,526
RV-J,263,263,0,249,512
RV-K,334,334,0,357,691
RV-L,191,191,0,230,421
RV-M,381,381,0,335,716
RV-N,245,245,0,277,522
RV-O,346,346,0,371,717
RV-P,389,389,0,368,757
TR 1-A,425,425,0,309,734
TR 1-B,229,229,0,177,406
TR 1-C,317,317,0,218,535
TR 1-D,288,288,0,152,440
TR 1-E,438,438,0,293,731
TR 2-A,382,382,0,230,612
TR 2-B,399,399,0,310,709
TR 2-C,304,304,0,215,519
TR 2-D,248,248,0,183,431
TR 2-E,320,320,0,186,506
TR 3-A,259,259,0,213,472
TR 3-B,288,288,0,322,610
TR 3-C,236,236,0,234,470
TR 3-D,371,371,0,312,683
TR 4-A,423,423,0,247,670
TR 4-B,325,325,0,238,563
TR 4-C,274,274,0,175,449
TR 4-D,289,289,0,181,470
UN-A,239,239,0,240,479
UN-B,352,352,0,365,717
UN-C,375,375,0,423,798
UN-D,450,450,0,394,844
UN-E,371,371,0,456,827
VD-A,331,331,0,385,716
VD-B,237,237,0,208,445
VD-C,416,416,0,422,838
VD-D,382,382,0,359,741
VD-E,263,263,0,287,550
VD-F,437,437,0,413,850
VD-G,294,294,0,369,663
VD-H,449,449,0,456,905
VD-I,360,360,0,394,754
VD-J,440,440,0,512,952
VD-K,468,468,0,410,878
WASTWP-A,360,360,0,418,778
WASTWP-B,556,556,0,530,1086
WASTWP-C,417,417,0,478,895
WASTWP-D,313,313,0,344,657
WASTWP-E,452,452,0,468,920
WASTWP-F,300,300,0,301,601
WASTWP-G,481,481,0,519,1000
WASTWP-H,390,390,0,419,809
WASTWP-I,335,335,0,338,673
WASTWP-J,438,438,0,430,868
WASTWP-K,374,374,0,445,819
WASTWP-L,338,338,0,390,728
WASTWP-M,419,419,0,518,937
WASTWP-N,437,437,0,407,844
WASTWP-O,416,416,0,465,881
WASTWP-P,498,498,0,492,990
WASTWP-Q,477,477,0,493,970
WASTWP-R,383,383,0,328,711
WASTWP-S,321,321,0,421,742
WASTWP-T,371,371,0,369,740
WASTWP-U,427,427,0,452,879
WASTWP-V,390,390,0,450,840
WASTWP-W,286,286,0,309,595
WASTWP-X,366,366,0,343,709
WASTWP-Y,579,579,0,529,1108
WASTWP-Z,384,384,0,376,760
WASTWP-AA,393,393,0,435,828
WASTWP-BB,304,304,0,320,624
WASTWP-CC,447,447,0,581,1028
WCR-A,327,327,0,376,703
WCR-B,346,346,0,390,736
WCR-C,350,350,0,404,754
WCR-D,333,333,0,403,736
WCR-E,248,248,0,232,480
WCR-F,283,283,0,288,571
WCR-G,362,362,0,393,755
WCR-H,322,322,0,395,717
WCR-I,282,282,0,237,519
