Precinct,Michael P. Donnelly (DEM),Megan E. Shanahan (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,242,590,832,2,89,923
BRK-B,172,467,639,0,60,699
BRK-C,204,627,831,0,80,911
BRK-D,157,560,717,0,67,784
BTLTWP-A,227,547,774,0,55,829
BTLTWP-B,225,452,677,0,50,727
BTLTWP-C,288,574,862,0,63,925
BTLTWP-D,309,487,796,0,65,861
BTLTWP-E,210,350,560,1,36,597
BTLTWP-F,223,412,635,0,52,687
BTLTWP-G,207,263,470,1,50,521
CLATWP-A,119,431,550,0,47,597
CLATWP-B,118,459,577,0,43,620
CLATWP-C,150,701,851,0,80,931
CTN 1-A,150,408,558,0,50,608
CTN 1-B,338,297,635,0,58,693
CTN 1-C,349,508,857,0,84,941
CTN 1-D,317,240,557,0,42,599
CTN 2-A,304,293,597,0,58,655
CTN 2-B,451,345,796,0,62,858
CTN 2-C,516,305,821,0,76,897
CTN 3-A,448,342,790,0,73,863
CTN 3-B,430,343,773,0,55,828
CTN 3-C,425,267,692,0,46,738
CV-A,343,253,596,0,42,638
CV-B,378,436,814,0,67,881
CV-C,209,309,518,1,46,565
CV-D,287,290,577,0,72,649
CV-E,320,438,758,1,60,819
CV-F,386,471,857,0,79,936
CV-G,451,470,921,0,84,1005
CV-H,441,484,925,2,82,1009
CV-I,367,637,1004,0,87,1091
CV-J,340,506,846,0,69,915
CV-K,389,473,862,0,81,943
CV-L,423,544,967,1,64,1032
CV-M,356,436,792,0,71,863
CV-N,342,367,709,0,73,782
CV-O,462,557,1019,1,86,1106
CV-P,407,483,890,0,74,964
CV-Q,389,420,809,1,71,881
CV-R,401,413,814,0,67,881
DAY 1-A,125,60,185,0,28,213
DAY 1-B,533,174,707,0,32,739
DAY 1-C,379,103,482,0,40,522
DAY 1-D,246,72,318,0,15,333
DAY 1-E,467,137,604,0,37,641
DAY 2-A,187,203,390,0,53,443
DAY 2-B,321,147,468,0,43,511
DAY 2-C,273,215,488,0,51,539
DAY 2-D,181,159,340,0,50,390
DAY 3-A,113,121,234,0,37,271
DAY 3-B,156,184,340,0,48,388
DAY 3-C,400,434,834,0,67,901
DAY 3-D,252,190,442,0,57,499
DAY 3-E,124,124,248,0,29,277
