Precinct,Joseph T. Deters (REP),Melody J. Stewart (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,606,257,863,0,60,923
BRK-B,484,181,665,0,34,699
BRK-C,650,195,845,0,66,911
BRK-D,556,164,720,0,64,784
BTLTWP-A,550,235,785,0,44,829
BTLTWP-B,461,233,694,0,33,727
BTLTWP-C,590,289,879,0,46,925
BTLTWP-D,503,314,817,0,44,861
BTLTWP-E,372,205,577,0,20,597
BTLTWP-F,420,237,657,0,30,687
BTLTWP-G,267,217,484,0,37,521
CLATWP-A,442,127,569,0,28,597
CLATWP-B,474,111,585,0,35,620
CLATWP-C,725,150,875,0,56,931
CTN 1-A,428,148,576,0,32,608
CTN 1-B,314,350,664,0,29,693
CTN 1-C,518,359,877,0,64,941
CTN 1-D,231,347,578,0,21,599
CTN 2-A,304,306,610,0,45,655
CTN 2-B,359,463,822,0,36,858
CTN 2-C,329,521,850,0,47,897
CTN 3-A,353,453,806,0,57,863
CTN 3-B,361,428,789,0,39,828
CTN 3-C,260,450,710,2,26,738
CV-A,254,348,602,1,35,638
CV-B,449,385,834,0,47,881
CV-C,314,218,532,0,33,565
CV-D,296,300,596,0,53,649
CV-E,455,322,777,0,42,819
CV-F,482,392,874,0,62,936
CV-G,500,451,951,0,54,1005
CV-H,491,458,949,0,60,1009
CV-I,654,379,1033,0,58,1091
CV-J,506,359,865,0,50,915
CV-K,471,405,876,0,67,943
CV-L,550,427,977,0,55,1032
CV-M,458,356,814,0,49,863
CV-N,390,341,731,0,51,782
CV-O,565,474,1039,0,67,1106
CV-P,483,435,918,1,45,964
CV-Q,423,398,821,0,60,881
CV-R,418,409,827,0,54,881
DAY 1-A,67,128,195,0,18,213
DAY 1-B,171,537,708,0,31,739
DAY 1-C,108,382,490,0,32,522
DAY 1-D,74,247,321,0,12,333
DAY 1-E,146,472,618,0,23,641
DAY 2-A,215,195,410,0,33,443
DAY 2-B,150,334,484,0,27,511
DAY 2-C,222,279,501,0,38,539
DAY 2-D,165,189,354,0,36,390
DAY 3-A,127,118,245,0,26,271
DAY 3-B,185,167,352,0,36,388
DAY 3-C,434,422,856,0,45,901
DAY 3-D,203,258,461,0,38,499
DAY 3-E,131,125,256,0,21,277
DAY 3-F,305,378,683,0,46,729
DAY 3-G,271,171,442,0,42,484
DAY 3-H,256,205,461,0,38,499
DAY 3-I,324,470,794,0,52,846
DAY 3-J,324,339,663,0,56,719
DAY 3-K,387,471,858,0,36,894
DAY 3-L,424,353,777,0,42,819
DAY 4-A,99,393,492,0,21,513
DAY 4-B,76,304,380,0,18,398
DAY 4-C,84,315,399,0,30,429
DAY 5-A,27,312,339,0,28,367
DAY 5-B,44,306,350,0,35,385
DAY 5-C,44,251,295,0,26,321
