Precinct,Lisa Forbes (DEM),Daniel R. Hawkins (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,245,603,848,1,74,923
BRK-B,180,479,659,0,40,699
BRK-C,204,626,830,0,81,911
BRK-D,152,566,718,0,66,784
BTLTWP-A,233,551,784,0,45,829
BTLTWP-B,237,454,691,0,36,727
BTLTWP-C,298,585,883,0,42,925
BTLTWP-D,313,496,809,0,52,861
BTLTWP-E,215,358,573,0,24,597
BTLTWP-F,237,413,650,0,37,687
BTLTWP-G,216,261,477,0,44,521
CLATWP-A,116,444,560,0,37,597
CLATWP-B,117,459,576,0,44,620
CLATWP-C,147,709,856,1,74,931
CTN 1-A,148,423,571,0,37,608
CTN 1-B,350,304,654,0,39,693
CTN 1-C,368,499,867,0,74,941
CTN 1-D,331,238,569,0,30,599
CTN 2-A,297,308,605,0,50,655
CTN 2-B,456,362,818,0,40,858
CTN 2-C,523,310,833,0,64,897
CTN 3-A,458,350,808,0,55,863
CTN 3-B,442,340,782,0,46,828
CTN 3-C,439,263,702,0,36,738
CV-A,337,265,602,0,36,638
CV-B,395,431,826,0,55,881
CV-C,229,301,530,0,35,565
CV-D,292,296,588,1,60,649
CV-E,320,450,770,0,49,819
CV-F,391,476,867,0,69,936
CV-G,455,490,945,0,60,1005
CV-H,458,487,945,0,64,1009
CV-I,386,641,1027,0,64,1091
CV-J,346,509,855,0,60,915
CV-K,398,464,862,0,81,943
CV-L,433,536,969,0,63,1032
CV-M,364,452,816,0,47,863
CV-N,335,385,720,0,62,782
CV-O,475,563,1038,0,68,1106
CV-P,425,489,914,0,50,964
CV-Q,400,415,815,0,66,881
CV-R,413,408,821,0,60,881
DAY 1-A,130,61,191,0,22,213
DAY1-B,531,175,706,0,33,739
DAY 1-C,381,109,490,0,32,522
DAY 1-D,247,71,318,0,15,333
DAY 1-E,478,139,617,0,24,641
DAY 2-A,191,206,397,0,46,443
DAY 2-B,337,147,484,0,27,511
DAY 2-C,281,209,490,0,49,539
DAY 2-D,188,164,352,0,38,390
DAY 3-A,116,126,242,0,29,271
DAY 3-B,166,183,349,0,39,388
DAY 3-C,418,434,852,0,49,901
DAY 3-D,262,201,463,0,36,499
DAY 3-E,126,130,256,0,21,277
DAY 3-F,385,293,678,0,51,729
DAY 3-G,171,263,434,0,50,484
DAY 3-H,199,248,447,0,52,499
DAY 3-I,455,324,779,0,67,846
DAY 3-J,339,314,653,0,66,719
DAY 3-K,463,389,852,0,42,894
DAY 3-L,358,418,776,0,43,819
DAY 4-A,392,99,491,0,22,513
DAY 4-B,297,77,374,0,24,398
DAY 4-C,301,96,397,0,32,429
DAY 5-A,302,27,329,0,38,367
DAY 5-B,302,50,352,0,33,385
DAY 5-C,249,37,286,0,35,321
DAY 5-D,380,33,413,0,30,443
DAY 6-A,380,28,408,0,38,446
DAY 6-B,372,24,396,0,38,434
DAY 6-C,334,23,357,0,31,388
DAY 7-A,321,28,349,0,31,380
DAY 7-B,256,28,284,0,15,299
DAY 8-A,361,281,642,0,62,704
DAY 8-B,423,228,651,0,26,677
