Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 2-C,0,0,0,0,0,0
DAY 2-D,0,1,1,0,0,1
DAY 3-C,107,89,196,0,7,203
DAY 3-J,28,16,44,0,3,47
DAY 3-K,406,337,743,1,47,791
DAY 11-C,14,9,23,0,0,23
HUB 5-B,0,1,1,0,0,1
PM,283,191,474,0,52,526
RV-A,298,328,626,0,41,667
RV-B,181,288,469,1,52,522
RV-C,343,298,641,0,67,708
RV-E,222,326,548,0,48,596
RV-F,284,268,552,0,49,601
RV-G,214,279,493,0,43,536
RV-H,181,137,318,0,42,360
RV-I,225,263,488,0,38,526
RV-J,196,275,471,0,41,512
RV-L,46,39,85,0,2,87
RV-M,323,342,665,0,49,714
RV-N,214,247,461,1,60,522
RV-P,343,372,715,1,40,756
