Precinct,Duncan/Bupp (NPC),Harris/Walz (DEM),Oliver/Maat (LIB),Sonski/Onak (OPC),Candidate Withdrawn,Trump/Vance (REP),Write-in Totals,Write-in: 1. Ayyadurai/Ellis,Write-in: 2. Bowman/Bowman,Write-in: 3. Cheng/Waligorski,Write-in: 4. Dela Cruz/Garcia,Write-in: 5. Fox/McVay,Write-in: 6. Garrity/Ballard,Write-in: 7. Kienitz/Johnson,Write-in: 8. Nalbach/Butts,Write-in: 9. West/Abdullah,Write-in: 10. Not Valid,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,3,263,2,2,4,633,2,0,0,0,0,0,0,0,0,0,2,0,909,3,11,923
BRK-B,3,182,2,2,1,504,1,0,0,0,0,0,0,0,0,0,1,0,695,1,3,699
BRK-C,1,217,7,1,1,673,1,0,0,0,0,0,0,0,0,0,1,0,901,0,10,911
BRK-D,0,173,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,780,0,4,784
BTLTWP-A,1,239,3,3,1,575,2,0,0,0,0,0,0,0,0,0,2,0,824,0,5,829
BTLTWP-B,5,246,3,0,2,470,0,0,0,0,0,0,0,0,0,0,0,0,726,0,1,727
BTLTWP-C,5,302,6,1,2,602,0,0,0,0,0,0,0,0,0,0,0,0,918,0,7,925
BTLTWP-D,1,323,3,2,3,519,4,0,0,0,0,0,0,0,0,1,3,0,855,0,6,861
BTLTWP-E,1,211,4,1,3,375,0,0,0,0,0,0,0,0,0,0,0,0,595,0,2,597
BTLTWP-F,1,252,3,0,3,420,1,0,0,0,0,0,0,0,0,0,1,0,680,0,7,687
BTLTWP-G,0,236,1,0,0,282,1,0,0,0,0,0,0,0,0,0,1,0,520,1,0,521
CLATWP-A,4,124,1,0,1,465,0,0,0,0,0,0,0,0,0,0,0,0,595,0,2,597
CLATWP-B,1,112,1,1,3,496,0,0,0,0,0,0,0,0,0,0,0,0,614,0,6,620
CLATWP-C,3,157,3,1,1,756,1,0,0,0,0,0,0,0,0,0,1,0,922,2,7,931
CTN 1-A,0,167,3,0,2,426,1,0,0,0,0,0,0,0,0,0,1,0,599,0,9,608
CTN 1-B,0,359,5,2,2,312,1,0,0,0,1,0,0,0,0,0,0,0,681,3,9,693
CTN 1-C,1,394,5,4,1,521,2,0,0,0,0,0,0,0,0,0,2,0,928,2,11,941
CTN 1-D,1,352,1,0,0,237,4,0,0,0,0,0,0,0,0,0,4,0,595,1,3,599
CTN 2-A,1,315,2,0,6,327,2,0,0,0,0,0,0,0,0,1,1,0,653,0,2,655
CTN 2-B,1,471,2,4,5,372,2,0,0,0,0,0,0,0,0,0,2,0,857,0,1,858
CTN 2-C,2,543,8,1,2,329,3,0,0,0,0,0,0,0,0,0,3,0,888,0,9,897
CTN 3-A,0,481,4,3,2,364,3,0,0,0,0,0,0,0,0,2,1,0,857,0,6,863
CTN 3-B,1,447,5,2,6,359,1,0,0,0,1,0,0,0,0,0,0,0,821,1,6,828
CTN 3-C,2,435,6,2,1,283,2,0,0,0,0,0,0,0,0,0,2,0,731,0,7,738
CV-A,0,360,5,0,1,267,1,0,0,0,0,0,0,0,0,0,1,0,634,0,4,638
CV-B,5,412,4,1,7,436,6,0,0,0,0,0,0,0,0,0,6,0,871,0,10,881
CV-C,0,237,4,3,0,315,1,0,0,0,0,0,0,0,0,0,1,0,560,0,5,565
CV-D,5,317,2,2,3,317,0,0,0,0,0,0,0,0,0,0,0,0,646,1,2,649
CV-E,2,351,7,2,1,444,5,0,0,0,0,0,0,0,0,0,5,0,812,2,5,819
CV-F,5,428,7,1,5,481,3,0,0,0,0,0,0,0,0,0,3,0,930,0,6,936
CV-G,3,484,6,1,4,496,4,0,0,0,0,0,0,0,0,0,4,0,998,1,6,1005
CV-H,3,501,4,1,2,483,1,0,0,0,0,0,0,0,0,0,1,0,995,1,13,1009
CV-I,1,440,2,0,0,629,5,0,0,0,0,0,0,0,0,0,5,0,1077,2,12,1091
CV-J,4,386,7,0,1,501,2,0,0,0,0,0,0,0,0,0,2,0,901,0,14,915
