Precinct,Mat Heck Jr. (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,588,588,0,335,923
BRK-B,424,424,0,275,699
BRK-C,553,553,0,358,911
BRK-D,443,443,0,341,784
BTLTWP-A,475,475,0,354,829
BTLTWP-B,430,430,0,297,727
BTLTWP-C,553,553,0,372,925
BTLTWP-D,544,544,0,317,861
BTLTWP-E,410,410,0,187,597
BTLTWP-F,400,400,0,287,687
BTLTWP-G,346,346,0,175,521
CLATWP-A,320,320,0,277,597
CLATWP-B,345,345,0,275,620
CLATWP-C,458,458,0,473,931
CTN 1-A,346,346,0,262,608
CTN 1-B,518,518,0,175,693
CTN 1-C,633,633,0,308,941
CTN 1-D,446,446,0,153,599
CTN 2-A,451,451,0,204,655
CTN 2-B,644,644,0,214,858
CTN 2-C,656,656,0,241,897
CTN 3-A,601,601,0,262,863
CTN 3-B,588,588,0,240,828
CTN 3-C,559,559,0,179,738
CV-A,445,445,0,193,638
CV-B,525,525,0,356,881
CV-C,318,318,0,247,565
CV-D,412,412,0,237,649
CV-E,488,488,0,331,819
CV-F,546,546,0,390,936
CV-G,645,645,0,360,1005
CV-H,637,637,0,372,1009
CV-I,639,639,0,452,1091
CV-J,531,531,0,384,915
CV-K,581,581,0,362,943
CV-L,625,625,0,407,1032
CV-M,550,550,0,313,863
CV-N,493,493,0,289,782
CV-O,678,678,0,428,1106
CV-P,575,575,0,389,964
CV-Q,519,519,0,362,881
CV-R,546,546,0,335,881
DAY 1-A,122,122,0,91,213
DAY 1-B,555,555,0,184,739
DAY 1-C,407,407,0,115,522
DAY 1-D,244,244,0,89,333
DAY 1-E,476,476,0,165,641
DAY 2-A,274,274,0,169,443
DAY 2-B,378,378,0,133,511
DAY 2-C,359,359,0,180,539
DAY 2-D,245,245,0,145,390
DAY 3-A,160,160,0,111,271
DAY 3-B,230,230,0,158,388
DAY 3-C,578,578,0,323,901
DAY 3-D,329,329,0,170,499
DAY 3-E,191,191,0,86,277
DAY 3-F,475,475,0,254,729
DAY 3-G,287,287,0,197,484
DAY 3-H,292,292,0,207,499
DAY 3-I,553,553,0,293,846
DAY 3-J,445,445,0,274,719
DAY 3-K,594,594,0,300,894
DAY 3-L,492,492,0,327,819
DAY 4-A,416,416,0,97,513
DAY 4-B,310,310,0,88,398
DAY 4-C,319,319,0,110,429
DAY 5-A,305,305,0,62,367
DAY 5-B,321,321,0,64,385
DAY 5-C,260,260,0,61,321
DAY 5-D,380,380,0,63,443
DAY 6-A,395,395,0,51,446
DAY 6-B,378,378,0,56,434
DAY 6-C,338,338,0,50,388
DAY 7-A,325,325,0,55,380
DAY 7-B,253,253,0,46,299
DAY 8-A,462,462,0,242,704
DAY 8-B,484,484,0,193,677
DAY 8-C,466,466,0,226,692
DAY 8-D,452,452,0,224,676
DAY 9-A,582,582,0,276,858
DAY 9-B,531,531,0,265,796
DAY 9-C,574,574,0,292,866
DAY 9-D,449,449,0,221,670
DAY 10-A,382,382,0,209,591
DAY 10-B,305,305,0,199,504
DAY 10-C,329,329,0,151,480
DAY 10-D,387,387,0,228,615
DAY 10-E,329,329,0,204,533
DAY 11-A,256,256,0,126,382
DAY 11-B,272,272,0,159,431
DAY 11-C,313,313,0,120,433
DAY 11-D,363,363,0,231,594
DAY 11-E,296,296,0,169,465
DAY 12-A,463,463,0,228,691
DAY 12-B,324,324,0,134,458
DAY 12-C,370,370,0,161,531
DAY 12-D,270,270,0,135,405
DAY 13-A,364,364,0,62,426
DAY 13-B,227,227,0,40,267
DAY 14-A,423,423,0,91,514
DAY 14-B,171,171,0,34,205
DAY 14-C,252,252,0,50,302
DAY 14-D,500,500,0,59,559
DAY 15-A,407,407,0,66,473
DAY 15-B,469,469,0,67,536
DAY 15-C,333,333,0,46,379
DAY 15-D,391,391,0,57,448
DAY 16-A,386,386,0,68,454
DAY 16-B,313,313,0,37,350
DAY 16-C,327,327,0,72,399
DAY 16-D,667,667,0,85,752
DAY 16-E,401,401,0,50,451
DAY 17-A,284,284,0,63,347
DAY 17-B,377,377,0,89,466
DAY 17-C,424,424,0,71,495
DAY 17-D,249,249,0,64,313
DAY 18-A,292,292,0,45,337
DAY 18-B,475,475,0,96,571
DAY 18-C,327,327,0,88,415
DAY 18-D,326,326,0,81,407
DAY 19-A,175,175,0,27,202
DAY 19-B,437,437,0,56,493
DAY 19-C,341,341,0,51,392
DAY 20-A,493,493,0,320,813
DAY 20-B,532,532,0,342,874
DAY 20-C,360,360,0,213,573
DAY 20-D,366,366,0,254,620
DAY 21-A,324,324,0,50,374
DAY 21-B,327,327,0,45,372
DAY 21-C,500,500,0,73,573
DAY 22-A,609,609,0,111,720
DAY 22-B,462,462,0,94,556
DAY 22-C,731,731,0,81,812
DAY 23-A,426,426,0,130,556
ENG-A,597,597,0,236,833
ENG-B,520,520,0,255,775
ENG-C,543,543,0,194,737
ENG-D,608,608,0,277,885
ENG-E,628,628,0,224,852
ENG-F,466,466,0,232,698
ENG-G,577,577,0,240,817
ENG-H,444,444,0,185,629
ENG-I,416,416,0,170,586
ENG-J,532,532,0,183,715
FARM,284,284,0,273,557
GERTWP-A,432,432,0,545,977
GERTWP-B,440,440,0,511,951
GTN-A,430,430,0,370,800
GTN-B,400,400,0,347,747
GTN-C,406,406,0,363,769
GTN-D,418,418,0,414,832
HARTWP-A,254,254,0,179,433
HARTWP-B,330,330,0,210,540
HARTWP-C,345,345,0,220,565
HARTWP-D,621,621,0,177,798
HARTWP-E,218,218,0,125,343
HARTWP-F,272,272,0,49,321
HARTWP-G,456,456,0,89,545
HARTWP-H,491,491,0,91,582
HARTWP-I,448,448,0,98,546
HARTWP-J,452,452,0,83,535
HARTWP-K,428,428,0,103,531
HARTWP-L,603,603,0,159,762
HARTWP-M,749,749,0,105,854
HARTWP-N,304,304,0,201,505
HARTWP-O,625,625,0,120,745
HUB 1-A,495,495,0,321,816
HUB 1-B,668,668,0,303,971
HUB 1-C,524,524,0,212,736
HUB 1-D,588,588,0,316,904
HUB 2-A,539,539,0,293,832
HUB 2-B,555,555,0,330,885
HUB 3-A,406,406,0,224,630
HUB 3-B,421,421,0,159,580
HUB 3-C,372,372,0,218,590
HUB 3-D,539,539,0,307,846
HUB 3-E,427,427,0,223,650
HUB 4-A,524,524,0,280,804
HUB 4-B,473,473,0,282,755
HUB 4-C,548,548,0,289,837
HUB 4-D,575,575,0,221,796
HUB 5-A,484,484,0,260,744
HUB 5-B,503,503,0,243,746
HUB 5-C,490,490,0,259,749
HUB 5-D,502,502,0,269,771
HUB 6-A,414,414,0,224,638
HUB 6-B,531,531,0,334,865
HUB 6-C,517,517,0,291,808
HUB 6-D,466,466,0,295,761
JAKTWP-A,482,482,0,477,959
JAKTWP-B,273,273,0,399,672
JEFTWP-A,586,586,0,353,939
JEFTWP-B,397,397,0,153,550
JEFTWP-C,387,387,0,307,694
JEFTWP-D,596,596,0,87,683
JNLB-A,245,245,0,234,479
JNLB-B,402,402,0,345,747
KT 1-A,457,457,0,200,657
KT 1-B,372,372,0,280,652
KT 1-C,524,524,0,350,874
KT 1-D,533,533,0,310,843
KT 1-E,418,418,0,264,682
KT 1-F,415,415,0,252,667
KT 1-G,416,416,0,293,709
KT 1-H,575,575,0,337,912
KT 1-I,500,500,0,283,783
KT 2-A,466,466,0,300,766
KT 2-B,471,471,0,268,739
KT 2-C,515,515,0,278,793
KT 2-D,575,575,0,298,873
KT 2-E,487,487,0,322,809
KT 2-F,413,413,0,251,664
KT 2-G,586,586,0,444,1030
KT 2-H,538,538,0,335,873
KT 2-I,408,408,0,252,660
KT 2-J,375,375,0,179,554
KT 3-A,551,551,0,277,828
KT 3-B,571,571,0,242,813
KT 3-C,480,480,0,312,792
KT 3-D,491,491,0,211,702
KT 3-E,539,539,0,307,846
KT 3-F,439,439,0,245,684
KT 3-G,440,440,0,239,679
KT 3-H,540,540,0,267,807
KT 3-I,432,432,0,256,688
KT 3-J,422,422,0,249,671
KT 3-K,616,616,0,330,946
KT 4-A,626,626,0,296,922
KT 4-B,677,677,0,262,939
KT 4-C,345,345,0,218,563
KT 4-D,536,536,0,278,814
KT 4-E,472,472,0,259,731
KT 4-F,503,503,0,267,770
KT 4-G,622,622,0,374,996
KT 4-H,446,446,0,233,679
KT 4-I,576,576,0,272,848
KT 4-J,522,522,0,244,766
KT 4-K,531,531,0,260,791
MBG 1-A,484,484,0,416,900
MBG 1-B,472,472,0,387,859
MBG 1-C,483,483,0,293,776
MBG 2-A,354,354,0,256,610
MBG 2-B,448,448,0,359,807
MBG 2-C,461,461,0,400,861
MBG 3-A,377,377,0,219,596
MBG 3-B,455,455,0,340,795
MBG 3-C,434,434,0,261,695
MBG 3-D,482,482,0,361,843
MBG 4-A,431,431,0,309,740
MBG 4-B,378,378,0,284,662
MBG 4-C,377,377,0,220,597
MBG 4-D,656,656,0,444,1100
MIATWP-A,488,488,0,328,816
MIATWP-B,430,430,0,288,718
MIATWP-C,392,392,0,449,841
MIATWP-D,431,431,0,278,709
MIATWP-E,568,568,0,403,971
MIATWP-F,502,502,0,253,755
MIATWP-G,410,410,0,270,680
MIATWP-H,445,445,0,258,703
MIATWP-I,282,282,0,147,429
MIATWP-J,283,283,0,414,697
MIATWP-K,533,533,0,406,939
MIATWP-L,360,360,0,256,616
MIATWP-M,438,438,0,263,701
MIATWP-N,494,494,0,307,801
MIATWP-O,437,437,0,313,750
MIATWP-P,361,361,0,163,524
MIATWP-Q,527,527,0,269,796
MIATWP-R,274,274,0,154,428
MIATWP-S,379,379,0,372,751
MIATWP-T,343,343,0,282,625
MIATWP-U,383,383,0,220,603
MIATWP-V,409,409,0,328,737
MOR 1-A,264,264,0,200,464
MOR 2-A,484,484,0,350,834
MOR 3-A,282,282,0,245,527
MOR 4-A,301,301,0,166,467
MOR 4-B,285,285,0,99,384
OAK-A,577,577,0,256,833
OAK-B,557,557,0,270,827
OAK-C,459,459,0,222,681
OAK-D,480,480,0,204,684
OAK-E,502,502,0,200,702
OAK-F,621,621,0,248,869
OAK-G,524,524,0,230,754
OAK-H,412,412,0,198,610
PERTWP-A,309,309,0,289,598
PERTWP-B,351,351,0,302,653
PERTWP-C,384,384,0,384,768
PHBG,149,149,0,88,237
PM,326,326,0,201,527
PNLB,304,304,0,227,531
RV-A,386,386,0,284,670
RV-B,312,312,0,248,560
RV-C,440,440,0,268,708
RV-D,373,373,0,355,728
RV-E,349,349,0,271,620
RV-F,389,389,0,212,601
RV-G,308,308,0,231,539
RV-H,228,228,0,134,362
RV-I,288,288,0,238,526
RV-J,318,318,0,194,512
RV-K,428,428,0,263,691
RV-L,223,223,0,198,421
RV-M,440,440,0,276,716
RV-N,330,330,0,192,522
RV-O,435,435,0,282,717
RV-P,501,501,0,256,757
TR 1-A,594,594,0,140,734
TR 1-B,314,314,0,92,406
TR 1-C,466,466,0,69,535
TR 1-D,378,378,0,62,440
TR 1-E,654,654,0,77,731
TR 2-A,546,546,0,66,612
TR 2-B,602,602,0,107,709
TR 2-C,453,453,0,66,519
TR 2-D,342,342,0,89,431
TR 2-E,457,457,0,49,506
TR 3-A,353,353,0,119,472
TR 3-B,390,390,0,220,610
TR 3-C,333,333,0,137,470
TR 3-D,574,574,0,109,683
TR 4-A,582,582,0,88,670
TR 4-B,472,472,0,91,563
TR 4-C,390,390,0,59,449
TR 4-D,405,405,0,65,470
UN-A,310,310,0,169,479
UN-B,457,457,0,260,717
