Precinct,Amy Cox (DEM),Michael Harbaugh (NPC),Mike Turner (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,198,24,668,890,0,33,923
BRK-B,141,23,516,680,0,19,699
BRK-C,156,17,705,878,0,33,911
BRK-D,126,15,611,752,0,32,784
BTLTWP-A,189,26,595,810,0,19,829
BTLTWP-B,193,16,496,705,0,22,727
BTLTWP-C,233,32,636,901,1,23,925
BTLTWP-D,256,16,567,839,0,22,861
BTLTWP-E,149,10,430,589,0,8,597
BTLTWP-F,187,9,466,662,0,25,687
BTLTWP-G,183,17,304,504,0,17,521
CLATWP-A,91,14,478,583,0,14,597
CLATWP-B,90,21,486,597,0,23,620
CLATWP-C,117,25,760,902,0,29,931
CTN 1-A,112,9,473,594,0,14,608
CTN 1-B,303,24,348,675,0,18,693
CTN 1-C,306,22,582,910,1,30,941
CTN 1-D,303,16,268,587,0,12,599
CTN 2-A,265,25,343,633,0,22,655
CTN 2-B,374,22,440,836,0,22,858
CTN 2-C,431,21,409,861,0,36,897
CTN 3-A,414,32,383,829,0,34,863
CTN 3-B,373,26,409,808,0,20,828
CTN 3-C,387,25,304,716,0,22,738
CV-A,304,35,271,610,1,27,638
CV-B,336,28,480,844,0,37,881
CV-C,184,9,356,549,0,16,565
CV-D,254,30,321,605,0,44,649
CV-E,268,21,503,792,0,27,819
CV-F,304,22,576,902,0,34,936
CV-G,375,31,566,972,1,32,1005
CV-H,346,25,603,974,0,35,1009
CV-I,316,24,718,1058,1,32,1091
CV-J,288,28,569,885,0,30,915
CV-K,323,25,557,905,0,38,943
CV-L,349,14,635,998,0,34,1032
CV-M,291,21,530,842,1,20,863
CV-N,271,15,468,754,2,26,782
CV-O,390,11,654,1055,1,50,1106
CV-P,363,20,546,929,1,34,964
CV-Q,325,22,491,838,0,43,881
CV-R,348,33,468,849,0,32,881
DAY 1-A,104,1,91,196,0,17,213
DAY 1-B,472,31,214,717,0,22,739
DAY 1-C,346,10,150,506,0,16,522
DAY 1-D,217,25,82,324,0,9,333
DAY 1-E,424,26,165,615,0,26,641
DAY 2-A,149,19,249,417,0,26,443
DAY 2-B,293,29,175,497,0,14,511
DAY 2-C,240,28,251,519,0,20,539
DAY 2-D,162,8,201,371,0,19,390
DAY 3-A,94,15,142,251,0,20,271
DAY 3-B,132,18,210,360,0,28,388
DAY 3-C,341,21,511,873,0,28,901
DAY 3-D,233,12,232,477,0,22,499
DAY 3-E,108,10,145,263,1,13,277
DAY 3-F,311,24,370,705,0,24,729
DAY 3-G,136,18,298,452,1,31,484
DAY 3-H,155,20,293,468,1,30,499
DAY 3-I,386,18,398,802,0,44,846
DAY 3-J,309,22,357,688,0,31,719
DAY 3-K,393,28,446,867,0,27,894
DAY 3-L,295,21,476,792,0,27,819
DAY 4-A,361,21,118,500,0,13,513
DAY 4-B,257,19,107,383,0,15,398
DAY 4-C,272,17,118,407,0,22,429
DAY 5-A,281,14,45,340,2,25,367
DAY 5-B,271,16,79,366,0,19,385
DAY 5-C,236,8,58,302,0,19,321
DAY 5-D,347,12,66,425,1,17,443
DAY 6-A,353,8,56,417,0,29,446
DAY 6-B,341,10,62,413,0,21,434
DAY 6-C,315,16,42,373,0,15,388
DAY 7-A,297,9,55,361,0,19,380
DAY 7-B,227,9,56,292,0,7,299
DAY 8-A,321,21,333,675,0,29,704
DAY 8-B,366,28,263,657,0,20,677
DAY 8-C,358,28,283,669,0,23,692
DAY 8-D,341,28,279,648,0,28,676
DAY 9-A,410,20,399,829,0,29,858
DAY 9-B,365,26,375,766,0,30,796
DAY 9-C,404,34,398,836,0,30,866
DAY 9-D,292,19,339,650,0,20,670
DAY 10-A,262,23,280,565,0,26,591
DAY 10-B,187,21,273,481,0,23,504
DAY 10-C,231,20,220,471,0,9,480
DAY 10-D,243,17,333,593,0,22,615
DAY 10-E,222,26,259,507,0,26,533
DAY 11-A,164,18,188,370,0,12,382
DAY 11-B,162,16,225,403,0,28,431
DAY 11-C,215,21,180,416,0,17,433
DAY 11-D,206,21,337,564,0,30,594
DAY 11-E,164,24,260,448,1,16,465
DAY 12-A,307,36,318,661,1,29,691
DAY 12-B,292,15,138,445,0,13,458
DAY 12-C,226,25,267,518,0,13,531
DAY 12-D,178,13,188,379,0,26,405
DAY 13-A,327,17,55,399,0,27,426
DAY 13-B,198,4,46,248,0,19,267
DAY 14-A,380,17,90,487,0,27,514
DAY 14-B,156,4,36,196,0,9,205
DAY 14-C,218,10,58,286,0,16,302
DAY 14-D,457,12,68,537,0,22,559
DAY 15-A,364,10,66,440,0,33,473
DAY 15-B,413,7,79,499,1,36,536
DAY 15-C,314,7,36,357,0,22,379
DAY 15-D,352,15,51,418,1,29,448
DAY 16-A,344,11,79,434,0,20,454
DAY 16-B,273,9,49,331,0,19,350
DAY 16-C,307,17,52,376,1,22,399
