Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,252,210,462,0,64,526
RV-A,381,254,635,0,32,667
RV-B,215,291,506,1,53,560
RV-C,312,334,646,1,61,708
RV-D,343,327,670,1,57,728
RV-E,232,335,567,0,52,619
RV-F,315,238,553,0,48,601
RV-G,244,250,494,0,42,536
RV-H,162,156,318,0,42,360
RV-I,239,245,484,0,42,526
RV-J,238,235,473,0,39,512
RV-K,367,276,643,0,47,690
RV-L,160,211,371,0,49,420
RV-M,367,299,666,0,48,714
RV-N,211,244,455,0,67,522
RV-O,330,329,659,1,56,716
RV-P,349,360,709,1,46,756
