Precinct,Sherrod Brown (DEM),Don Kissick (LIB),Bernie Moreno (REP),Write-in Totals,Write-in: 1. Stephen Faris,Write-in: 2. David Allen Pastorius,Write-in: 3. Nathan Russell,Write-in: 4. Tariq K. Shabazz,Write-in: 5. Not Valid,Write-in: Not Assigned,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,304,43,544,3,0,0,0,0,3,0,894,0,29,923
BRK-B,212,20,457,0,0,0,0,0,0,0,689,1,9,699
BRK-C,256,29,600,1,0,0,0,0,1,0,886,0,25,911
BRK-D,196,26,539,0,0,0,0,0,0,0,761,0,23,784
BTLTWP-A,256,38,520,1,0,0,0,0,1,0,815,0,14,829
BTLTWP-B,264,16,428,0,0,0,0,0,0,0,708,0,19,727
BTLTWP-C,335,30,549,0,0,0,0,0,0,0,914,0,11,925
BTLTWP-D,346,24,474,1,0,0,0,0,1,0,845,0,16,861
BTLTWP-E,234,9,347,0,0,0,0,0,0,0,590,0,7,597
BTLTWP-F,272,23,378,0,0,0,0,0,0,0,673,0,14,687
BTLTWP-G,236,10,257,0,0,0,0,0,0,0,503,1,17,521
CLATWP-A,139,24,422,0,0,0,0,0,0,0,585,0,12,597
CLATWP-B,124,15,468,2,0,0,0,0,2,0,609,0,11,620
CLATWP-C,183,23,701,0,0,0,0,0,0,0,907,0,24,931
CTN 1-A,181,13,401,0,0,0,0,0,0,0,595,0,13,608
CTN 1-B,365,24,295,0,0,0,0,0,0,0,684,1,8,693
CTN 1-C,394,37,490,2,0,0,0,0,2,0,923,1,17,941
CTN 1-D,358,15,219,0,0,0,0,0,0,0,592,0,7,599
CTN 2-A,333,23,284,1,0,0,0,0,1,0,641,1,13,655
CTN 2-B,491,25,332,0,0,0,0,0,0,0,848,1,9,858
CTN 2-C,559,29,288,0,0,0,0,0,0,0,876,1,20,897
CTN 3-A,487,33,320,2,0,0,0,0,2,0,842,0,21,863
CTN 3-B,466,26,321,1,0,0,0,0,1,0,814,2,12,828
