Precinct,Rob Streck (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,725,725,0,198,923
BRK-B,579,579,0,120,699
BRK-C,763,763,0,148,911
BRK-D,642,642,0,142,784
BTLTWP-A,661,661,0,168,829
BTLTWP-B,537,537,0,190,727
BTLTWP-C,720,720,0,205,925
BTLTWP-D,610,610,0,251,861
BTLTWP-E,459,459,0,138,597
BTLTWP-F,508,508,0,179,687
BTLTWP-G,363,363,0,158,521
CLATWP-A,493,493,0,104,597
CLATWP-B,520,520,0,100,620
CLATWP-C,774,774,0,157,931
CTN 1-A,479,479,0,129,608
CTN 1-B,441,441,0,252,693
CTN 1-C,643,643,0,298,941
CTN 1-D,354,354,0,245,599
CTN 2-A,420,420,0,235,655
CTN 2-B,546,546,0,312,858
CTN 2-C,532,532,0,365,897
CTN 3-A,517,517,0,346,863
CTN 3-B,508,508,0,320,828
CTN 3-C,422,422,0,316,738
CV-A,412,412,0,226,638
CV-B,559,559,0,322,881
CV-C,380,380,0,185,565
CV-D,402,402,0,247,649
CV-E,536,536,0,283,819
CV-F,598,598,0,338,936
CV-G,658,658,0,347,1005
CV-H,654,654,0,355,1009
CV-I,752,752,0,339,1091
CV-J,620,620,0,295,915
CV-K,603,603,0,340,943
CV-L,682,682,0,350,1032
CV-M,590,590,0,273,863
CV-N,492,492,0,290,782
CV-O,719,719,0,387,1106
CV-P,614,614,0,350,964
CV-Q,548,548,0,333,881
CV-R,554,554,0,327,881
DAY 1-A,103,103,0,110,213
DAY 1-B,348,348,0,391,739
DAY 1-C,238,238,0,284,522
DAY 1-D,123,123,0,210,333
DAY 1-E,255,255,0,386,641
DAY 2-A,279,279,0,164,443
DAY 2-B,243,243,0,268,511
DAY 2-C,313,313,0,226,539
DAY 2-D,244,244,0,146,390
DAY 3-A,169,169,0,102,271
DAY 3-B,239,239,0,149,388
DAY 3-C,582,582,0,319,901
DAY 3-D,281,281,0,218,499
DAY 3-E,172,172,0,105,277
DAY 3-F,435,435,0,294,729
DAY 3-G,346,346,0,138,484
DAY 3-H,335,335,0,164,499
DAY 3-I,477,477,0,369,846
DAY 3-J,428,428,0,291,719
DAY 3-K,540,540,0,354,894
DAY 3-L,547,547,0,272,819
DAY 4-A,221,221,0,292,513
DAY 4-B,177,177,0,221,398
DAY 4-C,183,183,0,246,429
DAY 5-A,106,106,0,261,367
DAY 5-B,137,137,0,248,385
DAY 5-C,109,109,0,212,321
DAY 5-D,141,141,0,302,443
DAY 6-A,150,150,0,296,446
DAY 6-B,158,158,0,276,434
DAY 6-C,120,120,0,268,388
DAY 7-A,101,101,0,279,380
DAY 7-B,92,92,0,207,299
DAY 8-A,400,400,0,304,704
DAY 8-B,370,370,0,307,677
DAY 8-C,365,365,0,327,692
DAY 8-D,368,368,0,308,676
DAY 9-A,488,488,0,370,858
DAY 9-B,436,436,0,360,796
DAY 9-C,488,488,0,378,866
DAY 9-D,393,393,0,277,670
DAY 10-A,332,332,0,259,591
DAY 10-B,314,314,0,190,504
DAY 10-C,278,278,0,202,480
DAY 10-D,398,398,0,217,615
DAY 10-E,288,288,0,245,533
DAY 11-A,237,237,0,145,382
DAY 11-B,287,287,0,144,431
DAY 11-C,259,259,0,174,433
DAY 11-D,411,411,0,183,594
DAY 11-E,300,300,0,165,465
DAY 12-A,419,419,0,272,691
DAY 12-B,190,190,0,268,458
DAY 12-C,328,328,0,203,531
DAY 12-D,233,233,0,172,405
DAY 13-A,121,121,0,305,426
DAY 13-B,94,94,0,173,267
DAY 14-A,175,175,0,339,514
DAY 14-B,65,65,0,140,205
DAY 14-C,96,96,0,206,302
DAY 14-D,179,179,0,380,559
DAY 15-A,155,155,0,318,473
DAY 15-B,148,148,0,388,536
DAY 15-C,99,99,0,280,379
DAY 15-D,132,132,0,316,448
DAY 16-A,149,149,0,305,454
DAY 16-B,116,116,0,234,350
DAY 16-C,131,131,0,268,399
DAY 16-D,253,253,0,499,752
DAY 16-E,153,153,0,298,451
DAY 17-A,138,138,0,209,347
DAY 17-B,186,186,0,280,466
DAY 17-C,188,188,0,307,495
DAY 17-D,119,119,0,194,313
DAY 18-A,121,121,0,216,337
DAY 18-B,225,225,0,346,571
DAY 18-C,151,151,0,264,415
DAY 18-D,193,193,0,214,407
DAY 19-A,59,59,0,143,202
DAY 19-B,166,166,0,327,493
DAY 19-C,114,114,0,278,392
DAY 20-A,513,513,0,300,813
DAY 20-B,556,556,0,318,874
DAY 20-C,404,404,0,169,573
DAY 20-D,433,433,0,187,620
DAY 21-A,123,123,0,251,374
DAY 21-B,123,123,0,249,372
DAY 21-C,147,147,0,426,573
DAY 22-A,260,260,0,460,720
DAY 22-B,193,193,0,363,556
DAY 22-C,265,265,0,547,812
DAY 23-A,228,228,0,328,556
ENG-A,521,521,0,312,833
ENG-B,537,537,0,238,775
ENG-C,479,479,0,258,737
ENG-D,648,648,0,237,885
ENG-E,517,517,0,335,852
ENG-F,491,491,0,207,698
ENG-G,581,581,0,236,817
ENG-H,429,429,0,200,629
ENG-I,382,382,0,204,586
ENG-J,447,447,0,268,715
FARM,436,436,0,121,557
GERTWP-A,790,790,0,187,977
GERTWP-B,769,769,0,182,951
GTN-A,569,569,0,231,800
GTN-B,565,565,0,182,747
GTN-C,592,592,0,177,769
GTN-D,654,654,0,178,832
HARTWP-A,337,337,0,96,433
HARTWP-B,404,404,0,136,540
HARTWP-C,405,405,0,160,565
HARTWP-D,430,430,0,368,798
HARTWP-E,250,250,0,93,343
HARTWP-F,149,149,0,172,321
HARTWP-G,263,263,0,282,545
HARTWP-H,242,242,0,340,582
HARTWP-I,273,273,0,273,546
HARTWP-J,195,195,0,340,535
HARTWP-K,261,261,0,270,531
HARTWP-L,377,377,0,385,762
HARTWP-M,329,329,0,525,854
HARTWP-N,379,379,0,126,505
HARTWP-O,319,319,0,426,745
HUB 1-A,564,564,0,252,816
HUB 1-B,653,653,0,318,971
HUB 1-C,429,429,0,307,736
HUB 1-D,615,615,0,289,904
HUB 2-A,545,545,0,287,832
HUB 2-B,617,617,0,268,885
HUB 3-A,442,442,0,188,630
HUB 3-B,363,363,0,217,580
HUB 3-C,415,415,0,175,590
HUB 3-D,610,610,0,236,846
HUB 3-E,413,413,0,237,650
HUB 4-A,538,538,0,266,804
HUB 4-B,509,509,0,246,755
HUB 4-C,574,574,0,263,837
HUB 4-D,510,510,0,286,796
HUB 5-A,540,540,0,204,744
HUB 5-B,511,511,0,235,746
HUB 5-C,508,508,0,241,749
HUB 5-D,544,544,0,227,771
HUB 6-A,440,440,0,198,638
HUB 6-B,617,617,0,248,865
HUB 6-C,542,542,0,266,808
HUB 6-D,583,583,0,178,761
JAKTWP-A,767,767,0,192,959
JAKTWP-B,543,543,0,129,672
JEFTWP-A,550,550,0,389,939
JEFTWP-B,279,279,0,271,550
JEFTWP-C,468,468,0,226,694
JEFTWP-D,222,222,0,461,683
JNLB-A,367,367,0,112,479
JNLB-B,592,592,0,155,747
KT 1-A,390,390,0,267,657
KT 1-B,468,468,0,184,652
KT 1-C,591,591,0,283,874
KT 1-D,542,542,0,301,843
KT 1-E,451,451,0,231,682
KT 1-F,431,431,0,236,667
KT 1-G,463,463,0,246,709
KT 1-H,589,589,0,323,912
KT 1-I,537,537,0,246,783
KT 2-A,494,494,0,272,766
KT 2-B,487,487,0,252,739
KT 2-C,512,512,0,281,793
