Precinct,Rose Lounsbury (DEM),Andrea White (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-B,518,185,703,0,36,739
DAY 1-C,269,91,360,0,25,385
DAY 2-A,193,218,411,0,32,443
DAY 2-B,329,161,490,0,21,511
DAY 2-C,273,218,491,0,48,539
DAY 2-D,180,180,360,0,30,390
DAY 3-C,404,446,850,0,51,901
DAY 3-E,117,136,253,0,24,277
DAY 3-H,186,275,461,0,38,499
DAY 3-I,442,348,790,0,56,846
DAY 3-J,338,331,669,0,50,719
DAY 3-K,442,409,851,0,43,894
DAY 3-L,348,426,774,0,45,819
DAY 10-B,207,265,472,0,32,504
DAY 11-A,195,170,365,0,17,382
DAY 11-B,198,205,403,0,28,431
DAY 11-C,239,169,408,0,25,433
DAY 11-D,242,317,559,0,35,594
DAY 11-E,196,246,442,0,23,465
DAY 12-B,311,121,432,0,26,458
DAY 23-A,414,116,530,0,26,556
KT 1-A,339,284,623,0,34,657
KT 1-B,224,390,614,0,38,652
KT 1-C,322,500,822,0,52,874
KT 1-D,376,417,793,0,50,843
KT 1-E,269,370,639,0,43,682
KT 1-F,260,372,632,0,35,667
KT 1-G,281,392,673,1,35,709
KT 1-H,387,486,873,0,39,912
KT 1-I,326,417,743,0,40,783
KT 2-A,337,390,727,1,38,766
KT 2-B,292,414,706,0,33,739
KT 2-C,339,414,753,0,40,793
KT 2-D,387,439,826,0,47,873
KT 2-E,289,475,764,0,45,809
KT 2-F,252,375,627,0,37,664
KT 2-G,365,622,987,0,43,1030
KT 2-H,337,492,829,0,44,873
KT 2-I,269,368,637,0,23,660
KT 2-J,277,251,528,0,26,554
KT 3-A,377,415,792,0,36,828
KT 3-B,418,370,788,0,25,813
KT 3-C,281,476,757,0,35,792
KT 3-D,399,263,662,0,40,702
KT 3-E,350,462,812,0,34,846
KT 3-F,307,340,647,0,37,684
KT 3-G,280,381,661,0,18,679
KT 3-H,359,415,774,0,33,807
KT 3-I,252,417,669,0,19,688
KT 3-J,288,364,652,0,19,671
KT 3-K,389,514,903,0,43,946
KT 4-A,492,400,892,0,30,922
KT 4-B,548,345,893,0,46,939
KT 4-C,226,315,541,0,22,563
KT 4-D,392,393,785,0,29,814
KT 4-E,324,378,702,0,29,731
KT 4-F,376,368,744,0,26,770
KT 4-G,404,558,962,0,34,996
KT 4-H,284,354,638,0,41,679
KT 4-I,437,380,817,0,31,848
KT 4-J,428,306,734,1,31,766
KT 4-K,367,392,759,0,32,791
OAK-A,488,323,811,0,22,833
OAK-B,442,366,808,0,19,827
OAK-C,431,221,652,0,29,681
OAK-D,430,235,665,0,19,684
OAK-E,472,217,689,0,13,702
OAK-F,577,279,856,0,13,869
OAK-G,419,311,730,0,24,754
OAK-H,313,274,587,0,23,610
PM,238,262,500,0,27,527
RV-A,222,423,645,0,25,670
RV-B,166,358,524,0,36,560
RV-C,299,356,655,0,53,708
RV-D,209,477,686,0,42,728
RV-E,157,421,578,0,42,620
RV-F,245,323,568,0,33,601
RV-G,182,325,507,0,32,539
RV-H,119,213,332,0,30,362
RV-I,169,324,493,0,33,526
RV-J,159,328,487,0,25,512
RV-K,279,378,657,0,34,691
RV-L,111,285,396,0,25,421
RV-M,263,406,669,0,47,716
RV-N,178,302,480,0,42,522
RV-O,257,424,681,0,36,717
RV-P,288,419,707,1,49,757
