Precincts,Tom Young (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,405,405,0,233,638
CV-B,529,529,0,352,881
CV-C,370,370,0,195,565
CV-D,400,400,0,249,649
CV-E,524,524,0,295,819
CV-F,593,593,0,343,936
CV-G,625,625,0,380,1005
CV-H,644,644,0,365,1009
CV-I,742,742,0,349,1091
CV-J,617,617,0,298,915
CV-K,594,594,0,349,943
CV-L,667,667,0,365,1032
CV-M,575,575,0,288,863
CV-N,487,487,0,295,782
CV-O,696,696,0,410,1106
CV-P,594,594,0,370,964
CV-Q,533,533,0,348,881
CV-R,552,552,0,329,881
DAY 14-C,79,79,0,223,302
JEFTWP-A,514,514,0,425,939
JEFTWP-B,240,240,0,213,453
JEFTWP-C,461,461,0,233,694
JEFTWP-D,192,192,0,491,683
MIATWP-A,532,532,0,284,816
MIATWP-B,420,420,0,298,718
MIATWP-C,659,659,0,182,841
MIATWP-D,401,401,0,258,659
MIATWP-E,667,667,0,304,971
MIATWP-F,491,491,0,264,755
MIATWP-G,464,464,0,216,680
MIATWP-H,460,460,0,243,703
MIATWP-I,260,260,0,169,429
MIATWP-J,544,544,0,153,697
MIATWP-K,636,636,0,303,939
MIATWP-L,393,393,0,223,616
MIATWP-M,475,475,0,226,701
MIATWP-N,531,531,0,270,801
MIATWP-O,505,505,0,245,750
MIATWP-P,330,330,0,194,524
MIATWP-Q,495,495,0,301,796
MIATWP-R,271,271,0,157,428
MIATWP-S,542,542,0,209,751
MIATWP-T,417,417,0,208,625
MIATWP-U,378,378,0,225,603
MIATWP-V,499,499,0,238,737
MOR 1-A,330,330,0,134,464
MOR 2-A,577,577,0,257,834
MOR 3-A,362,362,0,165,527
MOR 4-A,287,287,0,180,467
MOR 4-B,202,202,0,182,384
WASTWP-A,519,519,0,259,778
WASTWP-B,733,733,0,353,1086
WASTWP-C,566,566,0,329,895
WASTWP-D,429,429,0,228,657
WASTWP-E,595,595,0,325,920
WASTWP-F,372,372,0,229,601
WASTWP-G,621,621,0,379,1000
WASTWP-H,523,523,0,286,809
WASTWP-I,399,399,0,274,673
WASTWP-J,542,542,0,326,868
WASTWP-K,541,541,0,278,819
WASTWP-L,421,421,0,307,728
WASTWP-M,638,638,0,299,937
WASTWP-N,491,491,0,353,844
WASTWP-O,563,563,0,318,881
WASTWP-P,686,686,0,304,990
WASTWP-Q,612,612,0,358,970
WASTWP-R,499,499,0,212,711
WASTWP-S,471,471,0,271,742
WASTWP-T,430,430,0,310,740
WASTWP-U,612,612,0,267,879
WASTWP-V,534,534,0,306,840
WASTWP-W,358,358,0,237,595
WASTWP-X,483,483,0,226,709
WASTWP-Y,699,699,0,409,1108
WASTWP-Z,488,488,0,272,760
WASTWP-AA,523,523,0,305,828
WASTWP-BB,388,388,0,236,624
WASTWP-CC,624,624,0,404,1028
WCR-A,470,470,0,233,703
WCR-B,492,492,0,244,736
WCR-C,534,534,0,220,754
WCR-D,502,502,0,234,736
WCR-E,274,274,0,206,480
WCR-F,358,358,0,213,571
WCR-G,467,467,0,288,755
WCR-H,502,502,0,215,717
WCR-I,283,283,0,236,519
