Precincts,Desiree Tims (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,132,132,0,81,213
DAY 1-C,114,114,0,23,137
DAY 1-D,258,258,0,75,333
DAY 1-E,495,495,0,146,641
DAY 3-A,139,139,0,132,271
DAY 3-B,209,209,0,179,388
DAY 3-D,307,307,0,192,499
DAY 3-F,448,448,0,281,729
DAY 3-G,248,248,0,236,484
DAY 4-A,428,428,0,85,513
DAY 4-B,314,314,0,84,398
DAY 4-C,332,332,0,97,429
DAY 5-A,314,314,0,53,367
DAY 5-B,323,323,0,62,385
DAY 5-C,261,261,0,60,321
DAY 5-D,387,387,0,56,443
DAY 6-A,401,401,0,45,446
DAY 6-B,383,383,0,51,434
DAY 6-C,352,352,0,36,388
DAY 7-A,336,336,0,44,380
DAY 7-B,269,269,0,30,299
DAY 8-A,438,438,0,266,704
DAY 8-B,476,476,0,201,677
DAY 8-C,470,470,0,222,692
DAY 8-D,434,434,0,242,676
DAY 9-A,564,564,0,294,858
DAY 9-B,521,521,0,275,796
DAY 9-C,542,542,0,324,866
DAY 9-D,418,418,0,252,670
DAY 10-A,362,362,0,229,591
DAY 10-C,317,317,0,163,480
DAY 10-D,358,358,0,257,615
DAY 10-E,313,313,0,220,533
DAY 12-A,442,442,0,249,691
DAY 12-C,342,342,0,189,531
DAY 12-D,249,249,0,156,405
DAY 13-A,376,376,0,50,426
DAY 13-B,237,237,0,30,267
DAY 14-A,455,455,0,59,514
DAY 14-B,180,180,0,25,205
DAY 14-D,497,497,0,62,559
DAY 15-A,422,422,0,51,473
DAY 15-B,477,477,0,59,536
DAY 15-C,334,334,0,45,379
DAY 15-D,388,388,0,60,448
DAY 16-A,404,404,0,50,454
DAY 16-B,314,314,0,36,350
DAY 16-C,349,349,0,50,399
DAY 16-D,686,686,0,66,752
DAY 16-E,406,406,0,45,451
DAY 17-A,281,281,0,66,347
DAY 17-B,369,369,0,97,466
DAY 17-C,426,426,0,69,495
DAY 17-D,268,268,0,45,313
DAY 18-A,295,295,0,42,337
DAY 18-B,473,473,0,98,571
DAY 18-C,341,341,0,74,415
DAY 18-D,328,328,0,79,407
DAY 19-A,184,184,0,18,202
DAY 19-B,451,451,0,42,493
DAY 19-C,357,357,0,35,392
DAY 20-A,456,456,0,357,813
DAY 20-B,489,489,0,385,874
DAY 20-C,330,330,0,243,573
DAY 20-D,322,322,0,298,620
DAY 21-A,336,336,0,38,374
DAY 21-B,330,330,0,42,372
DAY 21-C,511,511,0,62,573
DAY 22-A,627,627,0,93,720
DAY 22-B,481,481,0,75,556
DAY 22-C,746,746,0,66,812
JEFTWP-B,84,84,0,13,97
TR 1-A,559,559,0,175,734
TR 1-B,305,305,0,101,406
TR 1-C,484,484,0,51,535
TR 1-D,386,386,0,54,440
TR 1-E,657,657,0,74,731
TR 2-A,529,529,0,83,612
TR 2-B,612,612,0,97,709
TR 2-C,449,449,0,70,519
TR 2-D,324,324,0,107,431
TR 2-E,455,455,0,51,506
TR 3-A,331,331,0,141,472
TR 3-B,349,349,0,261,610
TR 3-C,311,311,0,159,470
TR 3-D,569,569,0,114,683
TR 4-A,591,591,0,79,670
TR 4-B,479,479,0,84,563
TR 4-C,379,379,0,70,449
TR 4-D,402,402,0,68,470
