Precinct,Dion Green (DEM),Phil Plummer (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total,
BTLTWP-A,188,617,805,0,24,829,
BTLTWP-B,196,508,704,0,23,727,
BTLTWP-C,240,664,904,0,21,925,
BTLTWP-D,259,566,825,0,36,861,
BTLTWP-E,159,428,587,0,10,597,
BTLTWP-F,189,470,659,0,28,687,
BTLTWP-G,190,306,496,0,25,521,
CTN 1-A,1,3,4,0,0,4,
CTN 1-B,277,292,569,0,19,588,
CTN 1-D,307,279,586,0,13,599,
CTN 2-A,280,350,630,0,25,655,
CTN 2-B,405,426,831,0,27,858,
CTN 2-C,479,377,856,0,41,897,
CTN 3-A,417,410,827,0,36,863,
CTN 3-B,401,405,806,0,22,828,
CTN 3-C,402,316,718,0,20,738,
DAY 3-B,0,0,0,0,0,0,
ENG-A,369,432,801,0,32,833,
ENG-B,260,477,737,0,38,775,
ENG-C,346,362,708,0,29,737,
ENG-D,318,539,857,0,28,885,
ENG-E,406,411,817,0,35,852,
ENG-F,228,449,677,0,21,698,
ENG-G,305,477,782,0,35,817,
ENG-H,251,356,607,0,22,629,
ENG-I,255,310,565,0,21,586,
ENG-J,338,353,691,0,24,715,
HARTWP-A,115,300,415,1,17,433,
HARTWP-B,140,370,510,0,30,540,
HARTWP-C,179,350,529,0,36,565,
HARTWP-D,473,292,765,0,33,798,
HARTWP-E,95,232,327,0,16,343,
HARTWP-F,242,69,311,0,10,321,
HARTWP-G,374,146,520,0,25,545,
HARTWP-H,436,117,553,0,29,582,
HARTWP-I,366,163,529,0,17,546,
HARTWP-J,415,98,513,0,22,535,
HARTWP-K,381,121,502,0,29,531,
HARTWP-L,488,255,743,0,19,762,
HARTWP-M,676,149,825,0,29,854,
HARTWP-N,129,350,479,0,26,505,
HARTWP-O,508,197,705,1,39,745,
HUB 1-A,275,510,785,0,31,816,
HUB 1-B,388,543,931,0,40,971,
HUB 1-C,376,322,698,0,38,736,
HUB 1-D,319,546,865,0,39,904,
HUB 2-A,320,466,786,0,46,832,
HUB 2-B,314,529,843,0,42,885,
HUB 3-A,225,381,606,0,24,630,
HUB 3-B,309,241,550,0,30,580,
HUB 3-C,198,362,560,0,30,590,
HUB 3-D,259,558,817,0,29,846,
HUB 3-E,289,333,622,0,28,650,
HUB 4-A,281,483,764,0,40,804,
HUB 4-B,249,470,719,0,36,755,
HUB 4-C,336,458,794,0,43,837,
HUB 4-D,369,408,777,0,19,796,
HUB 5-A,265,441,706,0,38,744,
HUB 5-B,306,402,708,0,38,746,
HUB 5-C,261,453,714,0,35,749,
HUB 5-D,304,435,739,0,32,771,
HUB 6-A,248,370,618,0,20,638,
HUB 6-B,287,540,827,0,38,865,
HUB 6-C,309,456,765,0,43,808,
HUB 6-D,227,504,731,0,30,761,
UN-A,114,344,458,0,21,479,
UN-B,217,474,691,0,26,717,
UN-C,224,542,766,0,32,798,
UN-D,273,542,815,0,29,844,
UN-E,215,574,789,0,38,827,
VD-A,206,478,684,0,32,716,
VD-B,118,313,431,0,14,445,
VD-C,201,606,807,0,31,838,
VD-D,256,463,719,0,22,741,
VD-E,139,386,525,0,25,550,
VD-F,271,551,822,0,28,850,
VD-G,185,459,644,0,19,663,
VD-H,214,667,881,0,24,905,
VD-I,206,524,730,1,23,754,
VD-J,244,676,920,0,32,952,
VD-K,261,589,850,0,28,878,
