Precinct,Bobbie Arnold (DEM),Rodney Creech (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,232,636,868,0,55,923
BRK-B,164,503,667,0,32,699
BRK-C,182,668,850,0,61,911
BRK-D,154,587,741,0,43,784
CLATWP-A,111,456,567,0,30,597
CLATWP-B,103,486,589,0,31,620
CLATWP-C,139,747,886,0,45,931
CTN 1-A,131,435,566,0,38,604
CTN 1-B,45,58,103,0,2,105
CTN 1-C,341,523,864,0,77,941
FARM,104,416,520,0,37,557
GERTWP-A,156,772,928,0,49,977
GERTWP-B,175,723,898,0,53,951
GTN-A,217,530,747,0,53,800
GTN-B,205,494,699,0,48,747
GTN-C,174,545,719,0,50,769
GTN-D,184,592,776,0,56,832
JAKTWP-A,165,741,906,0,53,959
JAKTWP-B,108,521,629,0,43,672
JNLB-A,99,347,446,0,33,479
JNLB-B,159,540,699,0,48,747
MBG 1-A,280,544,824,0,76,900
MBG 1-B,233,566,799,0,60,859
MBG 1-C,277,457,734,0,42,776
MBG 2-A,218,345,563,0,47,610
MBG 2-B,242,506,748,0,59,807
MBG 2-C,244,560,804,0,57,861
MBG 3-A,205,354,559,0,37,596
MBG 3-B,267,458,725,0,70,795
MBG 3-C,260,384,644,0,51,695
MBG 3-D,249,543,792,0,51,843
MBG 4-A,217,479,696,0,44,740
MBG 4-B,190,433,623,0,39,662
MBG 4-C,191,368,559,0,38,597
MBG 4-D,358,655,1013,0,87,1100
MIATWP-D,14,36,50,0,0,50
PERTWP-A,74,491,565,0,33,598
PERTWP-B,126,492,618,0,35,653
PERTWP-C,141,579,720,0,48,768
PHBG,57,164,221,0,16,237
PNLB,117,380,497,0,34,531
